player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Curtis Jones,jonescu01,2026,1,1.0,19.0,2025-11-29,,,PHO,"W, 130-112",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,3.0
Curtis Jones,jonescu01,2026,2,2.0,21.0,2025-12-03,,,IND,"W, 135-120",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.7,0.0
Curtis Jones,jonescu01,2026,3,3.0,29.0,2025-12-23,,,DAL,"L, 130-131",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,5.0
Curtis Jones,jonescu01,2026,4,4.0,32.0,2025-12-29,,,MIA,"L, 123-147",,,1.0,5.0,0.2,0.0,3.0,0.0,1.0,2.0,0.5,0.2,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,-0.5,-3.0
Curtis Jones,jonescu01,2026,5,5.0,36.0,2026-01-05,,,PHI,"W, 125-124 (OT)",,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.5,-1.0
Curtis Jones,jonescu01,2026,6,6.0,46.0,2026-01-23,,,MIL,"W, 102-100",,,2.0,4.0,0.5,1.0,3.0,0.333,1.0,1.0,1.0,0.625,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,5.0,4.3,0.0
Curtis Jones,jonescu01,2026,7,7.0,76.0,2026-03-29,,,GSW,"W, 116-93",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.7,2.0
Curtis Jones,jonescu01,2026,8,8.0,80.0,2026-04-08,,,MEM,"W, 136-119",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,0.0
Curtis Jones,jonescu01,2026,9,9.0,81.0,2026-04-10,,,OKC,"W, 127-107",,,3.0,7.0,0.429,1.0,5.0,0.2,2.0,2.0,1.0,0.5,0.0,0.0,,0.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,7.0,7.3,14.0
Curtis Jones,jonescu01,2026,10,10.0,82.0,2026-04-12,,,SAS,"W, 128-118",,,4.0,5.0,0.8,4.0,4.0,1.0,0.0,1.0,0.0,1.2,1.0,2.0,0.5,1.0,4.0,5.0,3.0,1.0,0.0,1.0,2.0,13.0,13.9,6.0
