player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Tyler Kolek,kolekty01,2026,1,42.0,1.0,2025-10-22,,,CLE,"W, 119-111",,,3.0,6.0,0.5,1.0,3.0,0.333,2.0,3.0,0.667,0.583,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,7.0,4.9,2.0
Tyler Kolek,kolekty01,2026,2,43.0,2.0,2025-10-24,,,BOS,"W, 105-95",,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,,0.0,0.0,0.0,4.0,1.0,0.0,3.0,1.0,2.0,1.4,3.0
Tyler Kolek,kolekty01,2026,3,44.0,3.0,2025-10-26,,,MIA,"L, 107-115",,,2.0,6.0,0.333,1.0,4.0,0.25,1.0,2.0,0.5,0.417,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,0.9,-12.0
Tyler Kolek,kolekty01,2026,4,45.0,4.0,2025-10-28,,,MIL,"L, 111-121",,,2.0,5.0,0.4,1.0,3.0,0.333,1.0,2.0,0.5,0.5,0.0,0.0,,1.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,5.0,3.2,4.0
Tyler Kolek,kolekty01,2026,5,46.0,5.0,2025-10-31,,,CHI,"L, 125-135",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.1,-2.0
Tyler Kolek,kolekty01,2026,6,47.0,6.0,2025-11-02,,,CHI,"W, 128-116",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Tyler Kolek,kolekty01,2026,7,48.0,7.0,2025-11-03,,,WAS,"W, 119-102",,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,-6.0
Tyler Kolek,kolekty01,2026,8,49.0,8.0,2025-11-05,,,MIN,"W, 137-114",,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,-0.7,1.0
Tyler Kolek,kolekty01,2026,9,50.0,9.0,2025-11-09,,,BRK,"W, 134-98",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.7,3.0
Tyler Kolek,kolekty01,2026,10,51.0,11.0,2025-11-12,,,ORL,"L, 107-124",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.7,-2.0
