player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Christian Koloko,kolokch01,2026,1,96.0,2.0,2025-10-24,,,MIN,"W, 128-110",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,-6.0
Christian Koloko,kolokch01,2026,2,97.0,4.0,2025-10-27,,,POR,"L, 108-122",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-6.0
Christian Koloko,kolokch01,2026,3,98.0,29.0,2025-12-22,,,OKC,"L, 103-119",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.3,-2.0
Christian Koloko,kolokch01,2026,4,99.0,30.0,2025-12-23,,,UTA,"W, 137-128",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,1.0,3.0,4.0,0.0,2.0,1.0,0.0,1.0,2.0,5.6,2.0
Christian Koloko,kolokch01,2026,5,100.0,31.0,2025-12-26,,,MIL,"W, 125-104",,,2.0,3.0,0.667,0.0,0.0,,2.0,3.0,0.667,0.667,0.0,0.0,,1.0,2.0,3.0,1.0,3.0,1.0,0.0,1.0,4.0,8.0,23.0
Christian Koloko,kolokch01,2026,6,101.0,32.0,2025-12-28,,,WAS,"L, 112-116",,,2.0,5.0,0.4,0.0,0.0,,2.0,5.0,0.4,0.4,0.0,0.0,,2.0,5.0,7.0,1.0,1.0,3.0,0.0,1.0,4.0,7.6,3.0
Christian Koloko,kolokch01,2026,7,102.0,33.0,2025-12-30,,,PHI,"L, 136-139 (OT)",*,,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,3.0,3.0,2.0,0.0,0.0,0.0,5.0,0.0,-1.1,5.0
Christian Koloko,kolokch01,2026,8,103.0,34.0,2026-01-02,,,LAL,"L, 121-128",*,,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,0.333,0.333,1.0,2.0,0.5,2.0,0.0,2.0,0.0,1.0,1.0,2.0,2.0,3.0,1.2,-11.0
Christian Koloko,kolokch01,2026,9,104.0,35.0,2026-01-04,,,LAL,"L, 114-120",,,3.0,6.0,0.5,0.0,1.0,0.0,3.0,5.0,0.6,0.5,0.0,0.0,,1.0,1.0,2.0,0.0,2.0,0.0,1.0,5.0,6.0,3.0,-5.0
Christian Koloko,kolokch01,2026,10,105.0,36.0,2026-01-06,,,SAS,"W, 106-105",,,2.0,4.0,0.5,0.0,0.0,,2.0,4.0,0.5,0.5,0.0,0.0,,3.0,3.0,6.0,1.0,1.0,3.0,1.0,1.0,4.0,7.4,12.0
