player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Yanic Konan Niederhäuser,konanya01,2026,1,1.0,1.0,2025-10-22,,,UTA,"L, 108-129",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,2.0,4.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.6,6.0
Yanic Konan Niederhäuser,konanya01,2026,2,2.0,2.0,2025-10-24,,,PHO,"W, 129-102",,,3.0,3.0,1.0,0.0,0.0,,3.0,3.0,1.0,1.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,5.4,1.0
Yanic Konan Niederhäuser,konanya01,2026,3,3.0,4.0,2025-10-28,,,GSW,"L, 79-98",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.7,4.0
Yanic Konan Niederhäuser,konanya01,2026,4,4.0,7.0,2025-11-04,,,OKC,"L, 107-126",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,3.0,4.0,0.75,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,5.0,3.2,3.0
Yanic Konan Niederhäuser,konanya01,2026,5,5.0,8.0,2025-11-06,,,PHO,"L, 102-115",,,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,4.4,1.0
Yanic Konan Niederhäuser,konanya01,2026,6,6.0,15.0,2025-11-20,,,ORL,"L, 101-129",,,3.0,3.0,1.0,0.0,0.0,,3.0,3.0,1.0,1.0,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0,5.8,-13.0
Yanic Konan Niederhäuser,konanya01,2026,7,7.0,16.0,2025-11-22,,,CHO,"W, 131-116",,,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,-9.0
Yanic Konan Niederhäuser,konanya01,2026,8,8.0,17.0,2025-11-23,,,CLE,"L, 105-120",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0
Yanic Konan Niederhäuser,konanya01,2026,9,9.0,18.0,2025-11-25,,,LAL,"L, 118-135",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Yanic Konan Niederhäuser,konanya01,2026,10,10.0,21.0,2025-12-01,,,MIA,"L, 123-140",,,3.0,4.0,0.75,0.0,0.0,,3.0,4.0,0.75,0.75,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,6.0,3.6,-5.0
Yanic Konan Niederhäuser,konanya01,2026,11,11.0,22.0,2025-12-03,,,ATL,"W, 115-92",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.0
Yanic Konan Niederhäuser,konanya01,2026,12,12.0,26.0,2025-12-15,,,MEM,"L, 103-121",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.3,5.0
Yanic Konan Niederhäuser,konanya01,2026,13,13.0,29.0,2025-12-23,,,HOU,"W, 128-108",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,2.0,0.0,1.0,0.0,0.0,5.0,3.0,2.3,-4.0
Yanic Konan Niederhäuser,konanya01,2026,14,14.0,30.0,2025-12-26,,,POR,"W, 119-103",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,4.0,0.0,-1.7,4.0
Yanic Konan Niederhäuser,konanya01,2026,15,15.0,31.0,2025-12-28,,,DET,"W, 112-99",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,2.0,0.0,1.0,0.0,1.0,4.0,2.0,1.1,0.0
Yanic Konan Niederhäuser,konanya01,2026,16,16.0,32.0,2025-12-30,,,SAC,"W, 131-90",,,6.0,8.0,0.75,0.0,1.0,0.0,6.0,7.0,0.857,0.75,4.0,6.0,0.667,2.0,4.0,6.0,2.0,0.0,1.0,1.0,1.0,16.0,15.3,27.0
Yanic Konan Niederhäuser,konanya01,2026,17,17.0,33.0,2026-01-01,,,UTA,"W, 118-101",,,3.0,7.0,0.429,0.0,0.0,,3.0,7.0,0.429,0.429,0.0,0.0,,6.0,4.0,10.0,1.0,0.0,2.0,1.0,4.0,6.0,7.2,18.0
Yanic Konan Niederhäuser,konanya01,2026,18,18.0,34.0,2026-01-03,,,BOS,"L, 115-146",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-7.0
Yanic Konan Niederhäuser,konanya01,2026,19,19.0,36.0,2026-01-07,,,NYK,"L, 111-123",,,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,1.0,2.0,0.5,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1.0
Yanic Konan Niederhäuser,konanya01,2026,20,20.0,37.0,2026-01-09,,,BRK,"W, 121-105",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
Yanic Konan Niederhäuser,konanya01,2026,21,21.0,39.0,2026-01-12,,,CHO,"W, 117-109",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
Yanic Konan Niederhäuser,konanya01,2026,22,22.0,40.0,2026-01-14,,,WAS,"W, 119-105",,,7.0,7.0,1.0,0.0,0.0,,7.0,7.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,5.0,2.0,0.0,2.0,2.0,4.0,16.0,15.0,14.0
Yanic Konan Niederhäuser,konanya01,2026,23,23.0,41.0,2026-01-16,,,TOR,"W, 121-117 (OT)",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,5.0,6.0,0.833,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,5.0,3.1,-14.0
Yanic Konan Niederhäuser,konanya01,2026,24,24.0,43.0,2026-01-20,,,CHI,"L, 110-138",,,2.0,4.0,0.5,0.0,1.0,0.0,2.0,3.0,0.667,0.5,0.0,0.0,,1.0,3.0,4.0,0.0,0.0,1.0,1.0,1.0,4.0,2.9,-9.0
Yanic Konan Niederhäuser,konanya01,2026,25,25.0,45.0,2026-01-25,,,BRK,"W, 126-89",,,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,2.0
Yanic Konan Niederhäuser,konanya01,2026,26,26.0,46.0,2026-01-27,,,UTA,"W, 115-103",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.5,-8.0
Yanic Konan Niederhäuser,konanya01,2026,27,27.0,47.0,2026-01-30,,,DEN,"L, 109-122",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,3.0
Yanic Konan Niederhäuser,konanya01,2026,28,28.0,48.0,2026-02-01,,,PHO,"W, 117-93",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.7,7.0
Yanic Konan Niederhäuser,konanya01,2026,29,29.0,49.0,2026-02-02,,,PHI,"L, 113-128",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,1.0,3.0,2.0,0.8,2.0
Yanic Konan Niederhäuser,konanya01,2026,30,30.0,50.0,2026-02-04,,,CLE,"L, 91-124",,,4.0,4.0,1.0,0.0,0.0,,4.0,4.0,1.0,1.0,2.0,2.0,1.0,0.0,8.0,8.0,0.0,0.0,2.0,3.0,4.0,10.0,8.0,-16.0
Yanic Konan Niederhäuser,konanya01,2026,31,31.0,51.0,2026-02-06,,,SAC,"W, 114-111",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.7,-1.0
