player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
A.J. Lawson,lawsoaj01,2026,1,84.0,25.0,2025-12-07,,,BOS,"L, 113-121",,,4.0,8.0,0.5,2.0,3.0,0.667,2.0,5.0,0.4,0.625,0.0,0.0,,1.0,4.0,5.0,0.0,0.0,0.0,0.0,5.0,10.0,5.9,-5.0
A.J. Lawson,lawsoaj01,2026,2,85.0,26.0,2025-12-09,,,NYK,"L, 101-117",,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,-2.0
A.J. Lawson,lawsoaj01,2026,3,86.0,32.0,2025-12-26,,,WAS,"L, 117-138",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.6,-7.0
A.J. Lawson,lawsoaj01,2026,4,87.0,39.0,2026-01-09,,,BOS,"L, 117-125",,,1.0,4.0,0.25,1.0,3.0,0.333,0.0,1.0,0.0,0.375,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.3,2.0
A.J. Lawson,lawsoaj01,2026,5,88.0,40.0,2026-01-11,,,PHI,"W, 116-115 (OT)",,,1.0,4.0,0.25,0.0,2.0,0.0,1.0,2.0,0.5,0.25,0.0,0.0,,1.0,1.0,2.0,0.0,2.0,0.0,1.0,2.0,2.0,0.8,4.0
A.J. Lawson,lawsoaj01,2026,6,89.0,41.0,2026-01-12,,,PHI,"L, 102-115",,,5.0,9.0,0.556,3.0,6.0,0.5,2.0,3.0,0.667,0.722,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,14.0,9.9,1.0
A.J. Lawson,lawsoaj01,2026,7,90.0,42.0,2026-01-14,,,IND,"W, 115-101",,,2.0,5.0,0.4,1.0,3.0,0.333,1.0,2.0,0.5,0.5,0.0,0.0,,1.0,5.0,6.0,0.0,0.0,1.0,0.0,2.0,5.0,4.4,-18.0
A.J. Lawson,lawsoaj01,2026,8,91.0,43.0,2026-01-16,,,LAC,"L, 117-121 (OT)",,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,2.0,1.0,3.0,2.0,1.0,0.0,2.0,2.0,0.0,-0.1,-2.0
A.J. Lawson,lawsoaj01,2026,9,92.0,44.0,2026-01-18,,,LAL,"L, 93-110",,,1.0,3.0,0.333,1.0,2.0,0.5,0.0,1.0,0.0,0.5,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,3.2,-2.0
A.J. Lawson,lawsoaj01,2026,10,93.0,45.0,2026-01-20,,,GSW,"W, 145-127",,,2.0,3.0,0.667,0.0,1.0,0.0,2.0,2.0,1.0,0.667,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,3.0
A.J. Lawson,lawsoaj01,2026,11,94.0,46.0,2026-01-21,,,SAC,"W, 122-109",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.7,-4.0
A.J. Lawson,lawsoaj01,2026,12,95.0,53.0,2026-02-05,,,CHI,"W, 123-107",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A.J. Lawson,lawsoaj01,2026,13,96.0,54.0,2026-02-08,,,IND,"W, 122-104",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-1.0
