player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Jahmai Mashack,mashaja01,2026,1,1.0,16.0,2025-11-20,,,SAC,"W, 137-96",,,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,,0.75,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,4.6,1.0
Jahmai Mashack,mashaja01,2026,2,2.0,24.0,2025-12-07,,,POR,"W, 119-96",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-1.0
Jahmai Mashack,mashaja01,2026,3,3.0,26.0,2025-12-15,,,LAC,"W, 121-103",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.7,-3.0
Jahmai Mashack,mashaja01,2026,4,4.0,27.0,2025-12-17,,,MIN,"W, 116-110",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.8,-7.0
Jahmai Mashack,mashaja01,2026,5,5.0,29.0,2025-12-22,,,OKC,"L, 103-119",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,-9.0
Jahmai Mashack,mashaja01,2026,6,6.0,30.0,2025-12-23,,,UTA,"W, 137-128",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jahmai Mashack,mashaja01,2026,7,7.0,37.0,2026-01-07,,,PHO,"L, 98-117",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-1.0
Jahmai Mashack,mashaja01,2026,8,8.0,49.0,2026-02-04,,,SAC,"W, 129-125",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,2.0,2.0,4.0,5.0,3.0,0.0,0.0,4.0,2.0,7.9,-5.0
Jahmai Mashack,mashaja01,2026,9,9.0,50.0,2026-02-06,,,POR,"L, 115-135",,,2.0,6.0,0.333,1.0,3.0,0.333,1.0,3.0,0.333,0.417,0.0,0.0,,1.0,0.0,1.0,1.0,3.0,0.0,1.0,3.0,5.0,3.8,-8.0
Jahmai Mashack,mashaja01,2026,10,10.0,51.0,2026-02-07,,,POR,"L, 115-122",*,,3.0,9.0,0.333,2.0,7.0,0.286,1.0,2.0,0.5,0.444,0.0,0.0,,0.0,1.0,1.0,1.0,6.0,0.0,2.0,1.0,8.0,7.5,-1.0
Jahmai Mashack,mashaja01,2026,11,11.0,52.0,2026-02-09,,,GSW,"L, 113-114",,,8.0,10.0,0.8,1.0,2.0,0.5,7.0,8.0,0.875,0.85,0.0,0.0,,0.0,2.0,2.0,1.0,2.0,0.0,3.0,2.0,17.0,12.7,0.0
Jahmai Mashack,mashaja01,2026,12,12.0,53.0,2026-02-11,,,DEN,"L, 116-122",*,,4.0,11.0,0.364,1.0,5.0,0.2,3.0,6.0,0.5,0.409,0.0,0.0,,1.0,2.0,3.0,2.0,2.0,1.0,0.0,3.0,9.0,7.1,2.0
Jahmai Mashack,mashaja01,2026,13,13.0,54.0,2026-02-20,,,UTA,"W, 123-114",*,,4.0,9.0,0.444,2.0,4.0,0.5,2.0,5.0,0.4,0.556,1.0,4.0,0.25,0.0,5.0,5.0,2.0,2.0,1.0,4.0,0.0,11.0,6.7,8.0
Jahmai Mashack,mashaja01,2026,14,14.0,55.0,2026-02-21,,,MIA,"L, 120-136",,,0.0,6.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,2.0,1.0,3.0,1.0,0.0,2.0,0.0,4.0,0.0,-2.0,-7.0
Jahmai Mashack,mashaja01,2026,15,15.0,56.0,2026-02-23,,,SAC,"L, 114-123",,,2.0,6.0,0.333,0.0,1.0,0.0,2.0,5.0,0.4,0.333,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,4.0,0.4,5.0
Jahmai Mashack,mashaja01,2026,16,16.0,58.0,2026-02-27,,,DAL,"W, 124-105",,,3.0,7.0,0.429,0.0,1.0,0.0,3.0,6.0,0.5,0.429,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,3.0,8.0,6.8,3.0
Jahmai Mashack,mashaja01,2026,17,17.0,59.0,2026-03-01,,,IND,"W, 125-106",,,2.0,7.0,0.286,0.0,2.0,0.0,2.0,5.0,0.4,0.286,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,3.0,3.0,0.0,4.0,0.7,12.0
Jahmai Mashack,mashaja01,2026,18,18.0,61.0,2026-03-04,,,POR,"L, 114-122",,,5.0,8.0,0.625,3.0,4.0,0.75,2.0,4.0,0.5,0.813,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,2.0,6.0,13.0,7.4,-5.0
Jahmai Mashack,mashaja01,2026,19,19.0,62.0,2026-03-07,,,LAC,"L, 120-123",,,2.0,5.0,0.4,0.0,2.0,0.0,2.0,3.0,0.667,0.4,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0
Jahmai Mashack,mashaja01,2026,20,20.0,63.0,2026-03-09,,,BRK,"L, 115-126",,,3.0,6.0,0.5,0.0,1.0,0.0,3.0,5.0,0.6,0.5,1.0,2.0,0.5,3.0,3.0,6.0,2.0,2.0,3.0,1.0,2.0,7.0,10.3,-7.0
Jahmai Mashack,mashaja01,2026,21,21.0,64.0,2026-03-10,,,PHI,"L, 129-139",,,2.0,4.0,0.5,0.0,1.0,0.0,2.0,3.0,0.667,0.5,3.0,5.0,0.6,0.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,7.0,3.2,-18.0
Jahmai Mashack,mashaja01,2026,22,22.0,65.0,2026-03-12,,,DAL,"L, 112-120",,,3.0,11.0,0.273,1.0,4.0,0.25,2.0,7.0,0.286,0.318,1.0,2.0,0.5,2.0,2.0,4.0,6.0,2.0,0.0,1.0,4.0,8.0,6.7,5.0
Jahmai Mashack,mashaja01,2026,23,23.0,66.0,2026-03-13,,,DET,"L, 110-126",,,1.0,5.0,0.2,0.0,2.0,0.0,1.0,3.0,0.333,0.2,1.0,2.0,0.5,1.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,3.0,4.2,1.0
Jahmai Mashack,mashaja01,2026,24,24.0,67.0,2026-03-16,,,CHI,"L, 107-132",,,1.0,6.0,0.167,1.0,2.0,0.5,0.0,4.0,0.0,0.25,0.0,0.0,,2.0,4.0,6.0,2.0,1.0,1.0,2.0,2.0,3.0,2.1,-9.0
Jahmai Mashack,mashaja01,2026,25,25.0,74.0,2026-03-28,,,CHI,"W, 125-124",,,8.0,12.0,0.667,0.0,1.0,0.0,8.0,11.0,0.727,0.667,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,17.0,12.4,1.0
Jahmai Mashack,mashaja01,2026,26,26.0,75.0,2026-03-30,,,PHO,"L, 105-131",*,,5.0,11.0,0.455,1.0,5.0,0.2,4.0,6.0,0.667,0.5,3.0,4.0,0.75,0.0,3.0,3.0,2.0,2.0,0.0,4.0,1.0,14.0,7.8,-32.0
Jahmai Mashack,mashaja01,2026,27,27.0,76.0,2026-04-01,,,NYK,"L, 119-130",,,2.0,5.0,0.4,1.0,3.0,0.333,1.0,2.0,0.5,0.5,2.0,2.0,1.0,2.0,2.0,4.0,0.0,3.0,0.0,4.0,4.0,7.0,3.7,-15.0
Jahmai Mashack,mashaja01,2026,28,28.0,77.0,2026-04-03,,,TOR,"L, 96-128",,,0.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,6.0,0.333,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,-3.0,-13.0
Jahmai Mashack,mashaja01,2026,29,29.0,80.0,2026-04-08,,,DEN,"L, 119-136",*,,4.0,12.0,0.333,1.0,4.0,0.25,3.0,8.0,0.375,0.375,0.0,2.0,0.0,0.0,3.0,3.0,7.0,0.0,0.0,1.0,3.0,9.0,5.0,-30.0
Jahmai Mashack,mashaja01,2026,30,30.0,81.0,2026-04-10,,,UTA,"L, 101-147",*,,6.0,13.0,0.462,0.0,2.0,0.0,6.0,11.0,0.545,0.462,1.0,2.0,0.5,1.0,14.0,15.0,14.0,2.0,0.0,10.0,3.0,13.0,11.4,-46.0
