player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Leonard Miller,millele01,2026,1,31.0,2.0,2025-10-24,,,LAL,"L, 110-128",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.6,5.0
Leonard Miller,millele01,2026,2,32.0,4.0,2025-10-27,,,DEN,"L, 114-127",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leonard Miller,millele01,2026,3,33.0,7.0,2025-11-03,,,BRK,"W, 125-109",,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.9,-4.0
Leonard Miller,millele01,2026,4,34.0,8.0,2025-11-05,,,NYK,"L, 114-137",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.3,-1.0
Leonard Miller,millele01,2026,5,35.0,9.0,2025-11-07,,,UTA,"W, 137-97",,,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,2.0,3.0,0.667,0.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,6.0,3.5,4.0
Leonard Miller,millele01,2026,6,36.0,10.0,2025-11-09,,,SAC,"W, 144-117",,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.4,2.0
Leonard Miller,millele01,2026,7,37.0,12.0,2025-11-14,,,SAC,"W, 124-110",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,-2.0
Leonard Miller,millele01,2026,8,38.0,14.0,2025-11-17,,,DAL,"W, 120-96",,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,3.0,3.0,3.0,1.0,0.0,1.0,3.0,0.0,0.4,-5.0
Leonard Miller,millele01,2026,9,39.0,20.0,2025-11-30,,,SAS,"W, 125-112",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,-1.0
Leonard Miller,millele01,2026,10,40.0,32.0,2025-12-27,,,BRK,"L, 107-123",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Leonard Miller,millele01,2026,11,41.0,33.0,2025-12-29,,,CHI,"W, 136-101",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,1.0,2.0,0.5,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,1.6,2.0
Leonard Miller,millele01,2026,12,42.0,34.0,2025-12-31,,,ATL,"L, 102-126",,,3.0,4.0,0.75,1.0,2.0,0.5,2.0,2.0,1.0,0.875,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,5.0,5.0
Leonard Miller,millele01,2026,13,43.0,36.0,2026-01-04,,,WAS,"W, 141-115",,,3.0,7.0,0.429,0.0,3.0,0.0,3.0,4.0,0.75,0.429,0.0,0.0,,1.0,2.0,3.0,0.0,1.0,0.0,1.0,2.0,6.0,2.8,-11.0
Leonard Miller,millele01,2026,14,44.0,37.0,2026-01-06,,,MIA,"W, 122-94",,,3.0,3.0,1.0,0.0,0.0,,3.0,3.0,1.0,1.0,0.0,0.0,,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,6.0,6.4,0.0
Leonard Miller,millele01,2026,15,45.0,39.0,2026-01-10,,,CLE,"L, 134-146",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Leonard Miller,millele01,2026,16,46.0,41.0,2026-01-13,,,MIL,"W, 139-106",,,2.0,3.0,0.667,0.0,1.0,0.0,2.0,2.0,1.0,0.667,3.0,4.0,0.75,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,7.0,5.9,-5.0
Leonard Miller,millele01,2026,17,47.0,43.0,2026-01-17,,,SAS,"L, 123-126",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Leonard Miller,millele01,2026,18,48.0,46.0,2026-01-25,,,GSW,"L, 85-111",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,-1.7,-4.0
Leonard Miller,millele01,2026,19,49.0,49.0,2026-01-29,,,OKC,"W, 123-111",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,-10.0
Leonard Miller,millele01,2026,20,50.0,53.0,2026-02-07,,,DEN,"L, 120-136",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
Leonard Miller,millele01,2026,21,51.0,55.0,2026-02-11,,,BOS,"L, 105-124",,,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0,4.9,8.0
Leonard Miller,millele01,2026,22,52.0,57.0,2026-02-21,,,DET,"L, 110-126",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Leonard Miller,millele01,2026,23,53.0,59.0,2026-02-24,,,CHO,"L, 99-131",,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,5.0,4.7,1.0
Leonard Miller,millele01,2026,24,54.0,60.0,2026-02-26,,,POR,"L, 112-121",,,4.0,5.0,0.8,1.0,1.0,1.0,3.0,4.0,0.75,0.9,2.0,2.0,1.0,0.0,3.0,3.0,2.0,0.0,2.0,2.0,2.0,11.0,10.0,2.0
Leonard Miller,millele01,2026,25,55.0,61.0,2026-03-01,,,MIL,"W, 120-97",,,6.0,8.0,0.75,2.0,4.0,0.5,4.0,4.0,1.0,0.875,1.0,1.0,1.0,2.0,3.0,5.0,4.0,1.0,2.0,1.0,2.0,15.0,17.5,38.0
Leonard Miller,millele01,2026,26,56.0,62.0,2026-03-03,,,OKC,"L, 108-116",,,3.0,5.0,0.6,2.0,4.0,0.5,1.0,1.0,1.0,0.8,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,8.0,4.8,-1.0
Leonard Miller,millele01,2026,27,57.0,63.0,2026-03-05,,,PHO,"W, 105-103",*,,3.0,9.0,0.333,0.0,5.0,0.0,3.0,4.0,0.75,0.333,2.0,2.0,1.0,0.0,9.0,9.0,0.0,0.0,0.0,1.0,2.0,8.0,3.8,11.0
Leonard Miller,millele01,2026,28,58.0,64.0,2026-03-08,,,SAC,"L, 110-126",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-2.0
Leonard Miller,millele01,2026,29,59.0,65.0,2026-03-10,,,GSW,"W, 130-124 (OT)",*,,8.0,16.0,0.5,1.0,3.0,0.333,7.0,13.0,0.538,0.531,0.0,0.0,,6.0,5.0,11.0,1.0,1.0,1.0,0.0,1.0,17.0,16.7,14.0
Leonard Miller,millele01,2026,30,60.0,66.0,2026-03-12,,,LAL,"L, 130-142",*,,6.0,9.0,0.667,1.0,3.0,0.333,5.0,6.0,0.833,0.722,2.0,2.0,1.0,3.0,6.0,9.0,1.0,1.0,0.0,1.0,4.0,15.0,14.1,-11.0
Leonard Miller,millele01,2026,31,61.0,67.0,2026-03-13,,,LAC,"L, 108-119",*,,6.0,14.0,0.429,0.0,5.0,0.0,6.0,9.0,0.667,0.429,2.0,2.0,1.0,1.0,7.0,8.0,3.0,2.0,0.0,0.0,3.0,14.0,12.3,-13.0
Leonard Miller,millele01,2026,32,62.0,68.0,2026-03-16,,,MEM,"W, 132-107",*,,3.0,5.0,0.6,2.0,3.0,0.667,1.0,2.0,0.5,0.8,2.0,3.0,0.667,3.0,4.0,7.0,2.0,0.0,2.0,0.0,1.0,10.0,13.0,21.0
Leonard Miller,millele01,2026,33,63.0,69.0,2026-03-18,,,TOR,"L, 109-139",*,,6.0,9.0,0.667,1.0,3.0,0.333,5.0,6.0,0.833,0.722,0.0,0.0,,1.0,3.0,4.0,0.0,0.0,0.0,0.0,3.0,13.0,9.5,-10.0
Leonard Miller,millele01,2026,34,64.0,70.0,2026-03-19,,,CLE,"L, 110-115",,,4.0,9.0,0.444,1.0,3.0,0.333,3.0,6.0,0.5,0.5,1.0,1.0,1.0,3.0,1.0,4.0,0.0,0.0,0.0,2.0,1.0,10.0,5.3,-2.0
Leonard Miller,millele01,2026,35,65.0,71.0,2026-03-23,,,HOU,"W, 132-124",,,7.0,11.0,0.636,2.0,3.0,0.667,5.0,8.0,0.625,0.727,1.0,2.0,0.5,2.0,7.0,9.0,3.0,0.0,0.0,1.0,1.0,17.0,15.9,4.0
Leonard Miller,millele01,2026,36,66.0,72.0,2026-03-25,,,PHI,"L, 137-157",,,6.0,12.0,0.5,1.0,5.0,0.2,5.0,7.0,0.714,0.542,2.0,2.0,1.0,1.0,6.0,7.0,2.0,0.0,0.0,1.0,3.0,15.0,10.7,5.0
Leonard Miller,millele01,2026,37,67.0,73.0,2026-03-27,,,OKC,"L, 113-131",,,6.0,17.0,0.353,2.0,7.0,0.286,4.0,10.0,0.4,0.412,1.0,2.0,0.5,2.0,5.0,7.0,0.0,1.0,0.0,3.0,3.0,15.0,4.8,-2.0
Leonard Miller,millele01,2026,38,68.0,74.0,2026-03-28,,,MEM,"L, 124-125",*,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,3.0,4.0,0.75,1.0,3.0,4.0,0.0,1.0,0.0,0.0,1.0,5.0,5.8,-1.0
