player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Malik Monk,monkma01,2026,1,524.0,1.0,2025-10-22,,,PHO,"L, 116-120",,,7.0,13.0,0.538,3.0,4.0,0.75,4.0,9.0,0.444,0.654,2.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,19.0,13.6,-9.0
Malik Monk,monkma01,2026,2,525.0,2.0,2025-10-24,,,UTA,"W, 105-104",,,7.0,14.0,0.5,6.0,9.0,0.667,1.0,5.0,0.2,0.714,0.0,0.0,,0.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,20.0,17.0,10.0
Malik Monk,monkma01,2026,3,526.0,3.0,2025-10-26,,,LAL,"L, 120-127",,,5.0,9.0,0.556,3.0,6.0,0.5,2.0,3.0,0.667,0.722,2.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,15.0,13.2,7.0
Malik Monk,monkma01,2026,4,527.0,4.0,2025-10-28,,,OKC,"L, 101-107",,,3.0,7.0,0.429,0.0,3.0,0.0,3.0,4.0,0.75,0.429,3.0,4.0,0.75,0.0,2.0,2.0,4.0,1.0,0.0,2.0,2.0,9.0,6.5,4.0
Malik Monk,monkma01,2026,5,528.0,5.0,2025-10-29,,,CHI,"L, 113-126",,,7.0,10.0,0.7,1.0,3.0,0.333,6.0,7.0,0.857,0.75,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,15.0,11.8,17.0
Malik Monk,monkma01,2026,6,529.0,8.0,2025-11-05,,,GSW,"W, 121-116",,,6.0,12.0,0.5,2.0,5.0,0.4,4.0,7.0,0.571,0.583,7.0,8.0,0.875,1.0,3.0,4.0,2.0,0.0,0.0,2.0,2.0,21.0,14.8,2.0
Malik Monk,monkma01,2026,7,530.0,9.0,2025-11-07,,,OKC,"L, 101-132",,,6.0,9.0,0.667,3.0,4.0,0.75,3.0,5.0,0.6,0.833,0.0,0.0,,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,15.0,13.0,-10.0
Malik Monk,monkma01,2026,8,531.0,10.0,2025-11-09,,,MIN,"L, 117-144",,,1.0,7.0,0.143,0.0,3.0,0.0,1.0,4.0,0.25,0.143,0.0,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,2.0,-0.2,-10.0
Malik Monk,monkma01,2026,9,532.0,11.0,2025-11-11,,,DEN,"L, 108-122",,,5.0,12.0,0.417,2.0,5.0,0.4,3.0,7.0,0.429,0.5,0.0,0.0,,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,12.0,7.3,2.0
Malik Monk,monkma01,2026,10,533.0,13.0,2025-11-14,,,MIN,"L, 110-124",,,0.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,-2.5,0.0
Malik Monk,monkma01,2026,11,534.0,14.0,2025-11-16,,,SAS,"L, 110-123",,,5.0,17.0,0.294,2.0,7.0,0.286,3.0,10.0,0.3,0.353,4.0,4.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,16.0,7.0,3.0
Malik Monk,monkma01,2026,12,535.0,15.0,2025-11-19,,,OKC,"L, 99-113",,,5.0,9.0,0.556,3.0,5.0,0.6,2.0,4.0,0.5,0.722,3.0,4.0,0.75,0.0,3.0,3.0,2.0,2.0,0.0,1.0,3.0,16.0,13.4,-4.0
Malik Monk,monkma01,2026,13,536.0,16.0,2025-11-20,,,MEM,"L, 96-137",,,1.0,4.0,0.25,0.0,1.0,0.0,1.0,3.0,0.333,0.25,0.0,0.0,,1.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,0.9,-13.0
Malik Monk,monkma01,2026,14,537.0,17.0,2025-11-22,,,DEN,"W, 128-123",,,5.0,14.0,0.357,1.0,4.0,0.25,4.0,10.0,0.4,0.393,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,12.0,6.2,12.0
Malik Monk,monkma01,2026,15,538.0,18.0,2025-11-24,,,MIN,"W, 117-112 (OT)",,,9.0,18.0,0.5,2.0,7.0,0.286,7.0,11.0,0.636,0.556,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,22.0,17.1,15.0
Malik Monk,monkma01,2026,16,539.0,19.0,2025-11-26,,,PHO,"L, 100-112",,,6.0,12.0,0.5,3.0,6.0,0.5,3.0,6.0,0.5,0.625,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,1.0,4.0,1.0,15.0,7.0,-11.0
Malik Monk,monkma01,2026,17,540.0,20.0,2025-11-28,,,UTA,"L, 119-128",,,2.0,7.0,0.286,1.0,4.0,0.25,1.0,3.0,0.333,0.357,0.0,0.0,,0.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,5.0,1.1,-26.0
Malik Monk,monkma01,2026,18,541.0,21.0,2025-11-30,,,MEM,"L, 107-115",,,8.0,17.0,0.471,1.0,5.0,0.2,7.0,12.0,0.583,0.5,4.0,5.0,0.8,0.0,6.0,6.0,6.0,2.0,2.0,1.0,4.0,21.0,18.7,13.0
Malik Monk,monkma01,2026,19,542.0,22.0,2025-12-03,,,HOU,"L, 95-121",,,10.0,19.0,0.526,5.0,8.0,0.625,5.0,11.0,0.455,0.658,0.0,0.0,,2.0,1.0,3.0,5.0,2.0,0.0,0.0,1.0,25.0,22.5,-30.0
Malik Monk,monkma01,2026,20,543.0,23.0,2025-12-06,,,MIA,"W, 127-111",,,1.0,7.0,0.143,0.0,4.0,0.0,1.0,3.0,0.333,0.143,1.0,2.0,0.5,0.0,0.0,0.0,4.0,0.0,0.0,1.0,4.0,3.0,-1.7,-2.0
Malik Monk,monkma01,2026,21,544.0,24.0,2025-12-08,,,IND,"L, 105-116",,,0.0,5.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,4.0,4.0,1.0,0.0,0.0,2.0,2.0,0.0,-4.4,-11.0
Malik Monk,monkma01,2026,22,545.0,25.0,2025-12-11,,,DEN,"L, 105-136",,,5.0,11.0,0.455,3.0,6.0,0.5,2.0,5.0,0.4,0.591,5.0,6.0,0.833,1.0,3.0,4.0,5.0,1.0,0.0,5.0,0.0,18.0,13.0,-19.0
Malik Monk,monkma01,2026,23,546.0,26.0,2025-12-14,,,MIN,"L, 103-117",,,3.0,9.0,0.333,3.0,5.0,0.6,0.0,4.0,0.0,0.5,7.0,7.0,1.0,0.0,3.0,3.0,3.0,0.0,1.0,0.0,3.0,16.0,13.4,-4.0
Malik Monk,monkma01,2026,24,547.0,29.0,2025-12-21,,,HOU,"W, 125-124 (OT)",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9,-3.0
Malik Monk,monkma01,2026,25,548.0,30.0,2025-12-23,,,DET,"L, 127-136",,,3.0,8.0,0.375,2.0,4.0,0.5,1.0,4.0,0.25,0.5,1.0,2.0,0.5,0.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,9.0,5.2,-6.0
Malik Monk,monkma01,2026,26,549.0,31.0,2025-12-27,,,DAL,"W, 113-107",,,3.0,9.0,0.333,1.0,3.0,0.333,2.0,6.0,0.333,0.389,0.0,0.0,,0.0,3.0,3.0,3.0,1.0,0.0,2.0,1.0,7.0,3.5,-6.0
Malik Monk,monkma01,2026,27,550.0,32.0,2025-12-28,,,LAL,"L, 101-125",,,4.0,10.0,0.4,3.0,9.0,0.333,1.0,1.0,1.0,0.55,0.0,0.0,,1.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,11.0,6.2,-12.0
Malik Monk,monkma01,2026,28,551.0,33.0,2025-12-30,,,LAC,"L, 90-131",,,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,3.0,-2.4,-16.0
Malik Monk,monkma01,2026,29,552.0,34.0,2026-01-01,,,BOS,"L, 106-120",,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.7,-2.0
Malik Monk,monkma01,2026,30,553.0,38.0,2026-01-09,,,GSW,"L, 103-137",,,4.0,10.0,0.4,0.0,4.0,0.0,4.0,6.0,0.667,0.4,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,8.0,1.1,-17.0
Malik Monk,monkma01,2026,31,554.0,39.0,2026-01-11,,,HOU,"W, 111-98",,,6.0,12.0,0.5,2.0,4.0,0.5,4.0,8.0,0.5,0.583,1.0,1.0,1.0,0.0,4.0,4.0,3.0,0.0,1.0,0.0,2.0,15.0,12.2,22.0
Malik Monk,monkma01,2026,32,555.0,40.0,2026-01-12,,,LAL,"W, 124-112",,,9.0,15.0,0.6,7.0,9.0,0.778,2.0,6.0,0.333,0.833,1.0,1.0,1.0,0.0,1.0,1.0,8.0,1.0,0.0,2.0,3.0,26.0,22.8,5.0
Malik Monk,monkma01,2026,33,556.0,41.0,2026-01-14,,,NYK,"W, 112-101",,,2.0,7.0,0.286,0.0,2.0,0.0,2.0,5.0,0.4,0.286,5.0,5.0,1.0,1.0,2.0,3.0,3.0,0.0,1.0,2.0,5.0,9.0,5.0,-5.0
Malik Monk,monkma01,2026,34,557.0,42.0,2026-01-16,,,WAS,"W, 128-115",,,1.0,6.0,0.167,0.0,4.0,0.0,1.0,2.0,0.5,0.167,2.0,2.0,1.0,0.0,2.0,2.0,3.0,0.0,0.0,3.0,0.0,4.0,-0.1,3.0
Malik Monk,monkma01,2026,35,558.0,43.0,2026-01-18,,,POR,"L, 110-117",,,9.0,15.0,0.6,5.0,9.0,0.556,4.0,6.0,0.667,0.767,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,23.0,16.8,6.0
Malik Monk,monkma01,2026,36,559.0,44.0,2026-01-20,,,MIA,"L, 117-130",,,6.0,13.0,0.462,4.0,10.0,0.4,2.0,3.0,0.667,0.615,2.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,3.0,18.0,11.1,-3.0
Malik Monk,monkma01,2026,37,560.0,45.0,2026-01-21,,,TOR,"L, 109-122",,,6.0,7.0,0.857,3.0,4.0,0.75,3.0,3.0,1.0,1.071,2.0,2.0,1.0,0.0,4.0,4.0,3.0,0.0,0.0,4.0,2.0,17.0,13.0,-10.0
Malik Monk,monkma01,2026,38,561.0,46.0,2026-01-23,,,CLE,"L, 118-123",,,6.0,15.0,0.4,4.0,9.0,0.444,2.0,6.0,0.333,0.533,0.0,0.0,,0.0,1.0,1.0,7.0,1.0,0.0,1.0,0.0,16.0,13.1,17.0
Malik Monk,monkma01,2026,39,562.0,47.0,2026-01-25,,,DET,"L, 116-139",,,7.0,11.0,0.636,3.0,5.0,0.6,4.0,6.0,0.667,0.773,2.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,3.0,0.0,2.0,19.0,18.5,-11.0
