player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Trey Murphy III,murphtr01,2026,1,252.0,1.0,2025-10-22,,,MEM,"L, 122-128",*,,5.0,15.0,0.333,1.0,6.0,0.167,4.0,9.0,0.444,0.367,2.0,2.0,1.0,2.0,5.0,7.0,3.0,0.0,0.0,1.0,4.0,13.0,6.9,-3.0
Trey Murphy III,murphtr01,2026,2,253.0,2.0,2025-10-24,,,SAS,"L, 116-120 (OT)",*,,9.0,18.0,0.5,3.0,8.0,0.375,6.0,10.0,0.6,0.583,3.0,3.0,1.0,3.0,7.0,10.0,5.0,3.0,0.0,1.0,2.0,24.0,23.9,-2.0
Trey Murphy III,murphtr01,2026,3,254.0,3.0,2025-10-27,,,BOS,"L, 90-122",*,,3.0,11.0,0.273,0.0,4.0,0.0,3.0,7.0,0.429,0.273,1.0,2.0,0.5,0.0,5.0,5.0,5.0,0.0,0.0,0.0,2.0,7.0,4.3,-15.0
Trey Murphy III,murphtr01,2026,4,255.0,4.0,2025-10-29,,,DEN,"L, 88-122",*,,1.0,8.0,0.125,1.0,5.0,0.2,0.0,3.0,0.0,0.188,4.0,4.0,1.0,1.0,6.0,7.0,0.0,1.0,0.0,1.0,1.0,7.0,3.9,-32.0
Trey Murphy III,murphtr01,2026,5,256.0,5.0,2025-10-31,,,LAC,"L, 124-126",*,,6.0,14.0,0.429,5.0,10.0,0.5,1.0,4.0,0.25,0.607,0.0,0.0,,1.0,4.0,5.0,6.0,2.0,0.0,1.0,3.0,17.0,15.5,-3.0
Trey Murphy III,murphtr01,2026,6,257.0,6.0,2025-11-02,,,OKC,"L, 106-137",*,,7.0,13.0,0.538,5.0,10.0,0.5,2.0,3.0,0.667,0.731,0.0,0.0,,0.0,5.0,5.0,2.0,1.0,0.0,0.0,5.0,19.0,14.6,-22.0
Trey Murphy III,murphtr01,2026,7,258.0,7.0,2025-11-04,,,CHO,"W, 116-112",*,,7.0,16.0,0.438,5.0,10.0,0.5,2.0,6.0,0.333,0.594,2.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,0.0,21.0,16.7,3.0
Trey Murphy III,murphtr01,2026,8,259.0,8.0,2025-11-05,,,DAL,"W, 101-99",*,,3.0,12.0,0.25,1.0,6.0,0.167,2.0,6.0,0.333,0.292,4.0,4.0,1.0,3.0,6.0,9.0,5.0,2.0,1.0,3.0,2.0,11.0,10.1,1.0
Trey Murphy III,murphtr01,2026,9,260.0,9.0,2025-11-08,,,SAS,"L, 119-126",*,,15.0,22.0,0.682,5.0,11.0,0.455,10.0,11.0,0.909,0.795,6.0,6.0,1.0,3.0,6.0,9.0,3.0,1.0,0.0,1.0,1.0,41.0,37.2,-14.0
Trey Murphy III,murphtr01,2026,10,261.0,10.0,2025-11-10,,,PHO,"L, 98-121",*,,6.0,14.0,0.429,2.0,7.0,0.286,4.0,7.0,0.571,0.5,7.0,9.0,0.778,4.0,6.0,10.0,4.0,2.0,0.0,6.0,2.0,21.0,15.4,-13.0
Trey Murphy III,murphtr01,2026,11,262.0,11.0,2025-11-12,,,POR,"L, 117-125",*,,8.0,18.0,0.444,3.0,11.0,0.273,5.0,7.0,0.714,0.528,3.0,3.0,1.0,1.0,4.0,5.0,5.0,1.0,0.0,1.0,2.0,22.0,17.2,-3.0
Trey Murphy III,murphtr01,2026,12,263.0,12.0,2025-11-14,,,LAL,"L, 104-118",*,,13.0,21.0,0.619,3.0,7.0,0.429,10.0,14.0,0.714,0.69,6.0,6.0,1.0,2.0,5.0,7.0,0.0,1.0,0.0,6.0,2.0,35.0,22.6,-25.0
Trey Murphy III,murphtr01,2026,13,264.0,13.0,2025-11-16,,,GSW,"L, 106-124",*,,6.0,13.0,0.462,2.0,6.0,0.333,4.0,7.0,0.571,0.538,6.0,6.0,1.0,1.0,7.0,8.0,2.0,3.0,0.0,5.0,3.0,20.0,14.3,-10.0
Trey Murphy III,murphtr01,2026,14,265.0,14.0,2025-11-17,,,OKC,"L, 109-126",*,,6.0,9.0,0.667,4.0,5.0,0.8,2.0,4.0,0.5,0.889,2.0,2.0,1.0,2.0,3.0,5.0,1.0,3.0,0.0,3.0,3.0,18.0,15.9,-19.0
Trey Murphy III,murphtr01,2026,15,266.0,15.0,2025-11-19,,,DEN,"L, 118-125",*,,7.0,14.0,0.5,5.0,12.0,0.417,2.0,2.0,1.0,0.679,4.0,4.0,1.0,0.0,2.0,2.0,3.0,5.0,1.0,3.0,0.0,23.0,21.4,-4.0
Trey Murphy III,murphtr01,2026,16,267.0,16.0,2025-11-21,,,DAL,"L, 115-118",*,,7.0,14.0,0.5,1.0,7.0,0.143,6.0,7.0,0.857,0.536,10.0,10.0,1.0,0.0,3.0,3.0,0.0,3.0,1.0,0.0,3.0,25.0,21.4,-1.0
Trey Murphy III,murphtr01,2026,17,268.0,17.0,2025-11-22,,,ATL,"L, 98-115",*,,6.0,16.0,0.375,4.0,10.0,0.4,2.0,6.0,0.333,0.5,3.0,4.0,0.75,1.0,8.0,9.0,4.0,0.0,0.0,4.0,2.0,19.0,10.9,-16.0
Trey Murphy III,murphtr01,2026,18,269.0,18.0,2025-11-24,,,CHI,"W, 143-130",*,,7.0,16.0,0.438,4.0,10.0,0.4,3.0,6.0,0.5,0.563,2.0,3.0,0.667,0.0,4.0,4.0,4.0,2.0,0.0,1.0,3.0,20.0,15.0,20.0
