player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Larry Nance Jr.,nancela01,2026,1,547.0,1.0,2025-10-22,,,NYK,"L, 111-119",,,4.0,7.0,0.571,2.0,2.0,1.0,2.0,5.0,0.4,0.714,0.0,0.0,,1.0,5.0,6.0,1.0,0.0,0.0,1.0,3.0,10.0,7.4,-2.0
Larry Nance Jr.,nancela01,2026,2,548.0,2.0,2025-10-24,,,BRK,"W, 131-124",,,4.0,8.0,0.5,0.0,1.0,0.0,4.0,7.0,0.571,0.5,1.0,3.0,0.333,1.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,9.0,7.2,-5.0
Larry Nance Jr.,nancela01,2026,3,549.0,3.0,2025-10-26,,,MIL,"W, 118-113",,,2.0,3.0,0.667,1.0,1.0,1.0,1.0,2.0,0.5,0.833,0.0,0.0,,1.0,4.0,5.0,1.0,1.0,0.0,1.0,2.0,5.0,5.5,-1.0
Larry Nance Jr.,nancela01,2026,4,550.0,4.0,2025-10-27,,,DET,"W, 116-95",,,1.0,3.0,0.333,1.0,2.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,,0.0,4.0,4.0,2.0,0.0,1.0,1.0,5.0,3.0,1.6,4.0
Larry Nance Jr.,nancela01,2026,5,551.0,5.0,2025-10-29,,,BOS,"L, 105-125",,,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,-1.3,-7.0
Larry Nance Jr.,nancela01,2026,6,552.0,6.0,2025-10-31,,,TOR,"L, 101-112",,,0.0,6.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,-4.4,-10.0
Larry Nance Jr.,nancela01,2026,7,553.0,7.0,2025-11-02,,,ATL,"W, 117-109",*,,1.0,9.0,0.111,0.0,4.0,0.0,1.0,5.0,0.2,0.111,0.0,0.0,,1.0,3.0,4.0,4.0,1.0,0.0,1.0,4.0,2.0,-1.1,5.0
Larry Nance Jr.,nancela01,2026,8,554.0,8.0,2025-11-05,,,PHI,"W, 132-121",,,3.0,6.0,0.5,1.0,3.0,0.333,2.0,3.0,0.667,0.583,0.0,0.0,,3.0,2.0,5.0,1.0,1.0,0.0,1.0,5.0,7.0,5.4,-6.0
Larry Nance Jr.,nancela01,2026,9,555.0,9.0,2025-11-07,,,WAS,"W, 148-115",,,2.0,3.0,0.667,1.0,2.0,0.5,1.0,1.0,1.0,0.833,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,5.0,5.7,3.0
Larry Nance Jr.,nancela01,2026,10,556.0,12.0,2025-11-12,,,MIA,"W, 130-116",,,1.0,3.0,0.333,1.0,2.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,,1.0,4.0,5.0,2.0,2.0,0.0,1.0,4.0,3.0,4.0,3.0
Larry Nance Jr.,nancela01,2026,11,557.0,13.0,2025-11-13,,,TOR,"L, 113-126",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,-1.7,-13.0
Larry Nance Jr.,nancela01,2026,12,558.0,14.0,2025-11-15,,,MEM,"W, 108-100",,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,-3.6,-7.0
Larry Nance Jr.,nancela01,2026,13,559.0,17.0,2025-11-21,,,IND,"W, 120-109",,,2.0,4.0,0.5,0.0,1.0,0.0,2.0,3.0,0.667,0.5,0.0,0.0,,1.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,4.0,6.1,-2.0
Larry Nance Jr.,nancela01,2026,14,560.0,18.0,2025-11-23,,,LAC,"W, 120-105",,,1.0,3.0,0.333,1.0,2.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.8,-4.0
Larry Nance Jr.,nancela01,2026,15,561.0,19.0,2025-11-24,,,TOR,"L, 99-110",*,,2.0,4.0,0.5,2.0,3.0,0.667,0.0,1.0,0.0,0.75,0.0,0.0,,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,6.0,7.7,5.0
Larry Nance Jr.,nancela01,2026,16,562.0,20.0,2025-11-28,,,ATL,"L, 123-130",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.9,15.0
