player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Brandin Podziemski,podzibr01,2026,1,139.0,1.0,2025-10-21,,,LAL,"W, 119-109",*,,3,7,0.429,1,4,0.25,2,3,0.667,0.5,0,0,,1,6,7,2,1,0,1,2,7,6.4,13
Brandin Podziemski,podzibr01,2026,2,140.0,2.0,2025-10-23,,,DEN,"W, 137-131 (OT)",*,,4,9,0.444,2,6,0.333,2,3,0.667,0.556,1,2,0.5,1,2,3,1,1,0,1,3,11,6.7,-1
Brandin Podziemski,podzibr01,2026,3,141.0,3.0,2025-10-24,,,POR,"L, 119-139",,,2,9,0.222,1,3,0.333,1,6,0.167,0.278,3,4,0.75,1,4,5,0,2,0,2,1,8,3.6,-17
Brandin Podziemski,podzibr01,2026,4,142.0,4.0,2025-10-27,,,MEM,"W, 131-118",*,,8,14,0.571,5,7,0.714,3,7,0.429,0.75,2,4,0.5,2,2,4,6,1,0,0,3,23,21.6,17
Brandin Podziemski,podzibr01,2026,5,143.0,5.0,2025-10-28,,,LAC,"W, 98-79",,,5,10,0.5,2,6,0.333,3,4,0.75,0.6,0,0,,0,5,5,4,1,1,1,0,12,12.0,10
Brandin Podziemski,podzibr01,2026,6,144.0,6.0,2025-10-30,,,MIL,"L, 110-120",,,4,8,0.5,1,3,0.333,3,5,0.6,0.563,0,0,,0,5,5,3,3,0,2,1,9,9.2,-8
Brandin Podziemski,podzibr01,2026,7,145.0,7.0,2025-11-01,,,IND,"L, 109-114",*,,6,10,0.6,1,4,0.25,5,6,0.833,0.65,3,4,0.75,0,4,4,3,1,1,0,4,16,14.4,7
Brandin Podziemski,podzibr01,2026,8,146.0,8.0,2025-11-04,,,PHO,"W, 118-107",,,5,11,0.455,1,6,0.167,4,5,0.8,0.5,2,2,1.0,0,2,2,4,1,0,1,3,13,9.5,3
Brandin Podziemski,podzibr01,2026,9,147.0,9.0,2025-11-05,,,SAC,"L, 116-121",*,,5,10,0.5,2,4,0.5,3,6,0.5,0.6,2,2,1.0,1,8,9,9,0,0,4,3,14,13.2,14
Brandin Podziemski,podzibr01,2026,10,148.0,10.0,2025-11-07,,,DEN,"L, 104-129",*,,3,10,0.3,1,4,0.25,2,6,0.333,0.35,0,0,,0,2,2,3,0,1,2,1,7,2.2,-15
Brandin Podziemski,podzibr01,2026,11,149.0,11.0,2025-11-09,,,IND,"W, 114-83",*,,4,11,0.364,1,6,0.167,3,5,0.6,0.409,5,6,0.833,0,6,6,1,2,0,2,3,14,8.8,22
Brandin Podziemski,podzibr01,2026,12,150.0,12.0,2025-11-11,,,OKC,"L, 102-126",,,3,6,0.5,2,2,1.0,1,4,0.25,0.667,2,2,1.0,0,4,4,1,3,0,0,5,10,9.9,-21
Brandin Podziemski,podzibr01,2026,13,151.0,13.0,2025-11-12,,,SAS,"W, 125-120",,,2,7,0.286,2,5,0.4,0,2,0.0,0.429,0,0,,0,6,6,4,3,1,3,3,6,6.0,10
Brandin Podziemski,podzibr01,2026,14,152.0,14.0,2025-11-14,,,SAS,"W, 109-108",,,3,8,0.375,3,6,0.5,0,2,0.0,0.563,1,2,0.5,0,3,3,3,0,1,0,1,10,8.5,4
Brandin Podziemski,podzibr01,2026,15,153.0,15.0,2025-11-16,,,NOP,"W, 124-106",,,8,13,0.615,3,7,0.429,5,6,0.833,0.731,0,0,,0,3,3,3,0,0,0,1,19,15.7,7
Brandin Podziemski,podzibr01,2026,16,154.0,16.0,2025-11-18,,,ORL,"L, 113-121",,,2,7,0.286,1,2,0.5,1,5,0.2,0.357,0,0,,1,5,6,0,0,0,0,2,5,2.3,-7
Brandin Podziemski,podzibr01,2026,17,155.0,17.0,2025-11-19,,,MIA,"L, 96-110",*,,6,19,0.316,2,7,0.286,4,12,0.333,0.368,6,7,0.857,2,6,8,2,0,0,3,2,20,9.5,-13
Brandin Podziemski,podzibr01,2026,18,156.0,18.0,2025-11-21,,,POR,"L, 123-127",,,5,9,0.556,2,5,0.4,3,4,0.75,0.667,8,10,0.8,0,0,0,3,3,0,1,1,20,18.6,3
Brandin Podziemski,podzibr01,2026,19,157.0,19.0,2025-11-24,,,UTA,"W, 134-117",,,1,4,0.25,1,2,0.5,0,2,0.0,0.375,3,4,0.75,1,4,5,3,2,0,1,1,6,7.8,-2
Brandin Podziemski,podzibr01,2026,20,158.0,20.0,2025-11-26,,,HOU,"L, 100-104",,,6,11,0.545,2,3,0.667,4,8,0.5,0.636,0,2,0.0,1,3,4,2,1,0,2,3,14,8.7,-7
Brandin Podziemski,podzibr01,2026,21,159.0,21.0,2025-11-29,,,NOP,"W, 104-96",*,,5,13,0.385,3,9,0.333,2,4,0.5,0.5,2,2,1.0,0,5,5,6,1,0,0,3,15,13.4,7
Brandin Podziemski,podzibr01,2026,22,160.0,22.0,2025-12-02,,,OKC,"L, 112-124",*,,6,11,0.545,3,5,0.6,3,6,0.5,0.682,2,3,0.667,1,3,4,4,1,0,4,3,17,11.5,-9
Brandin Podziemski,podzibr01,2026,23,161.0,23.0,2025-12-04,,,PHI,"L, 98-99",*,,2,8,0.25,0,5,0.0,2,3,0.667,0.25,2,2,1.0,3,3,6,0,1,0,3,0,6,2.2,-20
Brandin Podziemski,podzibr01,2026,24,162.0,24.0,2025-12-06,,,CLE,"W, 99-94",,,4,9,0.444,2,3,0.667,2,6,0.333,0.556,0,0,,0,3,3,2,1,0,1,1,10,7.2,-5
