player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Kristaps Porziņģis,porzikr01,2026,1,502.0,1.0,2025-10-22,,,TOR,"L, 118-138",*,,5.0,12.0,0.417,4.0,7.0,0.571,1.0,5.0,0.2,0.583,6.0,6.0,1.0,2.0,5.0,7.0,2.0,0.0,2.0,2.0,4.0,20.0,15.7,-11.0
Kristaps Porziņģis,porzikr01,2026,2,503.0,4.0,2025-10-27,,,CHI,"L, 123-128",*,,11.0,17.0,0.647,3.0,6.0,0.5,8.0,11.0,0.727,0.735,2.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,27.0,20.1,-8.0
Kristaps Porziņģis,porzikr01,2026,3,504.0,5.0,2025-10-29,,,BRK,"W, 117-112",*,,6.0,14.0,0.429,2.0,7.0,0.286,4.0,7.0,0.571,0.5,0.0,1.0,0.0,3.0,3.0,6.0,7.0,2.0,1.0,1.0,6.0,14.0,13.4,-4.0
Kristaps Porziņģis,porzikr01,2026,4,505.0,6.0,2025-10-31,,,IND,"W, 128-108",*,,6.0,12.0,0.5,1.0,3.0,0.333,5.0,9.0,0.556,0.542,2.0,3.0,0.667,4.0,4.0,8.0,1.0,0.0,1.0,3.0,1.0,15.0,10.6,0.0
Kristaps Porziņģis,porzikr01,2026,5,506.0,7.0,2025-11-02,,,CLE,"L, 109-117",*,,5.0,11.0,0.455,0.0,4.0,0.0,5.0,7.0,0.714,0.455,5.0,7.0,0.714,3.0,9.0,12.0,5.0,0.0,1.0,2.0,4.0,15.0,13.9,-9.0
Kristaps Porziņģis,porzikr01,2026,6,507.0,8.0,2025-11-04,,,ORL,"W, 127-112",*,,2.0,8.0,0.25,0.0,1.0,0.0,2.0,7.0,0.286,0.25,11.0,13.0,0.846,0.0,2.0,2.0,3.0,3.0,0.0,0.0,4.0,15.0,13.5,18.0
Kristaps Porziņģis,porzikr01,2026,7,508.0,9.0,2025-11-07,,,TOR,"L, 97-109",*,,4.0,16.0,0.25,1.0,7.0,0.143,3.0,9.0,0.333,0.281,8.0,8.0,1.0,3.0,4.0,7.0,3.0,0.0,4.0,0.0,0.0,17.0,15.6,5.0
Kristaps Porziņģis,porzikr01,2026,8,509.0,11.0,2025-11-10,,,LAC,"W, 105-102",*,,5.0,12.0,0.417,1.0,5.0,0.2,4.0,7.0,0.571,0.458,9.0,9.0,1.0,1.0,2.0,3.0,4.0,0.0,3.0,0.0,5.0,20.0,17.8,-14.0
Kristaps Porziņģis,porzikr01,2026,9,510.0,12.0,2025-11-12,,,SAC,"W, 133-100",*,,5.0,12.0,0.417,2.0,5.0,0.4,3.0,7.0,0.429,0.5,1.0,2.0,0.5,1.0,3.0,4.0,6.0,0.0,2.0,1.0,2.0,13.0,11.6,32.0
Kristaps Porziņģis,porzikr01,2026,10,511.0,16.0,2025-11-20,,,SAS,"L, 126-135",*,,7.0,10.0,0.7,2.0,3.0,0.667,5.0,7.0,0.714,0.8,0.0,0.0,,0.0,5.0,5.0,1.0,0.0,2.0,1.0,3.0,16.0,13.2,-3.0
