player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Norman Powell,powelno01,2026,1,618.0,1.0,2025-10-22,,,ORL,"L, 121-125",*,,9.0,19.0,0.474,4.0,8.0,0.5,5.0,11.0,0.455,0.579,6.0,7.0,0.857,2.0,7.0,9.0,4.0,1.0,1.0,3.0,4.0,28.0,21.3,12.0
Norman Powell,powelno01,2026,2,619.0,2.0,2025-10-24,,,MEM,"W, 146-114",*,,5.0,10.0,0.5,2.0,4.0,0.5,3.0,6.0,0.5,0.6,3.0,4.0,0.75,0.0,6.0,6.0,2.0,2.0,0.0,2.0,2.0,15.0,12.0,7.0
Norman Powell,powelno01,2026,3,620.0,3.0,2025-10-26,,,NYK,"W, 115-107",*,,7.0,15.0,0.467,3.0,6.0,0.5,4.0,9.0,0.444,0.567,12.0,12.0,1.0,1.0,6.0,7.0,3.0,3.0,0.0,1.0,3.0,29.0,26.7,-7.0
Norman Powell,powelno01,2026,4,621.0,7.0,2025-11-03,,,LAC,"W, 120-119",*,,6.0,10.0,0.6,2.0,3.0,0.667,4.0,7.0,0.571,0.7,7.0,7.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,5.0,2.0,21.0,13.6,4.0
Norman Powell,powelno01,2026,5,622.0,8.0,2025-11-05,,,DEN,"L, 112-122",*,,5.0,15.0,0.333,4.0,8.0,0.5,1.0,7.0,0.143,0.467,9.0,9.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,3.0,0.0,23.0,13.1,-5.0
Norman Powell,powelno01,2026,6,623.0,9.0,2025-11-07,,,CHO,"W, 126-108",*,,10.0,20.0,0.5,2.0,5.0,0.4,8.0,15.0,0.533,0.55,3.0,3.0,1.0,0.0,4.0,4.0,3.0,0.0,0.0,2.0,2.0,25.0,15.5,6.0
Norman Powell,powelno01,2026,7,624.0,10.0,2025-11-08,,,POR,"W, 136-131",*,,7.0,16.0,0.438,1.0,5.0,0.2,6.0,11.0,0.545,0.469,7.0,8.0,0.875,0.0,2.0,2.0,3.0,2.0,0.0,1.0,2.0,22.0,16.1,11.0
Norman Powell,powelno01,2026,8,625.0,11.0,2025-11-10,,,CLE,"W, 140-138 (OT)",*,,8.0,19.0,0.421,4.0,9.0,0.444,4.0,10.0,0.4,0.526,13.0,14.0,0.929,0.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,33.0,23.6,17.0
Norman Powell,powelno01,2026,9,626.0,12.0,2025-11-12,,,CLE,"L, 116-130",*,,10.0,18.0,0.556,5.0,10.0,0.5,5.0,8.0,0.625,0.694,2.0,2.0,1.0,0.0,2.0,2.0,5.0,0.0,0.0,3.0,3.0,27.0,18.3,-3.0
Norman Powell,powelno01,2026,10,627.0,13.0,2025-11-14,,,NYK,"L, 132-140",*,,12.0,22.0,0.545,8.0,15.0,0.533,4.0,7.0,0.571,0.727,6.0,7.0,0.857,0.0,5.0,5.0,0.0,1.0,0.0,1.0,2.0,38.0,27.7,4.0
Norman Powell,powelno01,2026,11,628.0,14.0,2025-11-17,,,NYK,"W, 115-113",*,,9.0,20.0,0.45,0.0,3.0,0.0,9.0,17.0,0.529,0.45,1.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,2.0,19.0,9.2,4.0
Norman Powell,powelno01,2026,12,629.0,15.0,2025-11-19,,,GSW,"W, 110-96",*,,10.0,14.0,0.714,4.0,7.0,0.571,6.0,7.0,0.857,0.857,1.0,1.0,1.0,0.0,6.0,6.0,3.0,1.0,0.0,1.0,3.0,25.0,21.9,11.0
Norman Powell,powelno01,2026,13,630.0,16.0,2025-11-21,,,CHI,"W, 143-107",*,,6.0,14.0,0.429,2.0,7.0,0.286,4.0,7.0,0.571,0.5,5.0,8.0,0.625,1.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,19.0,15.1,14.0
Norman Powell,powelno01,2026,14,631.0,17.0,2025-11-23,,,PHI,"W, 127-117",*,,11.0,18.0,0.611,4.0,7.0,0.571,7.0,11.0,0.636,0.722,6.0,9.0,0.667,1.0,3.0,4.0,1.0,2.0,0.0,1.0,2.0,32.0,25.1,12.0
Norman Powell,powelno01,2026,15,632.0,19.0,2025-11-26,,,MIL,"W, 106-103",*,,4.0,11.0,0.364,0.0,5.0,0.0,4.0,6.0,0.667,0.364,3.0,3.0,1.0,0.0,4.0,4.0,2.0,1.0,0.0,2.0,1.0,11.0,6.1,-11.0
Norman Powell,powelno01,2026,16,633.0,20.0,2025-11-29,,,DET,"L, 135-138",*,,9.0,16.0,0.563,3.0,6.0,0.5,6.0,10.0,0.6,0.656,7.0,8.0,0.875,0.0,2.0,2.0,3.0,1.0,0.0,3.0,4.0,28.0,19.1,15.0
Norman Powell,powelno01,2026,17,634.0,21.0,2025-12-01,,,LAC,"W, 140-123",*,,12.0,18.0,0.667,6.0,10.0,0.6,6.0,8.0,0.75,0.833,0.0,0.0,,1.0,2.0,3.0,3.0,1.0,1.0,2.0,5.0,30.0,23.3,33.0
Norman Powell,powelno01,2026,18,635.0,23.0,2025-12-05,,,ORL,"L, 105-106",*,,9.0,18.0,0.5,2.0,5.0,0.4,7.0,13.0,0.538,0.556,8.0,11.0,0.727,0.0,3.0,3.0,4.0,0.0,1.0,3.0,2.0,28.0,18.4,-4.0
Norman Powell,powelno01,2026,19,636.0,24.0,2025-12-06,,,SAC,"L, 111-127",*,,6.0,14.0,0.429,1.0,5.0,0.2,5.0,9.0,0.556,0.464,5.0,6.0,0.833,1.0,1.0,2.0,1.0,0.0,1.0,0.0,4.0,18.0,11.0,-21.0
Norman Powell,powelno01,2026,20,637.0,25.0,2025-12-09,,,ORL,"L, 108-117",*,,8.0,19.0,0.421,4.0,12.0,0.333,4.0,7.0,0.571,0.526,1.0,2.0,0.5,0.0,7.0,7.0,2.0,3.0,0.0,1.0,3.0,21.0,14.8,-4.0
Norman Powell,powelno01,2026,21,638.0,26.0,2025-12-15,,,TOR,"L, 96-106",*,,5.0,15.0,0.333,2.0,7.0,0.286,3.0,8.0,0.375,0.4,8.0,10.0,0.8,1.0,2.0,3.0,4.0,0.0,0.0,3.0,0.0,20.0,11.8,-9.0
Norman Powell,powelno01,2026,22,639.0,27.0,2025-12-18,,,BRK,"W, 106-95",*,,8.0,14.0,0.571,3.0,5.0,0.6,5.0,9.0,0.556,0.679,5.0,6.0,0.833,0.0,6.0,6.0,2.0,3.0,0.0,3.0,1.0,24.0,19.8,14.0
Norman Powell,powelno01,2026,23,640.0,28.0,2025-12-19,,,BOS,"L, 116-129",*,,7.0,21.0,0.333,1.0,11.0,0.091,6.0,10.0,0.6,0.357,3.0,5.0,0.6,0.0,4.0,4.0,3.0,1.0,0.0,1.0,3.0,18.0,7.4,-12.0
Norman Powell,powelno01,2026,24,641.0,29.0,2025-12-21,,,NYK,"L, 125-132",*,,7.0,17.0,0.412,4.0,8.0,0.5,3.0,9.0,0.333,0.529,4.0,5.0,0.8,1.0,3.0,4.0,3.0,3.0,0.0,1.0,2.0,22.0,17.4,3.0
Norman Powell,powelno01,2026,25,642.0,30.0,2025-12-23,,,TOR,"L, 91-112",*,,6.0,17.0,0.353,1.0,6.0,0.167,5.0,11.0,0.455,0.382,4.0,4.0,1.0,0.0,6.0,6.0,6.0,2.0,0.0,3.0,3.0,17.0,11.3,-22.0
Norman Powell,powelno01,2026,26,643.0,31.0,2025-12-26,,,ATL,"W, 126-111",*,,9.0,16.0,0.563,2.0,8.0,0.25,7.0,8.0,0.875,0.625,5.0,5.0,1.0,1.0,6.0,7.0,5.0,1.0,0.0,2.0,2.0,25.0,21.6,2.0
Norman Powell,powelno01,2026,27,644.0,32.0,2025-12-27,,,IND,"W, 142-116",*,,7.0,19.0,0.368,1.0,3.0,0.333,6.0,16.0,0.375,0.395,8.0,8.0,1.0,0.0,5.0,5.0,2.0,2.0,1.0,1.0,1.0,23.0,16.7,6.0
Norman Powell,powelno01,2026,28,645.0,33.0,2025-12-29,,,DEN,"W, 147-123",*,,9.0,16.0,0.563,3.0,8.0,0.375,6.0,8.0,0.75,0.656,4.0,4.0,1.0,1.0,0.0,1.0,4.0,1.0,0.0,3.0,1.0,25.0,18.5,7.0
Norman Powell,powelno01,2026,29,646.0,34.0,2026-01-01,,,DET,"W, 118-112",*,,12.0,23.0,0.522,7.0,14.0,0.5,5.0,9.0,0.556,0.674,5.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,3.0,2.0,36.0,24.3,4.0
Norman Powell,powelno01,2026,30,647.0,35.0,2026-01-03,,,MIN,"L, 115-125",*,,6.0,13.0,0.462,2.0,6.0,0.333,4.0,7.0,0.571,0.538,7.0,8.0,0.875,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,21.0,13.9,-6.0
Norman Powell,powelno01,2026,31,648.0,36.0,2026-01-04,,,NOP,"W, 125-106",*,,11.0,15.0,0.733,9.0,12.0,0.75,2.0,3.0,0.667,1.033,3.0,4.0,0.75,0.0,3.0,3.0,3.0,2.0,0.0,0.0,3.0,34.0,31.3,23.0
Norman Powell,powelno01,2026,32,649.0,37.0,2026-01-06,,,MIN,"L, 94-122",*,,9.0,17.0,0.529,3.0,6.0,0.5,6.0,11.0,0.545,0.618,0.0,1.0,0.0,0.0,3.0,3.0,4.0,0.0,0.0,3.0,2.0,21.0,12.2,-19.0
Norman Powell,powelno01,2026,33,650.0,38.0,2026-01-10,,,IND,"L, 99-123",*,,2.0,12.0,0.167,1.0,7.0,0.143,1.0,5.0,0.2,0.208,1.0,2.0,0.5,0.0,3.0,3.0,1.0,1.0,0.0,4.0,1.0,6.0,-3.8,-22.0
Norman Powell,powelno01,2026,34,651.0,40.0,2026-01-13,,,PHO,"W, 127-121",*,,10.0,18.0,0.556,4.0,10.0,0.4,6.0,8.0,0.75,0.667,3.0,4.0,0.75,0.0,5.0,5.0,3.0,1.0,0.0,1.0,5.0,27.0,19.6,13.0
Norman Powell,powelno01,2026,35,652.0,41.0,2026-01-15,,,BOS,"L, 114-119",*,,10.0,15.0,0.667,1.0,3.0,0.333,9.0,12.0,0.75,0.7,5.0,5.0,1.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,2.0,26.0,22.0,11.0
Norman Powell,powelno01,2026,36,653.0,42.0,2026-01-17,,,OKC,"W, 122-120",*,,5.0,15.0,0.333,5.0,12.0,0.417,0.0,3.0,0.0,0.5,4.0,7.0,0.571,0.0,4.0,4.0,4.0,2.0,1.0,1.0,2.0,19.0,14.2,7.0
Norman Powell,powelno01,2026,37,654.0,43.0,2026-01-19,,,GSW,"L, 112-135",*,,7.0,16.0,0.438,2.0,7.0,0.286,5.0,9.0,0.556,0.5,5.0,6.0,0.833,1.0,2.0,3.0,3.0,0.0,0.0,3.0,3.0,21.0,11.4,-6.0
Norman Powell,powelno01,2026,38,655.0,44.0,2026-01-20,,,SAC,"W, 130-117",*,,8.0,16.0,0.5,4.0,6.0,0.667,4.0,10.0,0.4,0.625,2.0,3.0,0.667,0.0,3.0,3.0,2.0,0.0,0.0,4.0,2.0,22.0,11.1,13.0
Norman Powell,powelno01,2026,39,656.0,45.0,2026-01-22,,,POR,"L, 110-127",*,,7.0,15.0,0.467,0.0,7.0,0.0,7.0,8.0,0.875,0.467,4.0,5.0,0.8,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,18.0,11.3,-18.0
Norman Powell,powelno01,2026,40,657.0,46.0,2026-01-24,,,UTA,"W, 147-116",*,,3.0,11.0,0.273,0.0,4.0,0.0,3.0,7.0,0.429,0.273,7.0,10.0,0.7,0.0,4.0,4.0,6.0,0.0,0.0,0.0,1.0,13.0,10.3,15.0
Norman Powell,powelno01,2026,41,658.0,47.0,2026-01-25,,,PHO,"W, 111-102",*,,5.0,21.0,0.238,2.0,10.0,0.2,3.0,11.0,0.273,0.286,4.0,4.0,1.0,2.0,8.0,10.0,1.0,1.0,0.0,2.0,1.0,16.0,6.4,7.0
Norman Powell,powelno01,2026,42,659.0,48.0,2026-01-28,,,ORL,"L, 124-133",*,,8.0,17.0,0.471,2.0,7.0,0.286,6.0,10.0,0.6,0.529,4.0,4.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,3.0,5.0,22.0,10.3,-7.0
Norman Powell,powelno01,2026,43,660.0,49.0,2026-01-29,,,CHI,"W, 116-113",*,,7.0,16.0,0.438,2.0,4.0,0.5,5.0,12.0,0.417,0.5,5.0,6.0,0.833,0.0,0.0,0.0,1.0,2.0,0.0,4.0,2.0,21.0,10.1,-8.0
Norman Powell,powelno01,2026,44,661.0,53.0,2026-02-06,,,BOS,"L, 96-98",*,,9.0,15.0,0.6,3.0,7.0,0.429,6.0,8.0,0.75,0.7,3.0,3.0,1.0,1.0,2.0,3.0,4.0,4.0,0.0,3.0,2.0,24.0,21.4,1.0
Norman Powell,powelno01,2026,45,662.0,54.0,2026-02-08,,,WAS,"W, 132-101",*,,5.0,12.0,0.417,5.0,10.0,0.5,0.0,2.0,0.0,0.625,6.0,8.0,0.75,1.0,3.0,4.0,0.0,1.0,0.0,1.0,3.0,21.0,14.2,7.0
Norman Powell,powelno01,2026,46,663.0,57.0,2026-02-20,,,ATL,"W, 128-97",*,,5.0,13.0,0.385,2.0,8.0,0.25,3.0,5.0,0.6,0.462,3.0,3.0,1.0,0.0,3.0,3.0,2.0,1.0,0.0,2.0,2.0,15.0,8.4,22.0
Norman Powell,powelno01,2026,47,664.0,58.0,2026-02-21,,,MEM,"W, 136-120",*,,10.0,16.0,0.625,3.0,8.0,0.375,7.0,8.0,0.875,0.719,2.0,7.0,0.286,0.0,2.0,2.0,6.0,2.0,1.0,2.0,2.0,25.0,20.5,17.0
Norman Powell,powelno01,2026,48,665.0,59.0,2026-02-24,,,MIL,"L, 117-128",*,,6.0,14.0,0.429,3.0,8.0,0.375,3.0,6.0,0.5,0.536,11.0,14.0,0.786,1.0,5.0,6.0,0.0,1.0,0.0,6.0,1.0,26.0,14.2,-8.0
Norman Powell,powelno01,2026,49,666.0,60.0,2026-02-26,,,PHI,"L, 117-124",*,,1.0,5.0,0.2,1.0,4.0,0.25,0.0,1.0,0.0,0.3,0.0,0.0,,0.0,3.0,3.0,2.0,0.0,0.0,1.0,0.0,3.0,1.2,-9.0
Norman Powell,powelno01,2026,50,667.0,68.0,2026-03-14,,,ORL,"L, 117-121",,,7.0,15.0,0.467,1.0,5.0,0.2,6.0,10.0,0.6,0.5,5.0,5.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,20.0,14.3,3.0
Norman Powell,powelno01,2026,51,668.0,69.0,2026-03-17,,,CHO,"L, 106-136",*,,7.0,17.0,0.412,1.0,4.0,0.25,6.0,13.0,0.462,0.441,2.0,6.0,0.333,1.0,5.0,6.0,3.0,0.0,1.0,0.0,3.0,17.0,10.1,-23.0
Norman Powell,powelno01,2026,52,669.0,70.0,2026-03-19,,,LAL,"L, 126-134",,,7.0,13.0,0.538,1.0,5.0,0.2,6.0,8.0,0.75,0.577,5.0,5.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,6.0,20.0,15.1,6.0
Norman Powell,powelno01,2026,53,670.0,72.0,2026-03-23,,,SAS,"L, 111-136",,,7.0,18.0,0.389,4.0,11.0,0.364,3.0,7.0,0.429,0.5,3.0,4.0,0.75,0.0,4.0,4.0,2.0,0.0,0.0,4.0,4.0,21.0,7.8,-17.0
Norman Powell,powelno01,2026,54,671.0,73.0,2026-03-25,,,CLE,"W, 120-103",*,,7.0,12.0,0.583,3.0,7.0,0.429,4.0,5.0,0.8,0.708,2.0,2.0,1.0,0.0,4.0,4.0,2.0,2.0,0.0,1.0,2.0,19.0,16.2,-6.0
Norman Powell,powelno01,2026,55,672.0,74.0,2026-03-27,,,CLE,"L, 128-149",*,,5.0,10.0,0.5,2.0,5.0,0.4,3.0,5.0,0.6,0.6,3.0,3.0,1.0,0.0,3.0,3.0,2.0,0.0,1.0,0.0,3.0,15.0,11.8,-12.0
Norman Powell,powelno01,2026,56,673.0,79.0,2026-04-07,,,TOR,"L, 95-121",,,4.0,12.0,0.333,2.0,7.0,0.286,2.0,5.0,0.4,0.417,4.0,4.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,2.0,1.0,14.0,6.1,-19.0
Norman Powell,powelno01,2026,57,674.0,80.0,2026-04-09,,,TOR,"L, 114-128",,,2.0,5.0,0.4,0.0,3.0,0.0,2.0,2.0,1.0,0.4,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,7.0,1.1,-23.0
Norman Powell,powelno01,2026,58,675.0,82.0,2026-04-12,,,ATL,"W, 143-117",,,8.0,17.0,0.471,3.0,7.0,0.429,5.0,10.0,0.5,0.559,6.0,6.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,25.0,19.3,8.0
