player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Olivier-Maxence Prosper,prospol01,2026,1,93.0,1.0,2025-10-22,,,NOP,"W, 128-122",,,3.0,5.0,0.6,0.0,1.0,0.0,3.0,4.0,0.75,0.6,4.0,4.0,1.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,2.0,10.0,8.8,-10.0
Olivier-Maxence Prosper,prospol01,2026,2,94.0,2.0,2025-10-24,,,MIA,"L, 114-146",,,2.0,3.0,0.667,0.0,0.0,,2.0,3.0,0.667,0.667,4.0,4.0,1.0,3.0,1.0,4.0,1.0,0.0,0.0,3.0,0.0,8.0,6.8,-17.0
Olivier-Maxence Prosper,prospol01,2026,3,95.0,3.0,2025-10-25,,,IND,"W, 128-103",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-5.0
Olivier-Maxence Prosper,prospol01,2026,4,96.0,4.0,2025-10-27,,,GSW,"L, 118-131",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.7,4.0
Olivier-Maxence Prosper,prospol01,2026,5,97.0,7.0,2025-11-02,,,TOR,"L, 104-117",,,2.0,3.0,0.667,0.0,1.0,0.0,2.0,2.0,1.0,0.667,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,6.0,6.7,6.0
Olivier-Maxence Prosper,prospol01,2026,6,98.0,9.0,2025-11-05,,,HOU,"L, 109-124",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0
Olivier-Maxence Prosper,prospol01,2026,7,99.0,10.0,2025-11-07,,,DAL,"W, 118-104",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olivier-Maxence Prosper,prospol01,2026,8,100.0,11.0,2025-11-09,,,OKC,"L, 100-114",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Olivier-Maxence Prosper,prospol01,2026,9,101.0,13.0,2025-11-12,,,BOS,"L, 95-131",,,2.0,7.0,0.286,0.0,2.0,0.0,2.0,5.0,0.4,0.286,4.0,4.0,1.0,1.0,3.0,4.0,4.0,0.0,1.0,1.0,2.0,8.0,7.2,-11.0
Olivier-Maxence Prosper,prospol01,2026,10,102.0,16.0,2025-11-20,,,SAC,"W, 137-96",,,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.167,4.0,6.0,0.667,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,11.0,11.7,12.0
Olivier-Maxence Prosper,prospol01,2026,11,103.0,17.0,2025-11-22,,,DAL,"W, 102-96",,,1.0,8.0,0.125,0.0,3.0,0.0,1.0,5.0,0.2,0.125,0.0,0.0,,2.0,5.0,7.0,0.0,0.0,0.0,1.0,2.0,2.0,-2.1,-12.0
Olivier-Maxence Prosper,prospol01,2026,12,104.0,22.0,2025-12-02,,,SAS,"L, 119-126",,,1.0,4.0,0.25,0.0,0.0,,1.0,4.0,0.25,0.25,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,-0.3,0.0
Olivier-Maxence Prosper,prospol01,2026,13,105.0,24.0,2025-12-07,,,POR,"W, 119-96",,,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.6,-1.0
Olivier-Maxence Prosper,prospol01,2026,14,106.0,26.0,2025-12-15,,,LAC,"W, 121-103",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,-3.0
Olivier-Maxence Prosper,prospol01,2026,15,107.0,27.0,2025-12-17,,,MIN,"W, 116-110",,,3.0,4.0,0.75,0.0,1.0,0.0,3.0,3.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,7.0,4.3,12.0
Olivier-Maxence Prosper,prospol01,2026,16,108.0,28.0,2025-12-20,,,WAS,"L, 122-130",,,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.167,1.0,1.0,1.0,0.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,8.0,11.2,-11.0
Olivier-Maxence Prosper,prospol01,2026,17,109.0,29.0,2025-12-22,,,OKC,"L, 103-119",,,3.0,5.0,0.6,2.0,4.0,0.5,1.0,1.0,1.0,0.8,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,8.0,2.8,-18.0
Olivier-Maxence Prosper,prospol01,2026,18,110.0,30.0,2025-12-23,,,UTA,"W, 137-128",,,2.0,4.0,0.5,2.0,3.0,0.667,0.0,1.0,0.0,0.75,2.0,2.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,8.0,7.4,-3.0
Olivier-Maxence Prosper,prospol01,2026,19,111.0,32.0,2025-12-28,,,WAS,"L, 112-116",,,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.6,-7.0
Olivier-Maxence Prosper,prospol01,2026,20,112.0,37.0,2026-01-07,,,PHO,"L, 98-117",,,4.0,8.0,0.5,0.0,2.0,0.0,4.0,6.0,0.667,0.5,0.0,0.0,,0.0,7.0,7.0,0.0,1.0,0.0,2.0,1.0,8.0,4.7,3.0
Olivier-Maxence Prosper,prospol01,2026,21,113.0,44.0,2026-01-26,,,HOU,"L, 99-108",,,2.0,4.0,0.5,2.0,2.0,1.0,0.0,2.0,0.0,0.75,2.0,2.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,8.0,6.4,1.0
Olivier-Maxence Prosper,prospol01,2026,22,114.0,45.0,2026-01-28,,,CHO,"L, 97-112",,,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.75,1.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,1.9,14.0
Olivier-Maxence Prosper,prospol01,2026,23,115.0,46.0,2026-01-30,,,NOP,"L, 106-114",,,1.0,4.0,0.25,0.0,2.0,0.0,1.0,2.0,0.5,0.25,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.3,-5.0
Olivier-Maxence Prosper,prospol01,2026,24,116.0,47.0,2026-01-31,,,MIN,"L, 114-131",,,6.0,9.0,0.667,1.0,4.0,0.25,5.0,5.0,1.0,0.722,0.0,0.0,,2.0,3.0,5.0,0.0,1.0,1.0,1.0,2.0,13.0,11.3,-3.0
