player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Will Richard,richawi01,2026,1,1.0,1.0,2025-10-21,,,LAL,"W, 119-109",,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,5.0,6.0,-11.0
Will Richard,richawi01,2026,2,2.0,2.0,2025-10-23,,,DEN,"W, 137-131 (OT)",,,2.0,5.0,0.4,1.0,4.0,0.25,1.0,1.0,1.0,0.5,1.0,2.0,0.5,1.0,4.0,5.0,3.0,1.0,0.0,0.0,1.0,6.0,7.5,-3.0
Will Richard,richawi01,2026,3,3.0,3.0,2025-10-24,,,POR,"L, 119-139",,,2.0,4.0,0.5,1.0,3.0,0.333,1.0,1.0,1.0,0.625,2.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,4.0,7.0,5.4,-13.0
Will Richard,richawi01,2026,4,4.0,4.0,2025-10-27,,,MEM,"W, 131-118",,,2.0,3.0,0.667,0.0,1.0,0.0,2.0,2.0,1.0,0.667,0.0,0.0,,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,4.0,3.6,1.0
Will Richard,richawi01,2026,5,5.0,5.0,2025-10-28,,,LAC,"W, 98-79",,,2.0,3.0,0.667,1.0,2.0,0.5,1.0,1.0,1.0,0.833,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,3.3,-9.0
Will Richard,richawi01,2026,6,6.0,6.0,2025-10-30,,,MIL,"L, 110-120",,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,7.0,9.1,-10.0
Will Richard,richawi01,2026,7,7.0,9.0,2025-11-05,,,SAC,"L, 116-121",*,,10.0,15.0,0.667,5.0,8.0,0.625,5.0,7.0,0.714,0.833,5.0,7.0,0.714,5.0,2.0,7.0,3.0,1.0,0.0,1.0,3.0,30.0,27.7,1.0
Will Richard,richawi01,2026,8,8.0,10.0,2025-11-07,,,DEN,"L, 104-129",,,5.0,10.0,0.5,1.0,5.0,0.2,4.0,5.0,0.8,0.55,1.0,1.0,1.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,2.0,12.0,9.3,-10.0
Will Richard,richawi01,2026,9,9.0,11.0,2025-11-09,,,IND,"W, 114-83",,,4.0,8.0,0.5,0.0,2.0,0.0,4.0,6.0,0.667,0.5,7.0,8.0,0.875,1.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,15.0,13.2,19.0
Will Richard,richawi01,2026,10,10.0,12.0,2025-11-11,,,OKC,"L, 102-126",,,3.0,6.0,0.5,3.0,5.0,0.6,0.0,1.0,0.0,0.75,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,9.0,5.7,-4.0
