player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Brice Sensabaugh,sensabr01,2026,1,104.0,1.0,2025-10-22,,,LAC,"W, 129-108",,,7.0,13.0,0.538,3.0,7.0,0.429,4.0,6.0,0.667,0.654,3.0,3.0,1.0,0.0,4.0,4.0,2.0,1.0,0.0,1.0,5.0,20.0,14.3,8.0
Brice Sensabaugh,sensabr01,2026,2,105.0,2.0,2025-10-24,,,SAC,"L, 104-105",,,6.0,11.0,0.545,3.0,7.0,0.429,3.0,4.0,0.75,0.682,0.0,0.0,,0.0,4.0,4.0,1.0,1.0,0.0,2.0,0.0,15.0,10.6,-9.0
Brice Sensabaugh,sensabr01,2026,3,106.0,3.0,2025-10-27,,,PHO,"W, 138-134 (OT)",,,1.0,5.0,0.2,0.0,4.0,0.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,3.0,-0.2,-25.0
Brice Sensabaugh,sensabr01,2026,4,107.0,4.0,2025-10-29,,,POR,"L, 134-136",,,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,,0.5,2.0,2.0,1.0,0.0,5.0,5.0,1.0,0.0,1.0,0.0,1.0,5.0,5.8,-7.0
Brice Sensabaugh,sensabr01,2026,5,108.0,5.0,2025-10-31,,,PHO,"L, 96-118",,,1.0,4.0,0.25,1.0,3.0,0.333,0.0,1.0,0.0,0.375,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,-1.2,-6.0
Brice Sensabaugh,sensabr01,2026,6,109.0,6.0,2025-11-02,,,CHO,"L, 103-126",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,5.0,6.0,0.833,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,7.0,6.4,-4.0
Brice Sensabaugh,sensabr01,2026,7,110.0,8.0,2025-11-05,,,DET,"L, 103-114",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Brice Sensabaugh,sensabr01,2026,8,111.0,9.0,2025-11-07,,,MIN,"L, 97-137",,,2.0,12.0,0.167,1.0,9.0,0.111,1.0,3.0,0.333,0.208,0.0,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,5.0,-0.9,-4.0
Brice Sensabaugh,sensabr01,2026,9,112.0,10.0,2025-11-10,,,MIN,"L, 113-120",,,4.0,6.0,0.667,1.0,3.0,0.333,3.0,3.0,1.0,0.75,1.0,1.0,1.0,2.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,10.0,9.1,11.0
Brice Sensabaugh,sensabr01,2026,10,113.0,11.0,2025-11-11,,,IND,"W, 152-128",,,6.0,11.0,0.545,4.0,9.0,0.444,2.0,2.0,1.0,0.727,0.0,0.0,,0.0,4.0,4.0,1.0,2.0,0.0,1.0,0.0,16.0,13.6,14.0
Brice Sensabaugh,sensabr01,2026,11,114.0,12.0,2025-11-13,,,ATL,"L, 122-132",,,3.0,6.0,0.5,3.0,6.0,0.5,0.0,0.0,,0.75,0.0,0.0,,1.0,2.0,3.0,2.0,0.0,0.0,3.0,1.0,9.0,5.3,-7.0
