player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Terrence Shannon Jr.,shannte01,2026,1,33.0,1.0,2025-10-22,,,POR,"W, 118-114",,,4.0,7.0,0.571,2.0,2.0,1.0,2.0,5.0,0.4,0.714,0.0,0.0,,1.0,4.0,5.0,5.0,1.0,0.0,2.0,3.0,10.0,9.9,5.0
Terrence Shannon Jr.,shannte01,2026,2,34.0,2.0,2025-10-24,,,LAL,"L, 110-128",,,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,-4.3,-13.0
Terrence Shannon Jr.,shannte01,2026,3,35.0,3.0,2025-10-26,,,IND,"W, 114-110",,,1.0,3.0,0.333,1.0,1.0,1.0,0.0,2.0,0.0,0.5,0.0,0.0,,0.0,4.0,4.0,0.0,1.0,0.0,1.0,0.0,3.0,2.5,-4.0
Terrence Shannon Jr.,shannte01,2026,4,36.0,4.0,2025-10-27,,,DEN,"L, 114-127",,,3.0,8.0,0.375,1.0,3.0,0.333,2.0,5.0,0.4,0.438,2.0,3.0,0.667,1.0,2.0,3.0,1.0,1.0,0.0,1.0,2.0,9.0,5.4,-11.0
Terrence Shannon Jr.,shannte01,2026,5,37.0,5.0,2025-10-29,,,LAL,"L, 115-116",,,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,-0.9,-14.0
Terrence Shannon Jr.,shannte01,2026,6,38.0,6.0,2025-11-01,,,CHO,"W, 122-105",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.6,-10.0
Terrence Shannon Jr.,shannte01,2026,7,39.0,7.0,2025-11-03,,,BRK,"W, 125-109",,,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,1.0,2.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,1.5,-1.0
Terrence Shannon Jr.,shannte01,2026,8,40.0,17.0,2025-11-24,,,SAC,"L, 112-117 (OT)",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,-1.6,-4.0
Terrence Shannon Jr.,shannte01,2026,9,41.0,18.0,2025-11-26,,,OKC,"L, 105-113",,,7.0,7.0,1.0,3.0,3.0,1.0,4.0,4.0,1.0,1.214,1.0,2.0,0.5,0.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,18.0,15.6,4.0
Terrence Shannon Jr.,shannte01,2026,10,42.0,19.0,2025-11-29,,,BOS,"W, 119-115",,,3.0,7.0,0.429,2.0,5.0,0.4,1.0,2.0,0.5,0.571,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,10.0,2.9,-5.0
Terrence Shannon Jr.,shannte01,2026,11,43.0,20.0,2025-11-30,,,SAS,"W, 125-112",,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,4.0,6.0,0.667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,2.1,-7.0
Terrence Shannon Jr.,shannte01,2026,12,44.0,21.0,2025-12-02,,,NOP,"W, 149-142 (OT)",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.2,-13.0
Terrence Shannon Jr.,shannte01,2026,13,45.0,22.0,2025-12-04,,,NOP,"W, 125-116",,,2.0,4.0,0.5,1.0,1.0,1.0,1.0,3.0,0.333,0.625,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,7.0,3.3,1.0
Terrence Shannon Jr.,shannte01,2026,14,46.0,23.0,2025-12-06,,,LAC,"W, 109-106",,,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,0.333,0.333,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.3,-4.0
Terrence Shannon Jr.,shannte01,2026,15,47.0,24.0,2025-12-08,,,PHO,"L, 105-108",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,-0.5,-4.0
Terrence Shannon Jr.,shannte01,2026,16,48.0,25.0,2025-12-12,,,GSW,"W, 127-120",,,3.0,7.0,0.429,0.0,0.0,,3.0,7.0,0.429,0.429,3.0,4.0,0.75,1.0,3.0,4.0,3.0,2.0,1.0,2.0,3.0,9.0,8.1,12.0
Terrence Shannon Jr.,shannte01,2026,17,49.0,26.0,2025-12-14,,,SAC,"W, 117-103",,,1.0,3.0,0.333,0.0,2.0,0.0,1.0,1.0,1.0,0.333,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,-0.1,-11.0
Terrence Shannon Jr.,shannte01,2026,18,50.0,27.0,2025-12-17,,,MEM,"L, 110-116",,,2.0,6.0,0.333,2.0,3.0,0.667,0.0,3.0,0.0,0.5,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,2.9,-8.0
Terrence Shannon Jr.,shannte01,2026,19,51.0,28.0,2025-12-19,,,OKC,"W, 112-107",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,-1.0
Terrence Shannon Jr.,shannte01,2026,20,52.0,29.0,2025-12-21,,,MIL,"W, 103-100",,,4.0,7.0,0.571,3.0,5.0,0.6,1.0,2.0,0.5,0.786,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,11.0,8.3,4.0
Terrence Shannon Jr.,shannte01,2026,21,53.0,30.0,2025-12-23,,,NYK,"W, 115-104",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.7,7.0
Terrence Shannon Jr.,shannte01,2026,22,54.0,31.0,2025-12-25,,,DEN,"L, 138-142 (OT)",,,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1,-5.0
Terrence Shannon Jr.,shannte01,2026,23,55.0,58.0,2026-02-22,,,PHI,"L, 108-135",,,1.0,4.0,0.25,0.0,1.0,0.0,1.0,3.0,0.333,0.25,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,2.8,-14.0
Terrence Shannon Jr.,shannte01,2026,24,56.0,59.0,2026-02-24,,,POR,"W, 124-121",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.3,0.0
Terrence Shannon Jr.,shannte01,2026,25,57.0,60.0,2026-02-26,,,LAC,"W, 94-88",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,-1.8,0.0
Terrence Shannon Jr.,shannte01,2026,26,58.0,63.0,2026-03-05,,,TOR,"W, 115-107",,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.4,-10.0
Terrence Shannon Jr.,shannte01,2026,27,59.0,64.0,2026-03-07,,,ORL,"L, 92-119",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.4,-8.0
Terrence Shannon Jr.,shannte01,2026,28,60.0,65.0,2026-03-10,,,LAL,"L, 106-120",,,4.0,6.0,0.667,2.0,2.0,1.0,2.0,4.0,0.5,0.833,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,10.1,4.0
Terrence Shannon Jr.,shannte01,2026,29,61.0,66.0,2026-03-11,,,LAC,"L, 128-153",,,2.0,4.0,0.5,0.0,2.0,0.0,2.0,2.0,1.0,0.5,0.0,0.0,,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,4.0,4.0,-4.0
Terrence Shannon Jr.,shannte01,2026,30,62.0,68.0,2026-03-15,,,OKC,"L, 103-116",,,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.7,3.0
Terrence Shannon Jr.,shannte01,2026,31,63.0,70.0,2026-03-18,,,UTA,"W, 147-111",,,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,,0.75,2.0,4.0,0.5,1.0,2.0,3.0,0.0,3.0,0.0,1.0,2.0,8.0,7.7,29.0
Terrence Shannon Jr.,shannte01,2026,32,64.0,71.0,2026-03-20,,,POR,"L, 104-108",,,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.4,-13.0
Terrence Shannon Jr.,shannte01,2026,33,65.0,72.0,2026-03-22,,,BOS,"W, 102-92",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
Terrence Shannon Jr.,shannte01,2026,34,66.0,73.0,2026-03-25,,,HOU,"W, 110-108 (OT)",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,9.0
