player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Jamal Shead,sheadja01,2026,1,76.0,1.0,2025-10-22,,,ATL,"W, 138-118",,,3,5,0.6,1,2,0.5,2,3,0.667,0.7,3,4,0.75,1,1,2,5,1,0,2,1,10,10.4,11
Jamal Shead,sheadja01,2026,2,77.0,2.0,2025-10-24,,,MIL,"L, 116-122",,,1,6,0.167,0,2,0.0,1,4,0.25,0.167,2,2,1.0,0,0,0,4,1,0,0,0,4,4.0,-2
Jamal Shead,sheadja01,2026,3,78.0,3.0,2025-10-26,,,DAL,"L, 129-139",,,2,3,0.667,1,2,0.5,1,1,1.0,0.833,1,2,0.5,0,0,0,8,1,0,1,1,6,9.5,5
Jamal Shead,sheadja01,2026,4,79.0,4.0,2025-10-27,,,SAS,"L, 103-121",,,2,6,0.333,1,4,0.25,1,2,0.5,0.417,1,1,1.0,0,2,2,5,0,0,2,3,6,3.5,-9
Jamal Shead,sheadja01,2026,5,80.0,5.0,2025-10-29,,,HOU,"L, 121-139",,,2,6,0.333,2,2,1.0,0,4,0.0,0.5,0,0,,0,2,2,4,0,0,1,3,6,3.8,-7
Jamal Shead,sheadja01,2026,6,81.0,6.0,2025-10-31,,,CLE,"W, 112-101",,,3,4,0.75,1,1,1.0,2,3,0.667,0.875,2,2,1.0,2,5,7,4,0,0,1,4,9,10.5,10
Jamal Shead,sheadja01,2026,7,82.0,7.0,2025-11-02,,,MEM,"W, 117-104",,,3,4,0.75,2,3,0.667,1,1,1.0,1.0,1,1,1.0,0,0,0,5,0,0,0,3,9,9.7,7
Jamal Shead,sheadja01,2026,8,83.0,8.0,2025-11-04,,,MIL,"W, 128-100",,,1,4,0.25,1,3,0.333,0,1,0.0,0.375,2,2,1.0,1,1,2,8,2,0,1,3,5,9.0,17
Jamal Shead,sheadja01,2026,9,84.0,9.0,2025-11-07,,,ATL,"W, 109-97",,,0,3,0.0,0,3,0.0,0,0,,0.0,0,0,,0,1,1,2,1,0,1,1,0,-0.8,7
Jamal Shead,sheadja01,2026,10,85.0,10.0,2025-11-08,,,PHI,"L, 120-130",,,3,7,0.429,3,5,0.6,0,2,0.0,0.643,0,0,,0,3,3,5,1,0,2,1,9,8.3,-9
Jamal Shead,sheadja01,2026,11,86.0,11.0,2025-11-11,,,BRK,"W, 119-109",,,2,4,0.5,1,2,0.5,1,2,0.5,0.625,1,2,0.5,0,1,1,5,0,0,2,0,6,5.4,-4
