player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Adou Thiero,thierad01,2026,1,1.0,14.0,2025-11-15,,,MIL,"W, 119-95",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.4,2.0
Adou Thiero,thierad01,2026,2,2.0,15.0,2025-11-18,,,UTA,"W, 140-126",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.9,-7.0
Adou Thiero,thierad01,2026,3,3.0,17.0,2025-11-25,,,LAC,"W, 135-118",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,-1.0
Adou Thiero,thierad01,2026,4,4.0,19.0,2025-11-30,,,NOP,"W, 133-121",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.6,-1.0
Adou Thiero,thierad01,2026,5,5.0,20.0,2025-12-01,,,PHO,"L, 108-125",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.7,2.0
Adou Thiero,thierad01,2026,6,6.0,21.0,2025-12-04,,,TOR,"W, 123-120",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,2.0,3.0,0.667,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,5.7,-2.0
Adou Thiero,thierad01,2026,7,7.0,22.0,2025-12-05,,,BOS,"L, 105-126",,,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,,2.0,1.0,3.0,0.0,0.0,0.0,2.0,4.0,0.0,-3.3,-5.0
Adou Thiero,thierad01,2026,8,8.0,23.0,2025-12-07,,,PHI,"W, 112-108",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,-7.0
Adou Thiero,thierad01,2026,9,9.0,24.0,2025-12-10,,,SAS,"L, 119-132",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
Adou Thiero,thierad01,2026,10,10.0,26.0,2025-12-18,,,UTA,"W, 143-135",,,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,-2.3,4.0
Adou Thiero,thierad01,2026,11,11.0,27.0,2025-12-20,,,LAC,"L, 88-103",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,7.0
Adou Thiero,thierad01,2026,12,12.0,28.0,2025-12-23,,,PHO,"L, 108-132",,,2.0,5.0,0.4,0.0,1.0,0.0,2.0,4.0,0.5,0.4,2.0,3.0,0.667,1.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,6.0,4.5,6.0
Adou Thiero,thierad01,2026,13,13.0,29.0,2025-12-25,,,HOU,"L, 96-119",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,-1.0
Adou Thiero,thierad01,2026,14,14.0,30.0,2025-12-28,,,SAC,"W, 125-101",,,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,0.333,0.333,0.0,0.0,,1.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,3.3,-6.0
