player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Amen Thompson,thompam01,2026,1,132.0,1.0,2025-10-21,,,OKC,"L, 124-125 (2OT)",*,,8.0,17.0,0.471,0.0,7.0,0.0,8.0,10.0,0.8,0.471,2.0,2.0,1.0,2.0,2.0,4.0,5.0,1.0,1.0,4.0,3.0,18.0,11.3,-11.0
Amen Thompson,thompam01,2026,2,133.0,2.0,2025-10-24,,,DET,"L, 111-115",*,,2.0,8.0,0.25,0.0,1.0,0.0,2.0,7.0,0.286,0.25,6.0,10.0,0.6,1.0,3.0,4.0,1.0,0.0,0.0,2.0,5.0,10.0,1.9,-6.0
Amen Thompson,thompam01,2026,3,134.0,3.0,2025-10-27,,,BRK,"W, 137-109",*,,5.0,10.0,0.5,0.0,1.0,0.0,5.0,9.0,0.556,0.5,2.0,3.0,0.667,0.0,4.0,4.0,8.0,1.0,0.0,0.0,3.0,12.0,13.2,33.0
Amen Thompson,thompam01,2026,4,135.0,4.0,2025-10-29,,,TOR,"W, 139-121",*,,7.0,13.0,0.538,0.0,1.0,0.0,7.0,12.0,0.583,0.538,4.0,5.0,0.8,3.0,6.0,9.0,7.0,2.0,0.0,4.0,3.0,18.0,16.9,17.0
Amen Thompson,thompam01,2026,5,136.0,5.0,2025-11-01,,,BOS,"W, 128-101",*,,6.0,12.0,0.5,1.0,1.0,1.0,5.0,11.0,0.455,0.542,4.0,6.0,0.667,3.0,6.0,9.0,8.0,0.0,0.0,3.0,0.0,17.0,16.7,27.0
Amen Thompson,thompam01,2026,6,137.0,6.0,2025-11-03,,,DAL,"W, 110-102",*,,11.0,18.0,0.611,1.0,3.0,0.333,10.0,15.0,0.667,0.639,4.0,7.0,0.571,3.0,2.0,5.0,4.0,1.0,1.0,3.0,2.0,27.0,21.0,3.0
Amen Thompson,thompam01,2026,7,138.0,7.0,2025-11-05,,,MEM,"W, 124-109",*,,13.0,26.0,0.5,1.0,3.0,0.333,12.0,23.0,0.522,0.519,1.0,1.0,1.0,4.0,6.0,10.0,7.0,2.0,0.0,2.0,3.0,28.0,23.3,22.0
Amen Thompson,thompam01,2026,8,139.0,8.0,2025-11-07,,,SAS,"L, 110-121",*,,4.0,12.0,0.333,2.0,4.0,0.5,2.0,8.0,0.25,0.417,4.0,4.0,1.0,3.0,4.0,7.0,3.0,1.0,1.0,3.0,3.0,14.0,10.1,-6.0
Amen Thompson,thompam01,2026,9,140.0,9.0,2025-11-09,,,MIL,"W, 122-115",*,,6.0,13.0,0.462,0.0,1.0,0.0,6.0,12.0,0.5,0.462,2.0,3.0,0.667,4.0,4.0,8.0,5.0,3.0,1.0,3.0,2.0,14.0,14.3,0.0
Amen Thompson,thompam01,2026,10,141.0,10.0,2025-11-12,,,WAS,"W, 135-112",*,,8.0,11.0,0.727,1.0,2.0,0.5,7.0,9.0,0.778,0.773,1.0,2.0,0.5,1.0,0.0,1.0,8.0,3.0,1.0,2.0,0.0,18.0,21.1,17.0
Amen Thompson,thompam01,2026,11,142.0,11.0,2025-11-14,,,POR,"W, 140-116",*,,6.0,17.0,0.353,0.0,4.0,0.0,6.0,13.0,0.462,0.353,7.0,7.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,0.0,1.0,19.0,14.6,24.0
Amen Thompson,thompam01,2026,12,143.0,12.0,2025-11-16,,,ORL,"W, 117-113 (OT)",*,,4.0,13.0,0.308,0.0,1.0,0.0,4.0,12.0,0.333,0.308,4.0,4.0,1.0,2.0,8.0,10.0,2.0,0.0,0.0,1.0,2.0,12.0,7.9,7.0
Amen Thompson,thompam01,2026,13,144.0,13.0,2025-11-19,,,CLE,"W, 114-104",*,,6.0,14.0,0.429,0.0,1.0,0.0,6.0,13.0,0.462,0.429,0.0,0.0,,3.0,6.0,9.0,6.0,5.0,0.0,1.0,4.0,12.0,15.1,8.0
Amen Thompson,thompam01,2026,14,145.0,14.0,2025-11-21,,,DEN,"L, 109-112",*,,10.0,18.0,0.556,1.0,2.0,0.5,9.0,16.0,0.563,0.583,1.0,1.0,1.0,4.0,3.0,7.0,2.0,2.0,0.0,3.0,3.0,22.0,16.3,-10.0
Amen Thompson,thompam01,2026,15,146.0,15.0,2025-11-24,,,PHO,"W, 114-92",*,,10.0,16.0,0.625,1.0,1.0,1.0,9.0,15.0,0.6,0.656,7.0,7.0,1.0,2.0,5.0,7.0,8.0,0.0,1.0,4.0,4.0,28.0,24.4,25.0
Amen Thompson,thompam01,2026,16,147.0,16.0,2025-11-26,,,GSW,"W, 104-100",*,,4.0,12.0,0.333,0.0,3.0,0.0,4.0,9.0,0.444,0.333,2.0,2.0,1.0,4.0,10.0,14.0,3.0,1.0,0.0,2.0,4.0,10.0,8.5,2.0
