player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Karl-Anthony Towns,townska01,2026,1,646.0,1.0,2025-10-22,,,CLE,"W, 119-111",*,,5.0,12.0,0.417,1.0,4.0,0.25,4.0,8.0,0.5,0.458,8.0,9.0,0.889,1.0,10.0,11.0,2.0,0.0,0.0,3.0,4.0,19.0,12.7,2.0
Karl-Anthony Towns,townska01,2026,2,647.0,2.0,2025-10-24,,,BOS,"W, 105-95",*,,6.0,16.0,0.375,4.0,6.0,0.667,2.0,10.0,0.2,0.5,10.0,12.0,0.833,6.0,7.0,13.0,3.0,1.0,1.0,5.0,2.0,26.0,20.7,6.0
Karl-Anthony Towns,townska01,2026,3,648.0,3.0,2025-10-26,,,MIA,"L, 107-115",*,,6.0,14.0,0.429,2.0,8.0,0.25,4.0,6.0,0.667,0.5,1.0,2.0,0.5,1.0,17.0,18.0,2.0,1.0,2.0,3.0,5.0,15.0,11.8,2.0
Karl-Anthony Towns,townska01,2026,4,649.0,4.0,2025-10-28,,,MIL,"L, 111-121",*,,2.0,12.0,0.167,0.0,3.0,0.0,2.0,9.0,0.222,0.167,4.0,4.0,1.0,5.0,7.0,12.0,1.0,1.0,1.0,3.0,5.0,8.0,3.4,0.0
Karl-Anthony Towns,townska01,2026,5,650.0,5.0,2025-10-31,,,CHI,"L, 125-135",*,,6.0,14.0,0.429,1.0,5.0,0.2,5.0,9.0,0.556,0.464,9.0,9.0,1.0,2.0,8.0,10.0,4.0,0.0,1.0,2.0,2.0,22.0,19.1,7.0
Karl-Anthony Towns,townska01,2026,6,651.0,6.0,2025-11-02,,,CHI,"W, 128-116",*,,5.0,11.0,0.455,2.0,2.0,1.0,3.0,9.0,0.333,0.545,8.0,8.0,1.0,3.0,12.0,15.0,5.0,0.0,2.0,1.0,1.0,20.0,23.5,12.0
Karl-Anthony Towns,townska01,2026,7,652.0,7.0,2025-11-03,,,WAS,"W, 119-102",*,,12.0,24.0,0.5,3.0,8.0,0.375,9.0,16.0,0.563,0.563,6.0,7.0,0.857,5.0,8.0,13.0,5.0,2.0,0.0,3.0,4.0,33.0,27.4,13.0
Karl-Anthony Towns,townska01,2026,8,653.0,8.0,2025-11-05,,,MIN,"W, 137-114",*,,5.0,11.0,0.455,1.0,5.0,0.2,4.0,6.0,0.667,0.5,4.0,4.0,1.0,3.0,7.0,10.0,4.0,0.0,2.0,4.0,5.0,15.0,11.7,15.0
Karl-Anthony Towns,townska01,2026,9,654.0,9.0,2025-11-09,,,BRK,"W, 134-98",*,,10.0,17.0,0.588,0.0,2.0,0.0,10.0,15.0,0.667,0.588,8.0,8.0,1.0,3.0,9.0,12.0,2.0,2.0,0.0,2.0,5.0,28.0,24.3,21.0
Karl-Anthony Towns,townska01,2026,10,655.0,10.0,2025-11-11,,,MEM,"W, 133-120",*,,7.0,17.0,0.412,3.0,8.0,0.375,4.0,9.0,0.444,0.5,4.0,5.0,0.8,4.0,9.0,13.0,4.0,3.0,2.0,2.0,4.0,21.0,20.6,0.0
Karl-Anthony Towns,townska01,2026,11,656.0,11.0,2025-11-12,,,ORL,"L, 107-124",*,,6.0,15.0,0.4,1.0,4.0,0.25,5.0,11.0,0.455,0.433,2.0,2.0,1.0,2.0,10.0,12.0,4.0,1.0,0.0,2.0,5.0,15.0,11.1,-2.0
Karl-Anthony Towns,townska01,2026,12,657.0,12.0,2025-11-14,,,MIA,"W, 140-132",*,,13.0,26.0,0.5,6.0,14.0,0.429,7.0,12.0,0.583,0.615,7.0,9.0,0.778,2.0,9.0,11.0,4.0,1.0,0.0,0.0,3.0,39.0,31.9,13.0
Karl-Anthony Towns,townska01,2026,13,658.0,13.0,2025-11-17,,,MIA,"L, 113-115",*,,7.0,19.0,0.368,1.0,7.0,0.143,6.0,12.0,0.5,0.395,7.0,7.0,1.0,4.0,11.0,15.0,2.0,0.0,1.0,4.0,5.0,22.0,13.7,3.0
Karl-Anthony Towns,townska01,2026,14,659.0,14.0,2025-11-19,,,DAL,"W, 113-111",*,,6.0,16.0,0.375,1.0,6.0,0.167,5.0,10.0,0.5,0.406,5.0,9.0,0.556,4.0,10.0,14.0,6.0,2.0,0.0,3.0,4.0,18.0,15.0,4.0
