player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Oscar Tshiebwe,tshieos01,2026,1,23.0,33.0,2026-01-01,,,LAC,"L, 101-118",,,1.0,4.0,0.25,0.0,0.0,1.0,4.0,0.25,0.25,0.0,1.0,0.0,2.0,4.0,6.0,1.0,1.0,0.0,0.0,2.0,2.0,2.7,-3.0
Oscar Tshiebwe,tshieos01,2026,2,24.0,52.0,2026-02-05,,,ATL,"L, 119-121",,,2.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,,2.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,4.0,4.1,-1.0
Oscar Tshiebwe,tshieos01,2026,3,25.0,56.0,2026-02-12,,,POR,"L, 119-135",,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.8,8.0
Oscar Tshiebwe,tshieos01,2026,4,26.0,57.0,2026-02-20,,,MEM,"L, 114-123",,,1.0,2.0,0.5,0.0,0.0,1.0,2.0,0.5,0.5,0.0,0.0,,1.0,5.0,6.0,0.0,0.0,0.0,0.0,5.0,2.0,1.2,6.0
Oscar Tshiebwe,tshieos01,2026,5,27.0,59.0,2026-02-26,,,NOP,"L, 118-129",,,4.0,4.0,1.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,8.2,8.0
Oscar Tshiebwe,tshieos01,2026,6,28.0,60.0,2026-02-28,,,NOP,"L, 105-115",,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,6.0
Oscar Tshiebwe,tshieos01,2026,7,29.0,61.0,2026-03-02,,,DEN,"L, 125-128",,,4.0,5.0,0.8,0.0,0.0,4.0,5.0,0.8,0.8,0.0,0.0,,2.0,6.0,8.0,1.0,0.0,1.0,0.0,1.0,8.0,10.3,-2.0
Oscar Tshiebwe,tshieos01,2026,8,30.0,62.0,2026-03-04,,,PHI,"L, 102-106",,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,2.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0
Oscar Tshiebwe,tshieos01,2026,9,31.0,64.0,2026-03-07,,,MIL,"L, 99-113",*,,3.0,4.0,0.75,0.0,0.0,3.0,4.0,0.75,0.75,0.0,1.0,0.0,1.0,4.0,5.0,1.0,0.0,0.0,0.0,4.0,6.0,5.0,-9.0
Oscar Tshiebwe,tshieos01,2026,10,32.0,65.0,2026-03-09,,,GSW,"W, 119-116",,,4.0,6.0,0.667,0.0,0.0,4.0,6.0,0.667,0.667,2.0,2.0,1.0,4.0,4.0,8.0,1.0,1.0,0.0,0.0,1.0,10.0,12.7,10.0
Oscar Tshiebwe,tshieos01,2026,11,33.0,66.0,2026-03-11,,,NYK,"L, 117-134",,,1.0,3.0,0.333,0.0,0.0,1.0,3.0,0.333,0.333,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,0.3,5.0
Oscar Tshiebwe,tshieos01,2026,12,34.0,67.0,2026-03-13,,,POR,"L, 114-124",,,4.0,8.0,0.5,0.0,0.0,4.0,8.0,0.5,0.5,0.0,0.0,,2.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,8.0,8.0,-16.0
Oscar Tshiebwe,tshieos01,2026,13,35.0,68.0,2026-03-15,,,SAC,"L, 111-116",,,3.0,5.0,0.6,0.0,0.0,3.0,5.0,0.6,0.6,3.0,6.0,0.5,4.0,4.0,8.0,1.0,3.0,0.0,0.0,0.0,9.0,13.2,5.0
Oscar Tshiebwe,tshieos01,2026,14,36.0,69.0,2026-03-18,,,MIN,"L, 111-147",,,2.0,4.0,0.5,0.0,0.0,2.0,4.0,0.5,0.5,1.0,2.0,0.5,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,4.6,-11.0
Oscar Tshiebwe,tshieos01,2026,15,37.0,70.0,2026-03-19,,,MIL,"W, 128-96",,,3.0,3.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,7.0,9.8,18.0
Oscar Tshiebwe,tshieos01,2026,16,38.0,71.0,2026-03-21,,,PHI,"L, 116-126",,,4.0,6.0,0.667,0.0,0.0,4.0,6.0,0.667,0.667,0.0,0.0,,5.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,8.0,8.8,-6.0
Oscar Tshiebwe,tshieos01,2026,17,39.0,72.0,2026-03-23,,,TOR,"L, 127-143",,,6.0,8.0,0.75,0.0,0.0,6.0,8.0,0.75,0.75,4.0,6.0,0.667,3.0,4.0,7.0,2.0,1.0,2.0,1.0,3.0,16.0,16.9,-4.0
Oscar Tshiebwe,tshieos01,2026,18,40.0,73.0,2026-03-25,,,WAS,"L, 110-133",,,2.0,4.0,0.5,0.0,0.0,2.0,4.0,0.5,0.5,3.0,4.0,0.75,5.0,3.0,8.0,4.0,0.0,0.0,4.0,0.0,7.0,7.8,-17.0
Oscar Tshiebwe,tshieos01,2026,19,41.0,74.0,2026-03-27,,,DEN,"L, 129-135",,,3.0,4.0,0.75,0.0,0.0,3.0,4.0,0.75,0.75,3.0,3.0,1.0,4.0,5.0,9.0,3.0,0.0,0.0,1.0,2.0,9.0,12.0,1.0
Oscar Tshiebwe,tshieos01,2026,20,42.0,75.0,2026-03-28,,,PHO,"L, 109-134",,,3.0,6.0,0.5,0.0,0.0,3.0,6.0,0.5,0.5,1.0,4.0,0.25,2.0,5.0,7.0,1.0,2.0,0.0,0.0,1.0,7.0,8.0,-9.0
Oscar Tshiebwe,tshieos01,2026,21,43.0,76.0,2026-03-30,,,CLE,"L, 113-122",,,3.0,4.0,0.75,0.0,0.0,3.0,4.0,0.75,0.75,1.0,2.0,0.5,2.0,5.0,7.0,1.0,0.0,0.0,0.0,1.0,7.0,8.2,-7.0
Oscar Tshiebwe,tshieos01,2026,22,44.0,77.0,2026-04-01,,,DEN,"L, 117-130",*,,4.0,8.0,0.5,0.0,0.0,4.0,8.0,0.5,0.5,0.0,0.0,,2.0,5.0,7.0,0.0,1.0,0.0,1.0,2.0,8.0,6.1,-14.0
Oscar Tshiebwe,tshieos01,2026,23,45.0,78.0,2026-04-03,,,HOU,"L, 106-140",,,7.0,11.0,0.636,0.0,0.0,7.0,11.0,0.636,0.636,1.0,3.0,0.333,8.0,2.0,10.0,1.0,2.0,0.0,2.0,3.0,15.0,15.0,-15.0
Oscar Tshiebwe,tshieos01,2026,24,46.0,79.0,2026-04-05,,,OKC,"L, 111-146",*,,2.0,4.0,0.5,0.0,0.0,2.0,4.0,0.5,0.5,0.0,2.0,0.0,1.0,3.0,4.0,2.0,0.0,0.0,2.0,2.0,4.0,1.4,-39.0
Oscar Tshiebwe,tshieos01,2026,25,47.0,80.0,2026-04-07,,,NOP,"L, 137-156",*,,6.0,10.0,0.6,0.0,0.0,6.0,10.0,0.6,0.6,0.0,0.0,,2.0,5.0,7.0,0.0,2.0,0.0,2.0,4.0,12.0,8.7,-5.0
Oscar Tshiebwe,tshieos01,2026,26,48.0,81.0,2026-04-10,,,MEM,"W, 147-101",*,,7.0,11.0,0.636,0.0,0.0,7.0,11.0,0.636,0.636,2.0,4.0,0.5,4.0,18.0,22.0,3.0,1.0,2.0,1.0,2.0,16.0,21.2,27.0
Oscar Tshiebwe,tshieos01,2026,27,49.0,82.0,2026-04-12,,,LAL,"L, 107-131",*,,12.0,17.0,0.706,0.0,0.0,12.0,17.0,0.706,0.706,5.0,8.0,0.625,9.0,8.0,17.0,3.0,0.0,0.0,3.0,1.0,29.0,28.1,-15.0
