player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Keaton Wallace,wallake01,2026,1,32.0,1.0,2025-10-22,,,TOR,"L, 118-138",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,-0.8,-11.0
Keaton Wallace,wallake01,2026,2,33.0,2.0,2025-10-24,,,ORL,"W, 111-107",,,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.75,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,3.7,-7.0
Keaton Wallace,wallake01,2026,3,34.0,3.0,2025-10-25,,,OKC,"L, 100-117",,,2.0,6.0,0.333,0.0,2.0,0.0,2.0,4.0,0.5,0.333,1.0,2.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,5.0,-0.6,1.0
Keaton Wallace,wallake01,2026,4,35.0,4.0,2025-10-27,,,CHI,"L, 123-128",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,1.0
Keaton Wallace,wallake01,2026,5,36.0,5.0,2025-10-29,,,BRK,"W, 117-112",,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,1.0,1.0,5.0,0.0,0.0,1.0,1.0,3.0,5.1,10.0
Keaton Wallace,wallake01,2026,6,37.0,6.0,2025-10-31,,,IND,"W, 128-108",,,4.0,5.0,0.8,3.0,3.0,1.0,1.0,2.0,0.5,1.1,0.0,0.0,,0.0,3.0,3.0,7.0,1.0,0.0,0.0,2.0,11.0,15.1,4.0
Keaton Wallace,wallake01,2026,7,38.0,8.0,2025-11-04,,,ORL,"W, 127-112",,,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.75,1.0,2.0,0.5,1.0,2.0,3.0,2.0,0.0,1.0,1.0,0.0,4.0,5.0,-1.0
Keaton Wallace,wallake01,2026,8,39.0,9.0,2025-11-07,,,TOR,"L, 97-109",,,3.0,5.0,0.6,1.0,3.0,0.333,2.0,2.0,1.0,0.7,0.0,0.0,,0.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,7.0,8.6,-5.0
Keaton Wallace,wallake01,2026,9,40.0,10.0,2025-11-08,,,LAL,"W, 122-102",*,,5.0,15.0,0.333,4.0,8.0,0.5,1.0,7.0,0.143,0.467,0.0,0.0,,0.0,2.0,2.0,7.0,1.0,0.0,1.0,2.0,14.0,10.2,20.0
Keaton Wallace,wallake01,2026,10,41.0,11.0,2025-11-10,,,LAC,"W, 105-102",*,,2.0,3.0,0.667,1.0,2.0,0.5,1.0,1.0,1.0,0.833,0.0,0.0,,0.0,4.0,4.0,1.0,0.0,0.0,1.0,3.0,5.0,3.4,-8.0
Keaton Wallace,wallake01,2026,11,42.0,12.0,2025-11-12,,,SAC,"W, 133-100",,,2.0,4.0,0.5,0.0,2.0,0.0,2.0,2.0,1.0,0.5,0.0,0.0,,0.0,2.0,2.0,4.0,4.0,0.0,2.0,2.0,4.0,6.6,-5.0
Keaton Wallace,wallake01,2026,12,43.0,13.0,2025-11-13,,,UTA,"W, 132-122",,,0.0,6.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,5.0,1.0,0.0,0.0,1.0,0.0,0.5,-4.0
Keaton Wallace,wallake01,2026,13,44.0,14.0,2025-11-16,,,PHO,"W, 124-122",,,2.0,4.0,0.5,1.0,2.0,0.5,1.0,2.0,0.5,0.625,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,3.6,-25.0
Keaton Wallace,wallake01,2026,14,45.0,15.0,2025-11-18,,,DET,"L, 112-120",,,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,,0.75,1.0,2.0,0.5,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,7.0,5.6,-5.0
Keaton Wallace,wallake01,2026,15,46.0,16.0,2025-11-20,,,SAS,"L, 126-135",,,2.0,5.0,0.4,2.0,4.0,0.5,0.0,1.0,0.0,0.6,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,6.0,2.5,-7.0
Keaton Wallace,wallake01,2026,16,47.0,18.0,2025-11-23,,,CHO,"W, 113-110",,,4.0,6.0,0.667,2.0,4.0,0.5,2.0,2.0,1.0,0.833,0.0,0.0,,0.0,1.0,1.0,0.0,2.0,1.0,2.0,4.0,10.0,6.8,4.0
Keaton Wallace,wallake01,2026,17,48.0,19.0,2025-11-25,,,WAS,"L, 113-132",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,2.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,1.3,4.0
Keaton Wallace,wallake01,2026,18,49.0,20.0,2025-11-28,,,CLE,"W, 130-123",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.3,-7.0
Keaton Wallace,wallake01,2026,19,50.0,21.0,2025-11-30,,,PHI,"W, 142-134 (2OT)",,,2.0,5.0,0.4,2.0,3.0,0.667,0.0,2.0,0.0,0.6,2.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,8.0,7.6,7.0
Keaton Wallace,wallake01,2026,20,51.0,22.0,2025-12-01,,,DET,"L, 98-99",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,3.4,-6.0
