player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Ziaire Williams,willizi01,2026,1,215.0,1.0,2025-10-22,,,MEM,"L, 122-128",*,,10.0,21.0,0.476,0.0,0.0,,10.0,21.0,0.476,0.476,7.0,12.0,0.583,5.0,4.0,9.0,5.0,5.0,0.0,3.0,2.0,27.0,23.7,0.0
Ziaire Williams,willizi01,2026,2,216.0,2.0,2025-10-24,,,SAS,"L, 116-120 (OT)",*,,8.0,18.0,0.444,0.0,0.0,,8.0,18.0,0.444,0.444,11.0,16.0,0.688,5.0,5.0,10.0,7.0,3.0,0.0,4.0,2.0,27.0,23.7,6.0
Ziaire Williams,willizi01,2026,3,217.0,4.0,2025-10-29,,,DEN,"L, 88-122",*,,4.0,8.0,0.5,0.0,0.0,,4.0,8.0,0.5,0.5,3.0,4.0,0.75,0.0,0.0,0.0,2.0,1.0,1.0,3.0,2.0,11.0,5.9,-12.0
Ziaire Williams,willizi01,2026,4,218.0,5.0,2025-10-31,,,LAC,"L, 124-126",*,,9.0,17.0,0.529,0.0,0.0,,9.0,17.0,0.529,0.529,11.0,13.0,0.846,3.0,3.0,6.0,3.0,0.0,0.0,3.0,3.0,29.0,20.8,-5.0
Ziaire Williams,willizi01,2026,5,219.0,6.0,2025-11-02,,,OKC,"L, 106-137",*,,7.0,14.0,0.5,0.0,0.0,,7.0,14.0,0.5,0.5,6.0,12.0,0.5,3.0,6.0,9.0,6.0,1.0,0.0,4.0,3.0,20.0,14.5,-17.0
Ziaire Williams,willizi01,2026,6,220.0,15.0,2025-11-19,,,DEN,"L, 118-125",*,,6.0,13.0,0.462,0.0,0.0,,6.0,13.0,0.462,0.462,2.0,4.0,0.5,3.0,3.0,6.0,5.0,1.0,1.0,3.0,4.0,14.0,10.1,14.0
Ziaire Williams,willizi01,2026,7,221.0,16.0,2025-11-21,,,DAL,"L, 115-118",*,,7.0,9.0,0.778,0.0,0.0,,7.0,9.0,0.778,0.778,8.0,11.0,0.727,1.0,2.0,3.0,2.0,3.0,0.0,1.0,0.0,22.0,22.0,-2.0
Ziaire Williams,willizi01,2026,8,222.0,18.0,2025-11-24,,,CHI,"W, 143-130",*,,8.0,14.0,0.571,0.0,0.0,,8.0,14.0,0.571,0.571,13.0,16.0,0.813,0.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,29.0,22.8,2.0
Ziaire Williams,willizi01,2026,9,223.0,19.0,2025-11-26,,,MEM,"L, 128-133 (OT)",*,,7.0,15.0,0.467,0.0,1.0,0.0,7.0,14.0,0.5,0.467,3.0,3.0,1.0,2.0,3.0,5.0,4.0,0.0,2.0,5.0,3.0,17.0,9.6,-9.0
Ziaire Williams,willizi01,2026,10,224.0,20.0,2025-11-29,,,GSW,"L, 96-104",*,,8.0,16.0,0.5,0.0,2.0,0.0,8.0,14.0,0.571,0.5,9.0,10.0,0.9,1.0,6.0,7.0,4.0,0.0,0.0,3.0,2.0,25.0,18.1,-3.0
Ziaire Williams,willizi01,2026,11,225.0,27.0,2025-12-14,,,CHI,"W, 114-104",,,7.0,14.0,0.5,0.0,0.0,,7.0,14.0,0.5,0.5,4.0,5.0,0.8,2.0,4.0,6.0,3.0,0.0,0.0,1.0,0.0,18.0,14.3,6.0
Ziaire Williams,willizi01,2026,12,226.0,28.0,2025-12-18,,,HOU,"W, 133-128 (OT)",,,3.0,9.0,0.333,0.0,0.0,,3.0,9.0,0.333,0.333,3.0,4.0,0.75,2.0,1.0,3.0,5.0,0.0,1.0,2.0,3.0,9.0,6.2,-17.0
Ziaire Williams,willizi01,2026,13,227.0,29.0,2025-12-20,,,IND,"W, 128-109",,,9.0,14.0,0.643,0.0,0.0,,9.0,14.0,0.643,0.643,11.0,13.0,0.846,3.0,4.0,7.0,1.0,1.0,0.0,2.0,2.0,29.0,24.2,6.0
Ziaire Williams,willizi01,2026,14,228.0,30.0,2025-12-22,,,DAL,"W, 119-113",,,10.0,14.0,0.714,0.0,0.0,,10.0,14.0,0.714,0.714,4.0,4.0,1.0,4.0,5.0,9.0,3.0,0.0,0.0,1.0,2.0,24.0,22.8,2.0
Ziaire Williams,willizi01,2026,15,229.0,31.0,2025-12-23,,,CLE,"L, 118-141",,,9.0,15.0,0.6,0.0,0.0,,9.0,15.0,0.6,0.6,8.0,9.0,0.889,3.0,2.0,5.0,1.0,1.0,0.0,3.0,2.0,26.0,19.3,-17.0
Ziaire Williams,willizi01,2026,16,230.0,32.0,2025-12-26,,,PHO,"L, 108-115",,,5.0,10.0,0.5,0.0,0.0,,5.0,10.0,0.5,0.5,10.0,14.0,0.714,4.0,4.0,8.0,6.0,0.0,1.0,2.0,2.0,20.0,19.5,0.0
Ziaire Williams,willizi01,2026,17,231.0,33.0,2025-12-27,,,PHO,"L, 114-123",,,8.0,11.0,0.727,0.0,0.0,,8.0,11.0,0.727,0.727,6.0,8.0,0.75,1.0,3.0,4.0,0.0,2.0,1.0,4.0,3.0,22.0,15.8,-7.0
Ziaire Williams,willizi01,2026,18,232.0,34.0,2025-12-29,,,NYK,"L, 125-130",*,,11.0,16.0,0.688,0.0,0.0,,11.0,16.0,0.688,0.688,10.0,12.0,0.833,3.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,32.0,29.1,-8.0
Ziaire Williams,willizi01,2026,19,233.0,35.0,2025-12-31,,,CHI,"L, 118-134",*,,12.0,19.0,0.632,0.0,0.0,,12.0,19.0,0.632,0.632,7.0,9.0,0.778,4.0,3.0,7.0,3.0,0.0,0.0,1.0,4.0,31.0,24.9,-6.0
Ziaire Williams,willizi01,2026,20,234.0,36.0,2026-01-02,,,POR,"L, 109-122",*,,15.0,26.0,0.577,0.0,0.0,,15.0,26.0,0.577,0.577,5.0,8.0,0.625,3.0,5.0,8.0,2.0,2.0,2.0,0.0,1.0,35.0,29.6,-17.0
Ziaire Williams,willizi01,2026,21,235.0,37.0,2026-01-04,,,MIA,"L, 106-125",*,,6.0,10.0,0.6,0.0,0.0,,6.0,10.0,0.6,0.6,0.0,0.0,,2.0,3.0,5.0,2.0,0.0,0.0,2.0,2.0,12.0,8.3,-24.0
