player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Danny Wolf,wolfda01,2026,1,1.0,7.0,2025-11-03,,,MIN,"L, 109-125",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Danny Wolf,wolfda01,2026,2,2.0,11.0,2025-11-11,,,TOR,"L, 109-119",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.3,5.0
Danny Wolf,wolfda01,2026,3,3.0,14.0,2025-11-18,,,BOS,"L, 99-113",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
Danny Wolf,wolfda01,2026,4,4.0,18.0,2025-11-28,,,PHI,"L, 103-115",,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,6.0,0.833,1.0,4.0,5.0,1.0,0.0,0.0,0.0,2.0,5.0,5.0,6.0
Danny Wolf,wolfda01,2026,5,5.0,19.0,2025-11-29,,,MIL,"L, 99-116",,,8.0,16.0,0.5,5.0,9.0,0.556,3.0,7.0,0.429,0.656,1.0,1.0,1.0,1.0,3.0,4.0,4.0,0.0,1.0,2.0,2.0,22.0,16.3,-9.0
Danny Wolf,wolfda01,2026,6,6.0,20.0,2025-12-01,,,CHO,"W, 116-103",,,4.0,9.0,0.444,1.0,4.0,0.25,3.0,5.0,0.6,0.5,1.0,1.0,1.0,2.0,5.0,7.0,1.0,0.0,0.0,0.0,3.0,10.0,7.7,5.0
Danny Wolf,wolfda01,2026,7,7.0,21.0,2025-12-03,,,CHI,"W, 113-103",,,3.0,5.0,0.6,2.0,3.0,0.667,1.0,2.0,0.5,0.8,0.0,0.0,,1.0,3.0,4.0,3.0,0.0,0.0,6.0,2.0,8.0,2.6,11.0
Danny Wolf,wolfda01,2026,8,8.0,22.0,2025-12-04,,,UTA,"L, 110-123",,,5.0,12.0,0.417,3.0,8.0,0.375,2.0,4.0,0.5,0.542,4.0,4.0,1.0,1.0,8.0,9.0,3.0,0.0,0.0,2.0,0.0,17.0,13.8,7.0
Danny Wolf,wolfda01,2026,9,9.0,23.0,2025-12-06,,,NOP,"W, 119-101",,,3.0,7.0,0.429,1.0,2.0,0.5,2.0,5.0,0.4,0.5,0.0,0.0,,1.0,3.0,4.0,2.0,1.0,1.0,3.0,2.0,7.0,4.2,-6.0
Danny Wolf,wolfda01,2026,10,10.0,24.0,2025-12-12,,,DAL,"L, 111-119",,,6.0,10.0,0.6,3.0,3.0,1.0,3.0,7.0,0.429,0.75,2.0,4.0,0.5,3.0,4.0,7.0,1.0,1.0,1.0,2.0,1.0,17.0,14.9,-13.0
Danny Wolf,wolfda01,2026,11,11.0,25.0,2025-12-14,,,MIL,"W, 127-82",,,3.0,12.0,0.25,0.0,7.0,0.0,3.0,5.0,0.6,0.25,2.0,2.0,1.0,0.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,8.0,4.4,26.0
Danny Wolf,wolfda01,2026,12,12.0,26.0,2025-12-18,,,MIA,"L, 95-106",,,4.0,11.0,0.364,1.0,4.0,0.25,3.0,7.0,0.429,0.409,0.0,0.0,,1.0,4.0,5.0,2.0,2.0,0.0,3.0,0.0,9.0,5.2,-5.0
