player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Yang Hansen,yangha01,2026,1,1.0,1.0,2025-10-22,,,MIN,"L, 114-118",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.6,-5.0
Yang Hansen,yangha01,2026,2,2.0,2.0,2025-10-24,,,GSW,"W, 139-119",,,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,0.333,0.333,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,-3.0
Yang Hansen,yangha01,2026,3,3.0,3.0,2025-10-26,,,LAC,"L, 107-114",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.6,-2.0
Yang Hansen,yangha01,2026,4,4.0,4.0,2025-10-27,,,LAL,"W, 122-108",,,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.8,-1.0
Yang Hansen,yangha01,2026,5,5.0,5.0,2025-10-29,,,UTA,"W, 136-134",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,-0.1,-4.0
Yang Hansen,yangha01,2026,6,6.0,14.0,2025-11-18,,,PHO,"L, 110-127",,,4.0,7.0,0.571,0.0,2.0,0.0,4.0,5.0,0.8,0.571,1.0,1.0,1.0,1.0,4.0,5.0,3.0,0.0,1.0,3.0,0.0,9.0,7.4,2.0
Yang Hansen,yangha01,2026,7,7.0,15.0,2025-11-19,,,CHI,"L, 121-122",,,1.0,4.0,0.25,0.0,1.0,0.0,1.0,3.0,0.333,0.25,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,-0.1,-5.0
Yang Hansen,yangha01,2026,8,8.0,17.0,2025-11-23,,,OKC,"L, 95-122",,,3.0,11.0,0.273,1.0,6.0,0.167,2.0,5.0,0.4,0.318,1.0,1.0,1.0,0.0,4.0,4.0,3.0,0.0,1.0,0.0,1.0,8.0,5.1,-6.0
Yang Hansen,yangha01,2026,9,9.0,18.0,2025-11-24,,,MIL,"W, 115-103",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,-6.0
Yang Hansen,yangha01,2026,10,10.0,19.0,2025-11-26,,,SAS,"L, 102-115",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0
Yang Hansen,yangha01,2026,11,11.0,20.0,2025-11-30,,,OKC,"L, 115-123",,,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.2,3.0
Yang Hansen,yangha01,2026,12,12.0,22.0,2025-12-03,,,CLE,"W, 122-110",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,3.7,5.0
Yang Hansen,yangha01,2026,13,13.0,24.0,2025-12-07,,,MEM,"L, 96-119",*,,2.0,5.0,0.4,0.0,2.0,0.0,2.0,3.0,0.667,0.4,0.0,0.0,,1.0,4.0,5.0,2.0,0.0,0.0,2.0,5.0,4.0,0.6,2.0
Yang Hansen,yangha01,2026,14,14.0,30.0,2025-12-23,,,ORL,"L, 106-110",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,4.0,4.6,1.0
Yang Hansen,yangha01,2026,15,15.0,32.0,2025-12-28,,,BOS,"W, 114-108",,,1.0,3.0,0.333,1.0,2.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,2.0,2.0,3.0,-0.6,6.0
Yang Hansen,yangha01,2026,16,16.0,33.0,2025-12-29,,,DAL,"W, 125-122",,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,-2.5,2.0
Yang Hansen,yangha01,2026,17,17.0,34.0,2025-12-31,,,OKC,"L, 95-124",,,1.0,4.0,0.25,1.0,2.0,0.5,0.0,2.0,0.0,0.375,0.0,0.0,,1.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,3.0,2.1,-5.0
Yang Hansen,yangha01,2026,18,18.0,35.0,2026-01-02,,,NOP,"W, 122-109",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.7,-5.0
Yang Hansen,yangha01,2026,19,19.0,36.0,2026-01-03,,,SAS,"W, 115-110",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,2.0,4.0,1.0
Yang Hansen,yangha01,2026,20,20.0,37.0,2026-01-05,,,UTA,"W, 137-117",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.7,2.0
Yang Hansen,yangha01,2026,21,21.0,38.0,2026-01-07,,,HOU,"W, 103-102",,,1.0,4.0,0.25,1.0,3.0,0.333,0.0,1.0,0.0,0.375,0.0,0.0,,0.0,3.0,3.0,2.0,0.0,0.0,2.0,5.0,3.0,-1.1,2.0
Yang Hansen,yangha01,2026,22,22.0,39.0,2026-01-09,,,HOU,"W, 111-105",,,1.0,5.0,0.2,0.0,3.0,0.0,1.0,2.0,0.5,0.2,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,-1.5,0.0
Yang Hansen,yangha01,2026,23,23.0,41.0,2026-01-13,,,GSW,"L, 97-119",,,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,,0.5,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,-9.0
Yang Hansen,yangha01,2026,24,24.0,43.0,2026-01-17,,,LAL,"W, 132-116",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-6.0
Yang Hansen,yangha01,2026,25,25.0,44.0,2026-01-18,,,SAC,"W, 117-110",,,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,-0.8,-7.0
Yang Hansen,yangha01,2026,26,26.0,46.0,2026-01-23,,,TOR,"L, 98-110",,,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.5,-13.0
Yang Hansen,yangha01,2026,27,27.0,48.0,2026-01-27,,,WAS,"L, 111-115",,,2.0,6.0,0.333,0.0,1.0,0.0,2.0,5.0,0.4,0.333,2.0,2.0,1.0,3.0,2.0,5.0,1.0,0.0,0.0,1.0,1.0,6.0,4.6,11.0
Yang Hansen,yangha01,2026,28,28.0,49.0,2026-01-30,,,NYK,"L, 97-127",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
Yang Hansen,yangha01,2026,29,29.0,50.0,2026-02-01,,,CLE,"L, 111-130",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.4,-2.0
Yang Hansen,yangha01,2026,30,30.0,52.0,2026-02-06,,,MEM,"W, 135-115",,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,-1.1,-10.0
Yang Hansen,yangha01,2026,31,31.0,53.0,2026-02-07,,,MEM,"W, 122-115",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,-1.9,-1.0
Yang Hansen,yangha01,2026,32,32.0,54.0,2026-02-09,,,PHI,"W, 135-118",,,1.0,4.0,0.25,0.0,3.0,0.0,1.0,1.0,1.0,0.25,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,-1.9,-8.0
Yang Hansen,yangha01,2026,33,33.0,55.0,2026-02-11,,,MIN,"L, 109-133",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,-3.0
Yang Hansen,yangha01,2026,34,34.0,56.0,2026-02-12,,,UTA,"W, 135-119",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.9,-8.0
Yang Hansen,yangha01,2026,35,35.0,57.0,2026-02-20,,,DEN,"L, 103-157",,,1.0,4.0,0.25,0.0,1.0,0.0,1.0,3.0,0.333,0.25,2.0,6.0,0.333,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,0.4,-12.0
Yang Hansen,yangha01,2026,36,36.0,61.0,2026-02-28,,,CHO,"L, 93-109",,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.7,0.0
Yang Hansen,yangha01,2026,37,37.0,62.0,2026-03-01,,,ATL,"L, 101-135",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,-11.0
Yang Hansen,yangha01,2026,38,38.0,65.0,2026-03-08,,,IND,"W, 131-111",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,3.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,4.7,-1.0
Yang Hansen,yangha01,2026,39,39.0,67.0,2026-03-13,,,UTA,"W, 124-114",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Yang Hansen,yangha01,2026,40,40.0,73.0,2026-03-23,,,BRK,"W, 134-99",,,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,3.9,2.0
