team,player_id,win_shares
0,davisan02,2.621
0,doncilu01,2.254
0,okongon01,2.038
0,wallaca01,1.948
0,wagnefr01,1.932
0,murrake02,1.835
0,vassede01,1.456
0,wiggiaa01,1.321
0,colliza01,0.863
0,ingrabr01,0.655
1,anunoog01,2.317
1,jacksja02,2.058
1,vucevni01,2.044
1,oubreke01,1.633
1,hartjo01,1.61
1,sabondo01,1.553
1,thompkl01,1.511
1,joneshe01,1.449
1,jaqueja01,0.843
1,randlju01,0.282
2,leonaka01,1.736
2,reaveau01,1.536
2,lavinza01,1.484
2,jamesle01,1.472
2,jonesty01,1.443
2,brownja02,1.381
2,bealbr01,1.202
2,carusal01,1.197
2,porteke02,0.914
2,jonestr01,0.869
3,bridgmi01,4.052
3,bookede01,3.997
3,garlada01,3.572
3,siakapa01,3.531
3,banede01,3.151
3,barneha02,2.702
3,sengual01,2.541
3,powelno01,2.273
3,yabusgu01,2.216
3,hachiru01,1.644
4,gilgesh01,4.502
4,whitede01,4.115
4,porzikr01,3.757
4,reidna01,3.655
4,holmgch01,3.475
4,huntede01,3.023
4,embiijo01,3.002
4,kispeco01,2.89
4,camarto01,2.556
4,nesmiaa01,2.49
5,antetgi01,3.923
5,irvinky01,3.802
5,duranke01,3.587
5,vanvlfr01,3.538
5,butleji01,3.471
5,portibo01,3.014
5,giddejo01,2.721
5,conlemi01,2.657
5,whiteco01,2.641
5,buzelma01,1.19
6,jokicni01,7.352
6,curryst01,4.267
6,lopezbr01,3.851
6,hardeja01,3.466
6,hieldbu01,2.776
6,avdijde01,2.769
6,mccontj01,2.296
6,monkma01,2.059
6,dortlu01,2.004
6,toppiob01,1.336
7,wembavi01,3.842
7,willija06,3.637
7,murphtr02,3.32
7,murrade01,3.144
7,brunsja01,3.123
7,valanjo01,2.972
7,dinwisp01,2.472
7,johnsca02,2.427
7,greendr01,2.197
7,cunnica01,1.672
8,lillada01,4.452
8,derozde01,4.324
8,portemi01,4.286
8,adebaba01,4.218
8,georgpa01,4.131
8,poolejo01,3.781
8,horfoal01,2.974
8,braunch01,2.672
8,marshna01,2.345
8,mannte01,2.043
9,halibty01,4.893
9,foxde01,4.754
9,allenja01,4.292
9,maxeyty01,4.237
9,townska01,3.633
9,mobleev01,3.56
9,mccolcj01,3.55
9,holidjr01,3.033
9,paulch01,2.65
9,collijo01,2.285
10,tatumja01,3.135
10,mitchdo01,2.435
10,murraja01,2.256
10,herroty01,1.817
10,markkla01,1.615
10,sextoco01,1.492
10,allengr01,1.326
10,johnske04,1.298
10,brownbr01,1.125
10,aldamsa01,0.996
11,edwaran01,3.673
11,turnemy01,3.308
11,divindo01,2.947
11,harrito02,2.864
11,barnesc01,2.659
11,russeda01,2.584
11,caldwke01,2.561
11,thompam01,1.762
11,olynyke01,1.598
11,dosunay01,1.568
