team,player_id,win_shares,H2H_value,rank_WS,rank_H2H,rank_diff
0,Anthony Edwards,2.548,5.621487362342366,17.0,8.0,9.0
0,Jaylen Brown,2.456,5.402203725975868,18.0,14.0,4.0
1,Scottie Barnes,5.836,5.419401441687697,3.0,13.0,-10.0
1,Luka Dončić,5.828,5.765594607828556,4.0,3.0,1.0
2,Victor Wembanyama,3.544,5.702909115343232,11.0,5.0,6.0
2,Desmond Bane,3.048,5.264388440397167,16.0,18.0,-2.0
3,Bam Adebayo,3.42,5.504110346888828,12.0,11.0,1.0
3,Kawhi Leonard,3.284,5.63911655838949,13.0,7.0,6.0
4,Nikola Jokić,7.652,6.156602525983458,1.0,1.0,0.0
4,Kyrie Irving,5.492,5.260312315675638,5.0,19.0,-14.0
5,Kevin Durant,3.24,5.6923950670837336,14.0,6.0,8.0
5,Cooper Flagg,3.12,5.279924465995348,15.0,17.0,-2.0
6,Donovan Mitchell,4.784,5.293966291622112,8.0,16.0,-8.0
6,Mikal Bridges,4.628,5.606221605228211,10.0,9.0,1.0
7,Shai Gilgeous-Alexander,6.044,6.144061485038125,2.0,2.0,0.0
7,Deni Avdija,4.964,5.249578381768923,7.0,20.0,-13.0
8,Jalen Johnson,2.352,5.7206796368464,19.0,4.0,15.0
8,Karl-Anthony Towns,2.104,5.38193874371099,20.0,15.0,5.0
9,Tyrese Haliburton,5.0,5.505420889240062,6.0,10.0,-4.0
9,Jamal Murray,4.752,5.4367235283856585,9.0,12.0,-3.0
