player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Cam Thomas,thomaca02,2023,1,68.0,1.0,2022-10-19,,,NOP,"L, 108-130",,,1.0,4.0,0.25,0.0,1.0,0.0,1.0,3.0,0.333,0.25,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.3,3.0
Cam Thomas,thomaca02,2023,2,69.0,4.0,2022-10-26,,,MIL,"L, 99-110",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Cam Thomas,thomaca02,2023,3,70.0,8.0,2022-11-01,,,CHI,"L, 99-108",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Cam Thomas,thomaca02,2023,4,71.0,9.0,2022-11-04,,,WAS,"W, 128-86",,,6.0,13.0,0.462,2.0,4.0,0.5,4.0,9.0,0.444,0.538,3.0,3.0,1.0,0.0,4.0,4.0,6.0,1.0,0.0,0.0,2.0,17.0,15.9,36.0
Cam Thomas,thomaca02,2023,5,72.0,10.0,2022-11-05,,,CHO,"W, 98-94",,,5.0,11.0,0.455,1.0,2.0,0.5,4.0,9.0,0.444,0.5,10.0,11.0,0.909,0.0,4.0,4.0,4.0,1.0,1.0,1.0,2.0,21.0,18.8,13.0
Cam Thomas,thomaca02,2023,6,73.0,11.0,2022-11-07,,,DAL,"L, 94-96",,,5.0,13.0,0.385,2.0,4.0,0.5,3.0,9.0,0.333,0.462,7.0,9.0,0.778,1.0,0.0,1.0,2.0,2.0,0.0,1.0,2.0,19.0,13.4,-7.0
Cam Thomas,thomaca02,2023,7,74.0,12.0,2022-11-09,,,NYK,"W, 112-85",,,3.0,8.0,0.375,0.0,1.0,0.0,3.0,7.0,0.429,0.375,0.0,0.0,,0.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,6.0,1.9,-8.0
Cam Thomas,thomaca02,2023,8,75.0,13.0,2022-11-12,,,LAC,"W, 110-95",,,1.0,6.0,0.167,0.0,1.0,0.0,1.0,5.0,0.2,0.167,2.0,2.0,1.0,0.0,2.0,2.0,3.0,1.0,0.0,2.0,2.0,4.0,1.1,2.0
Cam Thomas,thomaca02,2023,9,76.0,14.0,2022-11-13,,,LAL,"L, 103-116",,,4.0,9.0,0.444,0.0,2.0,0.0,4.0,7.0,0.571,0.444,7.0,9.0,0.778,0.0,3.0,3.0,2.0,1.0,0.0,1.0,1.0,15.0,11.4,8.0
Cam Thomas,thomaca02,2023,10,77.0,15.0,2022-11-15,,,SAC,"L, 121-153",,,4.0,8.0,0.5,1.0,2.0,0.5,3.0,6.0,0.5,0.563,3.0,4.0,0.75,0.0,2.0,2.0,3.0,1.0,0.0,2.0,0.0,12.0,9.3,14.0
Cam Thomas,thomaca02,2023,11,78.0,16.0,2022-11-17,,,POR,"W, 109-107",,,0.0,3.0,0.0,0.0,0.0,,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-3.1,-7.0
Cam Thomas,thomaca02,2023,12,79.0,17.0,2022-11-20,,,MEM,"W, 127-115",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.6,-9.0
Cam Thomas,thomaca02,2023,13,80.0,18.0,2022-11-22,,,PHI,"L, 106-115",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0
Cam Thomas,thomaca02,2023,14,81.0,19.0,2022-11-23,,,TOR,"W, 112-98",,,2.0,5.0,0.4,0.0,1.0,0.0,2.0,4.0,0.5,0.4,1.0,2.0,0.5,0.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0,5.0,2.4,-3.0
Cam Thomas,thomaca02,2023,15,82.0,21.0,2022-11-27,,,POR,"W, 111-97",,,1.0,4.0,0.25,0.0,1.0,0.0,1.0,3.0,0.333,0.25,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,-0.5,0.0
Cam Thomas,thomaca02,2023,16,83.0,22.0,2022-11-28,,,ORL,"W, 109-102",,,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1.2,5.0
Cam Thomas,thomaca02,2023,17,84.0,23.0,2022-11-30,,,WAS,"W, 113-107",,,2.0,5.0,0.4,0.0,1.0,0.0,2.0,4.0,0.5,0.4,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0,3.6,5.0
Cam Thomas,thomaca02,2023,18,85.0,24.0,2022-12-02,,,TOR,"W, 114-105",,,1.0,3.0,0.333,0.0,2.0,0.0,1.0,1.0,1.0,0.333,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,-2.5,-18.0
