player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Larry Nance Jr.,nancela02,2024,1,462.0,1.0,2023-10-25,,,MEM,"W, 111-104",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,1.0,7.0,8.0,0.0,1.0,0.0,2.0,1.0,2.0,2.4,-4.0
Larry Nance Jr.,nancela02,2024,2,463.0,2.0,2023-10-28,,,NYK,"W, 96-87",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,5.0,6.0,0.0,0.0,1.0,0.0,2.0,0.0,1.4,7.0
Larry Nance Jr.,nancela02,2024,3,464.0,3.0,2023-10-30,,,GSW,"L, 102-130",,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,0.0,0.0,,2.0,3.0,5.0,2.0,0.0,0.0,3.0,2.0,5.0,4.3,-6.0
Larry Nance Jr.,nancela02,2024,4,465.0,4.0,2023-11-01,,,OKC,"W, 110-106",,,4.0,5.0,0.8,1.0,1.0,1.0,3.0,4.0,0.75,0.9,0.0,2.0,0.0,2.0,5.0,7.0,2.0,2.0,0.0,0.0,2.0,9.0,11.8,-1.0
Larry Nance Jr.,nancela02,2024,5,466.0,5.0,2023-11-02,,,DET,"W, 125-116",,,2.0,6.0,0.333,0.0,2.0,0.0,2.0,4.0,0.5,0.333,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,1.2,-11.0
Larry Nance Jr.,nancela02,2024,6,467.0,6.0,2023-11-04,,,ATL,"L, 105-123",,,2.0,5.0,0.4,0.0,2.0,0.0,2.0,3.0,0.667,0.4,2.0,2.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,6.0,4.9,6.0
Larry Nance Jr.,nancela02,2024,7,468.0,7.0,2023-11-06,,,DEN,"L, 116-134",,,2.0,3.0,0.667,1.0,1.0,1.0,1.0,2.0,0.5,0.833,0.0,0.0,,1.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,5.0,4.3,2.0
Larry Nance Jr.,nancela02,2024,8,469.0,8.0,2023-11-08,,,MIN,"L, 101-122",,,3.0,7.0,0.429,0.0,1.0,0.0,3.0,6.0,0.5,0.429,0.0,0.0,,2.0,1.0,3.0,0.0,2.0,0.0,1.0,1.0,6.0,4.6,-11.0
Larry Nance Jr.,nancela02,2024,9,470.0,9.0,2023-11-10,,,HOU,"L, 101-104",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0,2.0,0.5,1.0,4.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0,1.8,-9.0
Larry Nance Jr.,nancela02,2024,10,471.0,10.0,2023-11-12,,,DAL,"L, 124-136",,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.5,-9.0
