player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Devin Carter,cartede02,2025,1,1.0,35.0,2025-01-03,,,MEM,"W, 138-133",,,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,5.0,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,-8.0
Devin Carter,cartede02,2025,2,2.0,36.0,2025-01-05,,,GSW,"W, 129-99",,,4.0,11.0,0.364,2.0,7.0,0.286,2.0,4.0,0.5,0.455,3.0,4.0,0.75,1.0,6.0,7.0,2.0,1.0,0.0,2.0,1.0,13.0,9.0,9.0
Devin Carter,cartede02,2025,3,3.0,37.0,2025-01-06,,,MIA,"W, 123-118 (2OT)",,,2.0,4.0,0.5,0.0,1.0,0.0,2.0,3.0,0.667,0.5,1.0,2.0,0.5,2.0,2.0,4.0,3.0,0.0,2.0,0.0,1.0,5.0,7.7,-2.0
Devin Carter,cartede02,2025,4,4.0,38.0,2025-01-10,,,BOS,"W, 114-97",,,4.0,8.0,0.5,3.0,5.0,0.6,1.0,3.0,0.333,0.688,0.0,0.0,,0.0,4.0,4.0,1.0,0.0,0.0,1.0,3.0,11.0,6.7,6.0
Devin Carter,cartede02,2025,5,5.0,39.0,2025-01-12,,,CHI,"W, 124-119",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,2.0,3.6,9.0
Devin Carter,cartede02,2025,6,6.0,40.0,2025-01-14,,,MIL,"L, 115-130",,,1.0,6.0,0.167,0.0,4.0,0.0,1.0,2.0,0.5,0.167,1.0,2.0,0.5,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.1,-11.0
Devin Carter,cartede02,2025,7,7.0,41.0,2025-01-16,,,HOU,"W, 132-127",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,-7.0
Devin Carter,cartede02,2025,8,8.0,43.0,2025-01-22,,,GSW,"W, 123-117",,,1.0,3.0,0.333,1.0,1.0,1.0,0.0,2.0,0.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.3,0.0
Devin Carter,cartede02,2025,9,9.0,44.0,2025-01-23,,,DEN,"L, 123-132",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.4,-5.0
Devin Carter,cartede02,2025,10,10.0,45.0,2025-01-25,,,NYK,"L, 120-143",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,-4.0
Devin Carter,cartede02,2025,11,11.0,46.0,2025-01-27,,,BRK,"W, 110-96",,,1.0,4.0,0.25,0.0,1.0,0.0,1.0,3.0,0.333,0.25,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,2.0,3.0,2.0,-2.3,8.0
Devin Carter,cartede02,2025,12,12.0,47.0,2025-01-29,,,PHI,"L, 104-117",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Devin Carter,cartede02,2025,13,13.0,48.0,2025-02-01,,,OKC,"L, 110-144",,,1.0,5.0,0.2,1.0,4.0,0.25,0.0,1.0,0.0,0.3,2.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,5.0,3.8,-10.0
Devin Carter,cartede02,2025,14,14.0,49.0,2025-02-03,,,MIN,"W, 116-114",,,1.0,4.0,0.25,0.0,1.0,0.0,1.0,3.0,0.333,0.25,0.0,0.0,,1.0,4.0,5.0,1.0,0.0,0.0,1.0,0.0,2.0,1.2,2.0
Devin Carter,cartede02,2025,15,15.0,50.0,2025-02-05,,,ORL,"L, 111-130",,,3.0,5.0,0.6,1.0,2.0,0.5,2.0,3.0,0.667,0.7,2.0,4.0,0.5,0.0,3.0,3.0,4.0,2.0,0.0,1.0,0.0,9.0,10.6,12.0
