player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Jarrett Allen,allenja01,2023,1,342.0,1.0,2022-10-19,,,TOR,"L, 105-108",*,,5.0,8.0,0.625,0.0,0.0,,5.0,8.0,0.625,0.625,3.0,4.0,0.75,5.0,5.0,10.0,0.0,0.0,2.0,1.0,2.0,13.0,13.6,2.0
Jarrett Allen,allenja01,2023,2,343.0,2.0,2022-10-22,,,CHI,"W, 128-96",*,,4.0,6.0,0.667,0.0,0.0,,4.0,6.0,0.667,0.667,0.0,0.0,,3.0,3.0,6.0,2.0,0.0,1.0,2.0,2.0,8.0,7.7,5.0
Jarrett Allen,allenja01,2023,3,344.0,3.0,2022-10-23,,,WAS,"W, 117-107 (OT)",*,,6.0,13.0,0.462,0.0,0.0,,6.0,13.0,0.462,0.462,3.0,4.0,0.75,6.0,8.0,14.0,3.0,0.0,2.0,0.0,2.0,15.0,17.2,-1.0
Jarrett Allen,allenja01,2023,4,345.0,4.0,2022-10-26,,,ORL,"W, 103-92",*,,7.0,11.0,0.636,0.0,0.0,,7.0,11.0,0.636,0.636,4.0,5.0,0.8,7.0,9.0,16.0,1.0,1.0,1.0,1.0,5.0,18.0,19.7,11.0
Jarrett Allen,allenja01,2023,5,346.0,5.0,2022-10-28,,,BOS,"W, 132-123 (OT)",*,,5.0,9.0,0.556,0.0,1.0,0.0,5.0,8.0,0.625,0.556,2.0,4.0,0.5,3.0,8.0,11.0,2.0,0.0,0.0,0.0,2.0,12.0,12.0,25.0
Jarrett Allen,allenja01,2023,6,347.0,6.0,2022-10-30,,,NYK,"W, 121-108",*,,3.0,8.0,0.375,0.0,1.0,0.0,3.0,7.0,0.429,0.375,0.0,0.0,,3.0,10.0,13.0,1.0,0.0,0.0,2.0,0.0,6.0,5.4,5.0
Jarrett Allen,allenja01,2023,7,348.0,7.0,2022-11-02,,,BOS,"W, 114-113 (OT)",*,,6.0,11.0,0.545,0.0,0.0,,6.0,11.0,0.545,0.545,2.0,2.0,1.0,3.0,11.0,14.0,0.0,0.0,2.0,3.0,2.0,14.0,11.7,-17.0
Jarrett Allen,allenja01,2023,8,349.0,8.0,2022-11-04,,,DET,"W, 112-88",*,,11.0,16.0,0.688,0.0,0.0,,11.0,16.0,0.688,0.688,1.0,2.0,0.5,2.0,5.0,7.0,0.0,0.0,2.0,4.0,2.0,23.0,15.3,20.0
Jarrett Allen,allenja01,2023,9,350.0,9.0,2022-11-06,,,LAL,"W, 114-100",*,,5.0,13.0,0.385,0.0,0.0,,5.0,13.0,0.385,0.385,6.0,6.0,1.0,3.0,8.0,11.0,0.0,2.0,2.0,1.0,4.0,16.0,14.2,5.0
Jarrett Allen,allenja01,2023,10,351.0,10.0,2022-11-07,,,LAC,"L, 117-119",*,,4.0,10.0,0.4,0.0,0.0,,4.0,10.0,0.4,0.4,2.0,3.0,0.667,4.0,16.0,20.0,3.0,2.0,2.0,0.0,0.0,10.0,17.3,3.0
Jarrett Allen,allenja01,2023,11,352.0,11.0,2022-11-09,,,SAC,"L, 120-127",*,,7.0,11.0,0.636,0.0,0.0,,7.0,11.0,0.636,0.636,6.0,7.0,0.857,2.0,5.0,7.0,1.0,0.0,1.0,1.0,4.0,20.0,16.4,-13.0
Jarrett Allen,allenja01,2023,12,353.0,12.0,2022-11-11,,,GSW,"L, 101-106",*,,6.0,8.0,0.75,0.0,0.0,,6.0,8.0,0.75,0.75,1.0,2.0,0.5,1.0,8.0,9.0,1.0,0.0,0.0,2.0,2.0,13.0,10.4,0.0
Jarrett Allen,allenja01,2023,13,354.0,15.0,2022-11-18,,,CHO,"W, 132-122 (2OT)",*,,8.0,11.0,0.727,0.0,0.0,,8.0,11.0,0.727,0.727,4.0,5.0,0.8,1.0,11.0,12.0,2.0,0.0,4.0,2.0,3.0,20.0,20.1,6.0
Jarrett Allen,allenja01,2023,14,355.0,16.0,2022-11-20,,,MIA,"W, 113-87",*,,4.0,6.0,0.667,0.0,0.0,,4.0,6.0,0.667,0.667,0.0,0.0,,1.0,5.0,6.0,2.0,0.0,0.0,3.0,3.0,8.0,4.8,13.0
Jarrett Allen,allenja01,2023,15,356.0,17.0,2022-11-21,,,ATL,"W, 114-102",*,,3.0,5.0,0.6,0.0,0.0,,3.0,5.0,0.6,0.6,2.0,2.0,1.0,0.0,11.0,11.0,1.0,2.0,1.0,1.0,0.0,8.0,11.4,11.0
Jarrett Allen,allenja01,2023,16,357.0,18.0,2022-11-23,,,POR,"W, 114-96",*,,10.0,12.0,0.833,0.0,0.0,,10.0,12.0,0.833,0.833,4.0,4.0,1.0,5.0,8.0,13.0,2.0,1.0,0.0,6.0,3.0,24.0,20.7,19.0
Jarrett Allen,allenja01,2023,17,358.0,19.0,2022-11-25,,,MIL,"L, 102-117",*,,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,3.0,1.0,1.0,1.0,0.0,2.0,1.0,2.1,4.0
Jarrett Allen,allenja01,2023,18,359.0,25.0,2022-12-06,,,LAL,"W, 116-102",*,,11.0,14.0,0.786,0.0,0.0,,11.0,14.0,0.786,0.786,2.0,4.0,0.5,3.0,8.0,11.0,1.0,3.0,1.0,2.0,2.0,24.0,23.9,21.0
Jarrett Allen,allenja01,2023,19,360.0,26.0,2022-12-09,,,SAC,"L, 95-106",*,,2.0,5.0,0.4,0.0,1.0,0.0,2.0,4.0,0.5,0.4,5.0,6.0,0.833,4.0,4.0,8.0,1.0,0.0,2.0,5.0,5.0,9.0,5.0,-10.0
Jarrett Allen,allenja01,2023,20,361.0,27.0,2022-12-10,,,OKC,"W, 110-102",*,,7.0,9.0,0.778,0.0,0.0,,7.0,9.0,0.778,0.778,7.0,13.0,0.538,6.0,5.0,11.0,1.0,1.0,1.0,1.0,4.0,21.0,20.6,6.0
Jarrett Allen,allenja01,2023,21,362.0,28.0,2022-12-12,,,SAS,"L, 111-112",*,,7.0,11.0,0.636,0.0,0.0,,7.0,11.0,0.636,0.636,2.0,2.0,1.0,3.0,4.0,7.0,3.0,1.0,3.0,0.0,2.0,16.0,18.8,1.0
Jarrett Allen,allenja01,2023,22,363.0,29.0,2022-12-14,,,DAL,"W, 105-90",*,,6.0,7.0,0.857,0.0,0.0,,6.0,7.0,0.857,0.857,2.0,2.0,1.0,0.0,6.0,6.0,3.0,2.0,0.0,0.0,3.0,14.0,16.2,20.0
Jarrett Allen,allenja01,2023,23,364.0,30.0,2022-12-16,,,IND,"W, 118-112",*,,2.0,3.0,0.667,0.0,0.0,,2.0,3.0,0.667,0.667,3.0,4.0,0.75,2.0,3.0,5.0,2.0,0.0,0.0,0.0,2.0,7.0,8.2,6.0
Jarrett Allen,allenja01,2023,24,365.0,31.0,2022-12-17,,,DAL,"W, 100-99 (OT)",*,,3.0,7.0,0.429,0.0,0.0,,3.0,7.0,0.429,0.429,2.0,6.0,0.333,4.0,11.0,15.0,1.0,0.0,2.0,0.0,1.0,8.0,10.5,-9.0
Jarrett Allen,allenja01,2023,25,366.0,32.0,2022-12-19,,,UTA,"W, 122-99",*,,7.0,11.0,0.636,0.0,0.0,,7.0,11.0,0.636,0.636,6.0,6.0,1.0,2.0,9.0,11.0,2.0,2.0,3.0,3.0,3.0,20.0,20.5,18.0
Jarrett Allen,allenja01,2023,26,367.0,33.0,2022-12-21,,,MIL,"W, 114-106",*,,8.0,10.0,0.8,0.0,0.0,,8.0,10.0,0.8,0.8,3.0,4.0,0.75,4.0,4.0,8.0,3.0,1.0,0.0,1.0,1.0,19.0,20.5,16.0
Jarrett Allen,allenja01,2023,27,368.0,34.0,2022-12-23,,,TOR,"L, 107-118",*,,5.0,6.0,0.833,0.0,0.0,,5.0,6.0,0.833,0.833,1.0,2.0,0.5,1.0,6.0,7.0,1.0,1.0,0.0,0.0,2.0,11.0,11.8,-12.0
Jarrett Allen,allenja01,2023,28,369.0,35.0,2022-12-26,,,BRK,"L, 117-125",*,,2.0,5.0,0.4,0.0,1.0,0.0,2.0,4.0,0.5,0.4,6.0,8.0,0.75,4.0,7.0,11.0,1.0,1.0,1.0,2.0,0.0,10.0,11.8,-14.0
Jarrett Allen,allenja01,2023,29,370.0,36.0,2022-12-29,,,IND,"L, 126-135",*,,8.0,11.0,0.727,0.0,0.0,,8.0,11.0,0.727,0.727,3.0,4.0,0.75,4.0,10.0,14.0,1.0,1.0,1.0,1.0,2.0,19.0,20.5,1.0
Jarrett Allen,allenja01,2023,30,371.0,37.0,2022-12-31,,,CHI,"W, 103-102",*,,3.0,9.0,0.333,0.0,0.0,,3.0,9.0,0.333,0.333,0.0,2.0,0.0,4.0,6.0,10.0,2.0,2.0,2.0,2.0,1.0,6.0,7.1,-3.0
Jarrett Allen,allenja01,2023,31,372.0,38.0,2023-01-02,,,CHI,"W, 145-134 (OT)",*,,9.0,10.0,0.9,0.0,0.0,,9.0,10.0,0.9,0.9,3.0,6.0,0.5,6.0,2.0,8.0,2.0,0.0,1.0,1.0,4.0,21.0,20.7,11.0
Jarrett Allen,allenja01,2023,32,373.0,39.0,2023-01-04,,,PHO,"W, 90-88",*,,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,0.0,0.0,,0.0,8.0,8.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0
Jarrett Allen,allenja01,2023,33,374.0,40.0,2023-01-06,,,DEN,"L, 108-121",*,,4.0,11.0,0.364,0.0,1.0,0.0,4.0,10.0,0.4,0.364,5.0,8.0,0.625,7.0,2.0,9.0,1.0,1.0,1.0,1.0,2.0,13.0,11.8,-18.0
Jarrett Allen,allenja01,2023,34,375.0,41.0,2023-01-08,,,PHO,"W, 112-98",*,,6.0,7.0,0.857,0.0,0.0,,6.0,7.0,0.857,0.857,1.0,2.0,0.5,2.0,10.0,12.0,5.0,1.0,2.0,0.0,0.0,13.0,20.4,4.0
Jarrett Allen,allenja01,2023,35,376.0,42.0,2023-01-10,,,UTA,"L, 114-116",*,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,-0.1,4.0
Jarrett Allen,allenja01,2023,36,377.0,43.0,2023-01-12,,,POR,"W, 119-113",*,,11.0,17.0,0.647,0.0,1.0,0.0,11.0,16.0,0.688,0.647,2.0,2.0,1.0,2.0,8.0,10.0,6.0,1.0,0.0,0.0,3.0,24.0,24.3,7.0
Jarrett Allen,allenja01,2023,37,378.0,44.0,2023-01-14,,,MIN,"L, 102-110",*,,8.0,10.0,0.8,0.0,0.0,,8.0,10.0,0.8,0.8,3.0,3.0,1.0,2.0,6.0,8.0,2.0,0.0,2.0,3.0,3.0,19.0,17.0,-4.0
Jarrett Allen,allenja01,2023,38,379.0,45.0,2023-01-16,,,NOP,"W, 113-103",*,,9.0,12.0,0.75,0.0,0.0,,9.0,12.0,0.75,0.75,6.0,6.0,1.0,7.0,4.0,11.0,5.0,2.0,1.0,1.0,2.0,24.0,29.7,14.0
Jarrett Allen,allenja01,2023,39,380.0,46.0,2023-01-18,,,MEM,"L, 114-115",*,,6.0,9.0,0.667,0.0,0.0,,6.0,9.0,0.667,0.667,2.0,5.0,0.4,5.0,3.0,8.0,0.0,0.0,2.0,2.0,4.0,14.0,11.1,9.0
Jarrett Allen,allenja01,2023,40,381.0,47.0,2023-01-20,,,GSW,"L, 114-120",*,,4.0,7.0,0.571,0.0,0.0,,4.0,7.0,0.571,0.571,0.0,0.0,,3.0,5.0,8.0,2.0,0.0,3.0,1.0,3.0,8.0,9.6,-13.0
Jarrett Allen,allenja01,2023,41,382.0,48.0,2023-01-21,,,MIL,"W, 114-102",*,,6.0,10.0,0.6,0.0,0.0,,6.0,10.0,0.6,0.6,0.0,0.0,,1.0,5.0,6.0,2.0,2.0,1.0,2.0,3.0,12.0,10.5,-1.0
Jarrett Allen,allenja01,2023,42,383.0,49.0,2023-01-24,,,NYK,"L, 103-105",*,,12.0,17.0,0.706,0.0,0.0,,12.0,17.0,0.706,0.706,0.0,0.0,,1.0,11.0,12.0,1.0,0.0,1.0,2.0,1.0,24.0,19.9,15.0
Jarrett Allen,allenja01,2023,43,384.0,50.0,2023-01-26,,,HOU,"W, 113-95",*,,6.0,10.0,0.6,0.0,0.0,,6.0,10.0,0.6,0.6,2.0,2.0,1.0,1.0,9.0,10.0,1.0,3.0,0.0,1.0,2.0,14.0,14.7,23.0
Jarrett Allen,allenja01,2023,44,385.0,51.0,2023-01-27,,,OKC,"L, 100-112",*,,6.0,8.0,0.75,0.0,0.0,,6.0,8.0,0.75,0.75,1.0,2.0,0.5,5.0,4.0,9.0,0.0,0.0,1.0,0.0,1.0,13.0,14.4,-10.0
Jarrett Allen,allenja01,2023,45,386.0,52.0,2023-01-29,,,LAC,"W, 122-99",*,,6.0,10.0,0.6,1.0,1.0,1.0,5.0,9.0,0.556,0.65,2.0,3.0,0.667,2.0,6.0,8.0,3.0,2.0,0.0,5.0,2.0,15.0,11.5,27.0
Jarrett Allen,allenja01,2023,46,387.0,53.0,2023-01-31,,,MIA,"L, 97-100",*,,6.0,8.0,0.75,0.0,0.0,,6.0,8.0,0.75,0.75,2.0,3.0,0.667,1.0,10.0,11.0,0.0,2.0,1.0,2.0,2.0,14.0,14.0,-17.0
Jarrett Allen,allenja01,2023,47,388.0,54.0,2023-02-02,,,MEM,"W, 128-113",*,,9.0,12.0,0.75,0.0,0.0,,9.0,12.0,0.75,0.75,0.0,0.0,,3.0,8.0,11.0,4.0,2.0,2.0,3.0,2.0,18.0,20.1,20.0
Jarrett Allen,allenja01,2023,48,389.0,55.0,2023-02-05,,,IND,"W, 122-103",*,,9.0,11.0,0.818,0.0,0.0,,9.0,11.0,0.818,0.818,0.0,0.0,,3.0,10.0,13.0,0.0,0.0,1.0,2.0,3.0,18.0,16.5,9.0
Jarrett Allen,allenja01,2023,49,390.0,56.0,2023-02-06,,,WAS,"W, 114-91",*,,10.0,13.0,0.769,0.0,0.0,,10.0,13.0,0.769,0.769,3.0,4.0,0.75,1.0,7.0,8.0,3.0,0.0,2.0,2.0,1.0,23.0,21.4,24.0
Jarrett Allen,allenja01,2023,50,391.0,57.0,2023-02-08,,,DET,"W, 113-85",*,,9.0,13.0,0.692,0.0,0.0,,9.0,13.0,0.692,0.692,2.0,5.0,0.4,9.0,7.0,16.0,1.0,0.0,1.0,2.0,1.0,20.0,20.7,18.0
Jarrett Allen,allenja01,2023,51,392.0,58.0,2023-02-10,,,NOP,"W, 118-107",*,,8.0,11.0,0.727,0.0,0.0,,8.0,11.0,0.727,0.727,4.0,4.0,1.0,6.0,5.0,11.0,4.0,0.0,2.0,2.0,5.0,20.0,21.4,11.0
Jarrett Allen,allenja01,2023,52,393.0,59.0,2023-02-11,,,CHI,"W, 97-89",*,,10.0,13.0,0.769,0.0,0.0,,10.0,13.0,0.769,0.769,3.0,5.0,0.6,4.0,6.0,10.0,0.0,0.0,1.0,2.0,3.0,23.0,19.2,3.0
Jarrett Allen,allenja01,2023,53,394.0,60.0,2023-02-13,,,SAS,"W, 117-109",*,,7.0,11.0,0.636,0.0,0.0,,7.0,11.0,0.636,0.636,3.0,3.0,1.0,5.0,6.0,11.0,0.0,2.0,3.0,0.0,3.0,17.0,20.3,11.0
Jarrett Allen,allenja01,2023,54,395.0,61.0,2023-02-15,,,PHI,"L, 112-118",*,,5.0,6.0,0.833,0.0,0.0,,5.0,6.0,0.833,0.833,2.0,2.0,1.0,5.0,2.0,7.0,4.0,0.0,0.0,0.0,3.0,12.0,15.5,-7.0
Jarrett Allen,allenja01,2023,55,396.0,62.0,2023-02-23,,,DEN,"L, 109-115",*,,6.0,10.0,0.6,0.0,0.0,,6.0,10.0,0.6,0.6,2.0,2.0,1.0,5.0,8.0,13.0,2.0,1.0,0.0,1.0,3.0,14.0,15.5,-6.0
Jarrett Allen,allenja01,2023,56,397.0,63.0,2023-02-24,,,ATL,"L, 119-136",*,,4.0,8.0,0.5,0.0,0.0,,4.0,8.0,0.5,0.5,6.0,6.0,1.0,3.0,6.0,9.0,0.0,0.0,2.0,0.0,2.0,14.0,14.5,-23.0
Jarrett Allen,allenja01,2023,57,398.0,64.0,2023-02-26,,,TOR,"W, 118-93",*,,10.0,13.0,0.769,0.0,1.0,0.0,10.0,12.0,0.833,0.769,3.0,3.0,1.0,3.0,8.0,11.0,1.0,0.0,0.0,2.0,0.0,23.0,21.1,19.0
Jarrett Allen,allenja01,2023,58,399.0,65.0,2023-03-01,,,BOS,"L, 113-117",*,,2.0,5.0,0.4,0.0,0.0,,2.0,5.0,0.4,0.4,1.0,2.0,0.5,2.0,5.0,7.0,1.0,3.0,2.0,0.0,1.0,5.0,9.5,-3.0
Jarrett Allen,allenja01,2023,59,400.0,66.0,2023-03-04,,,DET,"W, 114-90",*,,6.0,9.0,0.667,0.0,0.0,,6.0,9.0,0.667,0.667,3.0,5.0,0.6,1.0,4.0,5.0,0.0,2.0,0.0,1.0,3.0,15.0,12.0,24.0
