player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Cole Anthony,anthoco01,2023,1,113.0,2.0,2022-10-21,,,ATL,"L, 98-108",,,8.0,12.0,0.667,4.0,5.0,0.8,4.0,7.0,0.571,0.833,5.0,7.0,0.714,0.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,25.0,19.7,-1.0
Cole Anthony,anthoco01,2023,2,114.0,3.0,2022-10-22,,,BOS,"L, 120-126",*,,6.0,13.0,0.462,2.0,5.0,0.4,4.0,8.0,0.5,0.538,0.0,2.0,0.0,1.0,8.0,9.0,6.0,1.0,1.0,2.0,4.0,14.0,11.9,0.0
Cole Anthony,anthoco01,2023,3,115.0,4.0,2022-10-24,,,NYK,"L, 102-115",*,,6.0,18.0,0.333,0.0,5.0,0.0,6.0,13.0,0.462,0.333,2.0,2.0,1.0,2.0,2.0,4.0,4.0,1.0,0.0,1.0,4.0,14.0,7.0,-7.0
Cole Anthony,anthoco01,2023,4,116.0,5.0,2022-10-26,,,CLE,"L, 92-103",*,,2.0,10.0,0.2,1.0,5.0,0.2,1.0,5.0,0.2,0.25,4.0,4.0,1.0,0.0,6.0,6.0,5.0,0.0,1.0,3.0,5.0,9.0,3.8,-18.0
Cole Anthony,anthoco01,2023,5,117.0,22.0,2022-11-30,,,ATL,"L, 108-125",,,3.0,7.0,0.429,0.0,1.0,0.0,3.0,6.0,0.5,0.429,5.0,5.0,1.0,0.0,4.0,4.0,2.0,1.0,0.0,2.0,6.0,11.0,6.5,-15.0
Cole Anthony,anthoco01,2023,6,118.0,23.0,2022-12-02,,,CLE,"L, 96-107",,,7.0,11.0,0.636,3.0,4.0,0.75,4.0,7.0,0.571,0.773,2.0,2.0,1.0,0.0,6.0,6.0,3.0,3.0,1.0,1.0,4.0,19.0,19.1,-5.0
Cole Anthony,anthoco01,2023,7,119.0,24.0,2022-12-03,,,TOR,"L, 108-121",,,4.0,10.0,0.4,1.0,3.0,0.333,3.0,7.0,0.429,0.45,3.0,3.0,1.0,0.0,3.0,3.0,5.0,1.0,0.0,0.0,2.0,12.0,11.2,5.0
Cole Anthony,anthoco01,2023,8,120.0,25.0,2022-12-05,,,MIL,"L, 102-109",,,0.0,9.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,,1.0,3.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,-2.4,-15.0
Cole Anthony,anthoco01,2023,9,121.0,26.0,2022-12-07,,,LAC,"W, 116-111 (OT)",,,5.0,13.0,0.385,2.0,5.0,0.4,3.0,8.0,0.375,0.462,1.0,1.0,1.0,1.0,3.0,4.0,4.0,0.0,0.0,0.0,2.0,13.0,9.5,21.0
Cole Anthony,anthoco01,2023,10,122.0,27.0,2022-12-09,,,TOR,"W, 113-109",,,7.0,10.0,0.7,3.0,5.0,0.6,4.0,5.0,0.8,0.85,1.0,2.0,0.5,0.0,3.0,3.0,5.0,1.0,0.0,4.0,4.0,18.0,13.2,-15.0
Cole Anthony,anthoco01,2023,11,123.0,28.0,2022-12-11,,,TOR,"W, 111-99",,,5.0,9.0,0.556,1.0,3.0,0.333,4.0,6.0,0.667,0.611,3.0,3.0,1.0,1.0,5.0,6.0,6.0,1.0,0.0,1.0,4.0,14.0,14.5,11.0
Cole Anthony,anthoco01,2023,12,124.0,29.0,2022-12-14,,,ATL,"W, 135-124",,,3.0,7.0,0.429,0.0,3.0,0.0,3.0,4.0,0.75,0.429,7.0,7.0,1.0,0.0,5.0,5.0,6.0,0.0,0.0,3.0,4.0,13.0,10.4,1.0
Cole Anthony,anthoco01,2023,13,125.0,30.0,2022-12-16,,,BOS,"W, 117-109",,,7.0,13.0,0.538,0.0,5.0,0.0,7.0,8.0,0.875,0.538,0.0,0.0,,0.0,5.0,5.0,3.0,0.0,0.0,2.0,2.0,14.0,8.5,7.0
Cole Anthony,anthoco01,2023,14,126.0,31.0,2022-12-18,,,BOS,"W, 95-92",,,3.0,7.0,0.429,1.0,1.0,1.0,2.0,6.0,0.333,0.5,0.0,0.0,,0.0,3.0,3.0,3.0,0.0,0.0,4.0,3.0,7.0,1.1,0.0
Cole Anthony,anthoco01,2023,15,127.0,32.0,2022-12-19,,,ATL,"L, 125-126",,,1.0,5.0,0.2,0.0,1.0,0.0,1.0,4.0,0.25,0.2,6.0,6.0,1.0,0.0,3.0,3.0,4.0,1.0,1.0,1.0,4.0,8.0,7.7,-9.0
Cole Anthony,anthoco01,2023,16,128.0,33.0,2022-12-21,,,HOU,"W, 116-110",,,5.0,13.0,0.385,3.0,8.0,0.375,2.0,5.0,0.4,0.5,2.0,2.0,1.0,0.0,4.0,4.0,6.0,1.0,0.0,0.0,1.0,15.0,13.9,15.0
Cole Anthony,anthoco01,2023,17,129.0,34.0,2022-12-23,,,SAS,"W, 133-113",,,8.0,10.0,0.8,4.0,4.0,1.0,4.0,6.0,0.667,1.0,3.0,3.0,1.0,1.0,9.0,10.0,9.0,0.0,0.0,3.0,5.0,23.0,23.9,22.0
Cole Anthony,anthoco01,2023,18,130.0,35.0,2022-12-27,,,LAL,"L, 110-129",,,4.0,13.0,0.308,0.0,3.0,0.0,4.0,10.0,0.4,0.308,0.0,0.0,,1.0,1.0,2.0,4.0,1.0,0.0,2.0,4.0,8.0,1.7,-13.0
Cole Anthony,anthoco01,2023,19,131.0,36.0,2022-12-28,,,DET,"L, 101-121",,,2.0,6.0,0.333,0.0,2.0,0.0,2.0,4.0,0.5,0.333,4.0,4.0,1.0,1.0,4.0,5.0,6.0,1.0,2.0,2.0,3.0,8.0,9.9,-3.0
Cole Anthony,anthoco01,2023,20,132.0,38.0,2023-01-04,,,OKC,"W, 126-115",,,2.0,6.0,0.333,0.0,3.0,0.0,2.0,3.0,0.667,0.333,2.0,2.0,1.0,2.0,1.0,3.0,6.0,0.0,1.0,2.0,2.0,6.0,6.4,8.0
Cole Anthony,anthoco01,2023,21,133.0,39.0,2023-01-05,,,MEM,"L, 115-123",,,0.0,8.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,4.0,4.0,1.0,0.0,4.0,4.0,2.0,0.0,0.0,1.0,1.0,4.0,-0.4,-16.0
Cole Anthony,anthoco01,2023,22,134.0,40.0,2023-01-07,,,GSW,"W, 115-101",,,6.0,9.0,0.667,2.0,4.0,0.5,4.0,5.0,0.8,0.778,2.0,3.0,0.667,1.0,6.0,7.0,5.0,1.0,0.0,1.0,1.0,16.0,17.3,7.0
Cole Anthony,anthoco01,2023,23,135.0,41.0,2023-01-09,,,SAC,"L, 111-136",,,3.0,13.0,0.231,0.0,5.0,0.0,3.0,8.0,0.375,0.231,2.0,2.0,1.0,1.0,6.0,7.0,3.0,1.0,1.0,1.0,3.0,8.0,4.2,-34.0
Cole Anthony,anthoco01,2023,24,136.0,42.0,2023-01-10,,,POR,"W, 109-106",,,2.0,6.0,0.333,0.0,0.0,,2.0,6.0,0.333,0.333,2.0,3.0,0.667,1.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,6.0,4.5,-15.0
Cole Anthony,anthoco01,2023,25,137.0,43.0,2023-01-13,,,UTA,"L, 108-112",,,1.0,4.0,0.25,1.0,1.0,1.0,0.0,3.0,0.0,0.375,2.0,2.0,1.0,0.0,2.0,2.0,4.0,0.0,1.0,3.0,2.0,5.0,2.9,0.0
Cole Anthony,anthoco01,2023,26,138.0,44.0,2023-01-15,,,DEN,"L, 116-119",,,1.0,7.0,0.143,0.0,1.0,0.0,1.0,6.0,0.167,0.143,5.0,6.0,0.833,1.0,4.0,5.0,6.0,0.0,1.0,0.0,4.0,7.0,7.3,3.0
Cole Anthony,anthoco01,2023,27,139.0,45.0,2023-01-20,,,NOP,"W, 123-110",,,6.0,9.0,0.667,2.0,4.0,0.5,4.0,5.0,0.8,0.778,8.0,8.0,1.0,0.0,3.0,3.0,4.0,0.0,0.0,2.0,2.0,22.0,19.0,19.0
Cole Anthony,anthoco01,2023,28,140.0,46.0,2023-01-21,,,WAS,"L, 118-138",,,3.0,7.0,0.429,0.0,1.0,0.0,3.0,6.0,0.5,0.429,0.0,0.0,,0.0,6.0,6.0,1.0,1.0,3.0,2.0,1.0,6.0,5.5,-17.0
Cole Anthony,anthoco01,2023,29,141.0,47.0,2023-01-23,,,BOS,"W, 113-98",,,8.0,12.0,0.667,0.0,1.0,0.0,8.0,11.0,0.727,0.667,2.0,3.0,0.667,1.0,4.0,5.0,4.0,2.0,1.0,1.0,1.0,18.0,18.4,0.0
Cole Anthony,anthoco01,2023,30,142.0,48.0,2023-01-25,,,IND,"W, 126-120",,,4.0,9.0,0.444,0.0,2.0,0.0,4.0,7.0,0.571,0.444,0.0,0.0,,1.0,1.0,2.0,5.0,0.0,1.0,0.0,1.0,8.0,8.1,-6.0
Cole Anthony,anthoco01,2023,31,143.0,49.0,2023-01-27,,,MIA,"L, 105-110",,,5.0,9.0,0.556,4.0,7.0,0.571,1.0,2.0,0.5,0.778,5.0,6.0,0.833,0.0,7.0,7.0,1.0,0.0,0.0,3.0,1.0,19.0,13.7,7.0
Cole Anthony,anthoco01,2023,32,144.0,50.0,2023-01-28,,,CHI,"L, 109-128",,,9.0,15.0,0.6,3.0,5.0,0.6,6.0,10.0,0.6,0.7,0.0,0.0,,0.0,6.0,6.0,6.0,0.0,0.0,1.0,1.0,21.0,18.7,-6.0
Cole Anthony,anthoco01,2023,33,145.0,51.0,2023-01-30,,,PHI,"W, 119-109",,,2.0,7.0,0.286,1.0,3.0,0.333,1.0,4.0,0.25,0.357,0.0,0.0,,0.0,5.0,5.0,2.0,0.0,1.0,2.0,1.0,5.0,2.1,-2.0
Cole Anthony,anthoco01,2023,34,146.0,52.0,2023-02-01,,,PHI,"L, 94-105",,,2.0,7.0,0.286,0.0,2.0,0.0,2.0,5.0,0.4,0.286,7.0,7.0,1.0,0.0,4.0,4.0,0.0,1.0,1.0,0.0,1.0,11.0,9.4,-11.0
Cole Anthony,anthoco01,2023,35,147.0,53.0,2023-02-03,,,MIN,"W, 127-120",,,6.0,8.0,0.75,2.0,2.0,1.0,4.0,6.0,0.667,0.875,6.0,8.0,0.75,4.0,4.0,8.0,6.0,1.0,1.0,2.0,5.0,20.0,21.9,10.0
