player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Scottie Barnes,barnesc01,2023,1,75.0,1.0,2022-10-19,,,CLE,"W, 108-105",*,,7.0,14.0,0.5,1.0,1.0,1.0,6.0,13.0,0.462,0.536,0.0,0.0,,1.0,2.0,3.0,7.0,2.0,1.0,3.0,4.0,15.0,12.3,20.0
Scottie Barnes,barnesc01,2023,2,76.0,2.0,2022-10-21,,,BRK,"L, 105-109",*,,7.0,14.0,0.5,1.0,2.0,0.5,6.0,12.0,0.5,0.536,2.0,2.0,1.0,2.0,5.0,7.0,3.0,2.0,1.0,3.0,2.0,17.0,13.9,2.0
Scottie Barnes,barnesc01,2023,3,77.0,3.0,2022-10-22,,,MIA,"L, 109-112",*,,5.0,9.0,0.556,0.0,1.0,0.0,5.0,8.0,0.625,0.556,1.0,3.0,0.333,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,11.0,7.6,-8.0
Scottie Barnes,barnesc01,2023,4,78.0,5.0,2022-10-26,,,PHI,"W, 119-109",*,,6.0,11.0,0.545,1.0,4.0,0.25,5.0,7.0,0.714,0.591,3.0,3.0,1.0,1.0,9.0,10.0,5.0,1.0,0.0,0.0,0.0,16.0,18.6,3.0
Scottie Barnes,barnesc01,2023,5,79.0,6.0,2022-10-28,,,PHI,"L, 90-112",*,,4.0,7.0,0.571,3.0,4.0,0.75,1.0,3.0,0.333,0.786,2.0,2.0,1.0,2.0,4.0,6.0,1.0,1.0,0.0,2.0,1.0,13.0,11.6,-21.0
Scottie Barnes,barnesc01,2023,6,80.0,7.0,2022-10-31,,,ATL,"W, 139-109",*,,7.0,14.0,0.5,5.0,9.0,0.556,2.0,5.0,0.4,0.679,2.0,3.0,0.667,0.0,7.0,7.0,8.0,1.0,0.0,2.0,3.0,21.0,19.1,31.0
Scottie Barnes,barnesc01,2023,7,81.0,8.0,2022-11-02,,,SAS,"W, 143-100",*,,7.0,13.0,0.538,1.0,4.0,0.25,6.0,9.0,0.667,0.577,0.0,0.0,,1.0,3.0,4.0,5.0,0.0,1.0,2.0,0.0,15.0,12.5,30.0
Scottie Barnes,barnesc01,2023,8,82.0,9.0,2022-11-04,,,DAL,"L, 110-111",*,,4.0,12.0,0.333,1.0,6.0,0.167,3.0,6.0,0.5,0.375,2.0,2.0,1.0,3.0,8.0,11.0,10.0,1.0,0.0,5.0,0.0,11.0,11.7,1.0
Scottie Barnes,barnesc01,2023,9,83.0,10.0,2022-11-06,,,CHI,"W, 113-104",*,,8.0,19.0,0.421,2.0,7.0,0.286,6.0,12.0,0.5,0.474,1.0,2.0,0.5,2.0,8.0,10.0,4.0,1.0,0.0,2.0,1.0,19.0,13.7,5.0
Scottie Barnes,barnesc01,2023,10,84.0,11.0,2022-11-07,,,CHI,"L, 97-111",*,,2.0,9.0,0.222,0.0,2.0,0.0,2.0,7.0,0.286,0.222,1.0,2.0,0.5,1.0,5.0,6.0,5.0,0.0,0.0,1.0,3.0,5.0,2.6,6.0
Scottie Barnes,barnesc01,2023,11,85.0,12.0,2022-11-09,,,HOU,"W, 116-109",*,,6.0,16.0,0.375,1.0,4.0,0.25,5.0,12.0,0.417,0.406,0.0,0.0,,7.0,1.0,8.0,5.0,0.0,2.0,1.0,1.0,13.0,12.9,6.0
Scottie Barnes,barnesc01,2023,12,86.0,13.0,2022-11-11,,,OKC,"L, 113-132",*,,5.0,13.0,0.385,1.0,3.0,0.333,4.0,10.0,0.4,0.423,4.0,6.0,0.667,0.0,3.0,3.0,4.0,1.0,2.0,2.0,1.0,15.0,10.8,-4.0
Scottie Barnes,barnesc01,2023,13,87.0,14.0,2022-11-12,,,IND,"L, 104-118",*,,4.0,16.0,0.25,0.0,4.0,0.0,4.0,12.0,0.333,0.25,0.0,0.0,,4.0,5.0,9.0,5.0,2.0,1.0,2.0,2.0,8.0,6.1,-18.0
Scottie Barnes,barnesc01,2023,14,88.0,15.0,2022-11-14,,,DET,"W, 115-111",*,,4.0,9.0,0.444,0.0,1.0,0.0,4.0,8.0,0.5,0.444,0.0,0.0,,0.0,5.0,5.0,4.0,1.0,1.0,3.0,3.0,8.0,5.1,1.0
