player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Charles Bassey,bassech01,2023,1,24.0,8.0,2022-11-02,,,TOR,"L, 100-143",,,3.0,5.0,0.6,1.0,2.0,0.5,2.0,3.0,0.667,0.7,2.0,2.0,1.0,1.0,3.0,4.0,0.0,0.0,2.0,0.0,1.0,9.0,9.3,-9.0
Charles Bassey,bassech01,2023,2,25.0,11.0,2022-11-07,,,DEN,"L, 109-115",,,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,0.333,0.333,1.0,2.0,0.5,3.0,5.0,8.0,1.0,1.0,1.0,1.0,3.0,3.0,4.7,6.0
Charles Bassey,bassech01,2023,3,26.0,12.0,2022-11-09,,,MEM,"L, 122-124 (OT)",,,4.0,5.0,0.8,0.0,1.0,0.0,4.0,4.0,1.0,0.8,2.0,2.0,1.0,1.0,5.0,6.0,2.0,2.0,1.0,0.0,4.0,10.0,12.8,8.0
Charles Bassey,bassech01,2023,4,27.0,13.0,2022-11-11,,,MIL,"W, 111-93",,,2.0,3.0,0.667,1.0,2.0,0.5,1.0,1.0,1.0,0.833,0.0,0.0,,3.0,11.0,14.0,4.0,0.0,4.0,3.0,4.0,5.0,10.1,9.0
Charles Bassey,bassech01,2023,5,28.0,14.0,2022-11-14,,,GSW,"L, 95-132",,,3.0,5.0,0.6,0.0,0.0,,3.0,5.0,0.6,0.6,0.0,0.0,,6.0,1.0,7.0,3.0,0.0,2.0,3.0,2.0,6.0,7.9,-27.0
Charles Bassey,bassech01,2023,6,29.0,15.0,2022-11-15,,,POR,"L, 110-117",,,3.0,4.0,0.75,0.0,0.0,,3.0,4.0,0.75,0.75,0.0,0.0,,2.0,3.0,5.0,1.0,0.0,1.0,3.0,5.0,6.0,3.1,-14.0
Charles Bassey,bassech01,2023,7,30.0,16.0,2022-11-17,,,SAC,"L, 112-130",,,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,0.0,0.0,,1.0,1.0,2.0,2.0,1.0,0.0,4.0,2.0,4.0,2.0,1.0
Charles Bassey,bassech01,2023,8,31.0,17.0,2022-11-19,,,LAC,"L, 97-119",,,2.0,6.0,0.333,0.0,1.0,0.0,2.0,5.0,0.4,0.333,2.0,4.0,0.5,2.0,7.0,9.0,0.0,0.0,0.0,3.0,1.0,6.0,1.9,-6.0
Charles Bassey,bassech01,2023,9,32.0,18.0,2022-11-20,,,LAL,"L, 92-123",,,4.0,5.0,0.8,0.0,0.0,,4.0,5.0,0.8,0.8,0.0,2.0,0.0,2.0,6.0,8.0,5.0,1.0,0.0,1.0,2.0,8.0,11.2,-15.0
Charles Bassey,bassech01,2023,10,33.0,19.0,2022-11-23,,,NOP,"L, 110-129",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.0,3.0,3.0,1.0,0.0,1.0,0.0,2.0,3.0,3.8,3.0
Charles Bassey,bassech01,2023,11,34.0,20.0,2022-11-25,,,LAL,"L, 94-105",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.6,2.0
Charles Bassey,bassech01,2023,12,35.0,21.0,2022-11-26,,,LAL,"L, 138-143",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
Charles Bassey,bassech01,2023,13,36.0,23.0,2022-12-02,,,NOP,"L, 99-117",,,5.0,5.0,1.0,0.0,0.0,,5.0,5.0,1.0,1.0,1.0,2.0,0.5,3.0,6.0,9.0,0.0,1.0,2.0,0.0,4.0,11.0,13.8,12.0
Charles Bassey,bassech01,2023,14,37.0,24.0,2022-12-04,,,PHO,"L, 95-133",,,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,1.0,2.0,0.5,4.0,3.0,7.0,1.0,0.0,1.0,1.0,3.0,5.0,6.9,-11.0
Charles Bassey,bassech01,2023,15,38.0,25.0,2022-12-08,,,HOU,"W, 118-109",,,3.0,3.0,1.0,0.0,0.0,,3.0,3.0,1.0,1.0,4.0,4.0,1.0,1.0,4.0,5.0,3.0,1.0,4.0,0.0,4.0,10.0,15.3,10.0
Charles Bassey,bassech01,2023,16,39.0,26.0,2022-12-10,,,MIA,"W, 115-111",,,4.0,5.0,0.8,0.0,0.0,,4.0,5.0,0.8,0.8,0.0,0.0,,2.0,2.0,4.0,2.0,0.0,1.0,1.0,3.0,8.0,8.0,2.0
Charles Bassey,bassech01,2023,17,40.0,27.0,2022-12-12,,,CLE,"W, 112-111",,,3.0,5.0,0.6,0.0,0.0,,3.0,5.0,0.6,0.6,0.0,0.0,,6.0,5.0,11.0,1.0,0.0,0.0,1.0,1.0,6.0,8.7,10.0
Charles Bassey,bassech01,2023,18,41.0,28.0,2022-12-14,,,POR,"L, 112-128",*,,3.0,6.0,0.5,0.0,0.0,,3.0,6.0,0.5,0.5,0.0,0.0,,3.0,2.0,5.0,2.0,0.0,2.0,2.0,4.0,6.0,4.9,-9.0
