player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Malaki Branham,branhma01,2023,1,1.0,7.0,2022-10-30,,,MIN,"W, 107-98",,,1.0,7.0,0.143,1.0,4.0,0.25,0.0,3.0,0.0,0.214,2.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,5.0,2.5,2.0
Malaki Branham,branhma01,2023,2,2.0,8.0,2022-11-02,,,TOR,"L, 100-143",,,4.0,11.0,0.364,2.0,6.0,0.333,2.0,5.0,0.4,0.455,3.0,4.0,0.75,1.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,13.0,8.2,-11.0
Malaki Branham,branhma01,2023,3,3.0,9.0,2022-11-04,,,LAC,"L, 106-113",*,,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,0.0,0.0,,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,1.5,1.0
Malaki Branham,branhma01,2023,4,4.0,10.0,2022-11-05,,,DEN,"L, 101-126",*,,2.0,7.0,0.286,0.0,4.0,0.0,2.0,3.0,0.667,0.286,0.0,0.0,,0.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,4.0,0.9,-7.0
Malaki Branham,branhma01,2023,5,5.0,17.0,2022-11-19,,,LAC,"L, 97-119",,,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.75,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,2.6,4.0
Malaki Branham,branhma01,2023,6,6.0,18.0,2022-11-20,,,LAL,"L, 92-123",,,0.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-4.8,-7.0
Malaki Branham,branhma01,2023,7,7.0,20.0,2022-11-25,,,LAL,"L, 94-105",,,1.0,3.0,0.333,1.0,2.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,1.6,7.0
Malaki Branham,branhma01,2023,8,8.0,21.0,2022-11-26,,,LAL,"L, 138-143",,,3.0,4.0,0.75,2.0,3.0,0.667,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,8.0,6.7,-12.0
Malaki Branham,branhma01,2023,9,9.0,22.0,2022-11-30,,,OKC,"L, 111-119",,,3.0,6.0,0.5,0.0,3.0,0.0,3.0,3.0,1.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,7.0,5.1,-3.0
Malaki Branham,branhma01,2023,10,10.0,23.0,2022-12-02,,,NOP,"L, 99-117",,,2.0,8.0,0.25,1.0,4.0,0.25,1.0,4.0,0.25,0.313,0.0,0.0,,0.0,4.0,4.0,3.0,0.0,1.0,3.0,2.0,5.0,0.4,-12.0
Malaki Branham,branhma01,2023,11,11.0,24.0,2022-12-04,,,PHO,"L, 95-133",,,3.0,9.0,0.333,0.0,3.0,0.0,3.0,6.0,0.5,0.333,2.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,3.0,8.0,3.1,-20.0
Malaki Branham,branhma01,2023,12,12.0,25.0,2022-12-08,,,HOU,"W, 118-109",*,,2.0,7.0,0.286,1.0,4.0,0.25,1.0,3.0,0.333,0.357,0.0,0.0,,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,2.9,10.0
