player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Mikal Bridges,bridgmi01,2023,1,310.0,1.0,2022-10-19,,,DAL,"W, 107-105",*,,5.0,10.0,0.5,0.0,2.0,0.0,5.0,8.0,0.625,0.5,3.0,4.0,0.75,3.0,8.0,11.0,1.0,0.0,1.0,2.0,4.0,13.0,9.9,15.0
Mikal Bridges,bridgmi01,2023,2,311.0,2.0,2022-10-21,,,POR,"L, 111-113 (OT)",*,,6.0,10.0,0.6,0.0,0.0,,6.0,10.0,0.6,0.6,1.0,2.0,0.5,2.0,5.0,7.0,6.0,1.0,0.0,3.0,4.0,13.0,11.5,6.0
Mikal Bridges,bridgmi01,2023,3,312.0,3.0,2022-10-23,,,LAC,"W, 112-95",*,,3.0,9.0,0.333,1.0,3.0,0.333,2.0,6.0,0.333,0.389,0.0,0.0,,1.0,3.0,4.0,4.0,0.0,1.0,1.0,3.0,7.0,4.8,9.0
Mikal Bridges,bridgmi01,2023,4,313.0,4.0,2022-10-25,,,GSW,"W, 134-105",*,,7.0,8.0,0.875,0.0,0.0,,7.0,8.0,0.875,0.875,3.0,3.0,1.0,3.0,3.0,6.0,2.0,1.0,2.0,1.0,3.0,17.0,18.8,21.0
Mikal Bridges,bridgmi01,2023,5,314.0,5.0,2022-10-28,,,NOP,"W, 124-111",*,,10.0,13.0,0.769,3.0,5.0,0.6,7.0,8.0,0.875,0.885,4.0,4.0,1.0,0.0,2.0,2.0,4.0,1.0,3.0,1.0,1.0,27.0,27.0,-1.0
Mikal Bridges,bridgmi01,2023,6,315.0,6.0,2022-10-30,,,HOU,"W, 124-109",*,,5.0,7.0,0.714,2.0,3.0,0.667,3.0,4.0,0.75,0.857,3.0,4.0,0.75,1.0,4.0,5.0,1.0,0.0,1.0,1.0,3.0,15.0,12.8,12.0
Mikal Bridges,bridgmi01,2023,7,316.0,7.0,2022-11-01,,,MIN,"W, 116-107",*,,7.0,10.0,0.7,1.0,2.0,0.5,6.0,8.0,0.75,0.75,4.0,4.0,1.0,2.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,19.0,19.6,20.0
Mikal Bridges,bridgmi01,2023,8,317.0,8.0,2022-11-04,,,POR,"L, 106-108",*,,4.0,9.0,0.444,2.0,3.0,0.667,2.0,6.0,0.333,0.556,2.0,2.0,1.0,0.0,5.0,5.0,2.0,2.0,0.0,1.0,2.0,12.0,10.4,7.0
Mikal Bridges,bridgmi01,2023,9,318.0,9.0,2022-11-05,,,POR,"W, 102-82",*,,3.0,7.0,0.429,1.0,2.0,0.5,2.0,5.0,0.4,0.5,4.0,5.0,0.8,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,11.0,11.3,18.0
Mikal Bridges,bridgmi01,2023,10,319.0,10.0,2022-11-07,,,PHI,"L, 88-100",*,,6.0,12.0,0.5,1.0,2.0,0.5,5.0,10.0,0.5,0.542,2.0,2.0,1.0,0.0,5.0,5.0,1.0,0.0,1.0,0.0,1.0,15.0,11.5,-14.0
Mikal Bridges,bridgmi01,2023,11,320.0,11.0,2022-11-09,,,MIN,"W, 129-117",*,,12.0,20.0,0.6,2.0,6.0,0.333,10.0,14.0,0.714,0.65,5.0,5.0,1.0,2.0,7.0,9.0,5.0,4.0,1.0,2.0,1.0,31.0,31.1,12.0
Mikal Bridges,bridgmi01,2023,12,321.0,12.0,2022-11-11,,,ORL,"L, 97-114",*,,3.0,13.0,0.231,2.0,6.0,0.333,1.0,7.0,0.143,0.308,0.0,0.0,,1.0,3.0,4.0,6.0,0.0,0.0,1.0,2.0,8.0,4.1,-16.0
Mikal Bridges,bridgmi01,2023,13,322.0,13.0,2022-11-14,,,MIA,"L, 112-113",*,,7.0,14.0,0.5,1.0,3.0,0.333,6.0,11.0,0.545,0.536,0.0,0.0,,1.0,4.0,5.0,2.0,1.0,1.0,1.0,1.0,15.0,11.6,-1.0
