player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Malcolm Brogdon,brogdma01,2023,1,334.0,1.0,2022-10-18,,,PHI,"W, 126-117",,,7.0,11.0,0.636,0.0,2.0,0.0,7.0,9.0,0.778,0.636,2.0,2.0,1.0,1.0,1.0,2.0,4.0,2.0,0.0,1.0,2.0,16.0,15.1,9.0
Malcolm Brogdon,brogdma01,2023,2,335.0,2.0,2022-10-21,,,MIA,"W, 111-104",,,2.0,9.0,0.222,1.0,3.0,0.333,1.0,6.0,0.167,0.278,2.0,2.0,1.0,3.0,2.0,5.0,3.0,0.0,0.0,2.0,2.0,7.0,3.5,7.0
Malcolm Brogdon,brogdma01,2023,3,336.0,3.0,2022-10-22,,,ORL,"W, 126-120",,,4.0,10.0,0.4,1.0,4.0,0.25,3.0,6.0,0.5,0.45,4.0,5.0,0.8,1.0,1.0,2.0,4.0,0.0,0.0,2.0,1.0,13.0,8.6,-2.0
Malcolm Brogdon,brogdma01,2023,4,337.0,4.0,2022-10-24,,,CHI,"L, 102-120",,,5.0,13.0,0.385,2.0,6.0,0.333,3.0,7.0,0.429,0.462,0.0,0.0,,1.0,5.0,6.0,2.0,1.0,0.0,3.0,2.0,12.0,5.7,-24.0
Malcolm Brogdon,brogdma01,2023,5,338.0,5.0,2022-10-28,,,CLE,"L, 123-132 (OT)",,,3.0,5.0,0.6,1.0,1.0,1.0,2.0,4.0,0.5,0.7,2.0,2.0,1.0,0.0,2.0,2.0,5.0,1.0,0.0,1.0,3.0,9.0,9.6,-1.0
Malcolm Brogdon,brogdma01,2023,6,339.0,6.0,2022-10-30,,,WAS,"W, 112-94",,,6.0,12.0,0.5,3.0,5.0,0.6,3.0,7.0,0.429,0.625,8.0,8.0,1.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,23.0,20.4,9.0
Malcolm Brogdon,brogdma01,2023,7,340.0,7.0,2022-11-02,,,CLE,"L, 113-114 (OT)",,,6.0,11.0,0.545,1.0,3.0,0.333,5.0,8.0,0.625,0.591,2.0,2.0,1.0,0.0,4.0,4.0,3.0,0.0,0.0,3.0,1.0,15.0,9.6,2.0
Malcolm Brogdon,brogdma01,2023,8,341.0,8.0,2022-11-04,,,CHI,"W, 123-119",,,9.0,10.0,0.9,0.0,0.0,,9.0,10.0,0.9,0.9,7.0,9.0,0.778,0.0,2.0,2.0,4.0,0.0,1.0,4.0,2.0,25.0,20.1,4.0
Malcolm Brogdon,brogdma01,2023,9,342.0,9.0,2022-11-05,,,NYK,"W, 133-118",,,5.0,14.0,0.357,2.0,5.0,0.4,3.0,9.0,0.333,0.429,2.0,2.0,1.0,0.0,5.0,5.0,5.0,2.0,0.0,1.0,1.0,14.0,11.8,20.0
Malcolm Brogdon,brogdma01,2023,10,343.0,10.0,2022-11-07,,,MEM,"W, 109-106",,,3.0,12.0,0.25,2.0,7.0,0.286,1.0,5.0,0.2,0.333,0.0,0.0,,3.0,7.0,10.0,4.0,0.0,0.0,1.0,0.0,8.0,6.8,6.0
Malcolm Brogdon,brogdma01,2023,11,344.0,11.0,2022-11-09,,,DET,"W, 128-112",,,3.0,4.0,0.75,1.0,2.0,0.5,2.0,2.0,1.0,0.875,2.0,4.0,0.5,1.0,1.0,2.0,1.0,0.0,1.0,4.0,0.0,9.0,5.0,1.0
Malcolm Brogdon,brogdma01,2023,12,345.0,16.0,2022-11-18,,,NOP,"W, 117-109",,,1.0,8.0,0.125,1.0,5.0,0.2,0.0,3.0,0.0,0.188,2.0,2.0,1.0,1.0,3.0,4.0,4.0,1.0,0.0,1.0,1.0,5.0,3.8,2.0
Malcolm Brogdon,brogdma01,2023,13,346.0,17.0,2022-11-21,,,CHI,"L, 107-121",,,8.0,13.0,0.615,5.0,6.0,0.833,3.0,7.0,0.429,0.808,2.0,3.0,0.667,0.0,1.0,1.0,6.0,0.0,1.0,0.0,1.0,23.0,21.5,-5.0
Malcolm Brogdon,brogdma01,2023,14,347.0,18.0,2022-11-23,,,DAL,"W, 125-112",,,5.0,10.0,0.5,2.0,4.0,0.5,3.0,6.0,0.5,0.6,1.0,1.0,1.0,2.0,4.0,6.0,2.0,0.0,0.0,2.0,3.0,13.0,8.8,7.0
Malcolm Brogdon,brogdma01,2023,15,348.0,19.0,2022-11-25,,,SAC,"W, 122-104",,,3.0,9.0,0.333,2.0,3.0,0.667,1.0,6.0,0.167,0.444,0.0,0.0,,1.0,2.0,3.0,4.0,2.0,1.0,1.0,2.0,8.0,7.9,21.0
Malcolm Brogdon,brogdma01,2023,16,349.0,20.0,2022-11-27,,,WAS,"W, 130-121",,,5.0,10.0,0.5,3.0,5.0,0.6,2.0,5.0,0.4,0.65,4.0,4.0,1.0,1.0,5.0,6.0,4.0,0.0,0.0,3.0,1.0,17.0,13.6,8.0
Malcolm Brogdon,brogdma01,2023,17,350.0,21.0,2022-11-28,,,CHO,"W, 140-105",,,8.0,9.0,0.889,3.0,3.0,1.0,5.0,6.0,0.833,1.056,2.0,3.0,0.667,0.0,5.0,5.0,6.0,0.0,0.0,3.0,2.0,21.0,19.4,26.0
Malcolm Brogdon,brogdma01,2023,18,351.0,22.0,2022-11-30,,,MIA,"W, 134-121",,,7.0,10.0,0.7,5.0,7.0,0.714,2.0,3.0,0.667,0.95,2.0,2.0,1.0,3.0,3.0,6.0,1.0,0.0,0.0,4.0,2.0,21.0,15.7,0.0
Malcolm Brogdon,brogdma01,2023,19,352.0,23.0,2022-12-02,,,MIA,"L, 116-120 (OT)",,,2.0,7.0,0.286,1.0,2.0,0.5,1.0,5.0,0.2,0.357,1.0,2.0,0.5,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,6.0,2.1,-20.0
Malcolm Brogdon,brogdma01,2023,20,353.0,24.0,2022-12-04,,,BRK,"W, 103-92",,,4.0,10.0,0.4,2.0,4.0,0.5,2.0,6.0,0.333,0.5,3.0,3.0,1.0,2.0,6.0,8.0,8.0,1.0,0.0,1.0,4.0,13.0,14.8,16.0
Malcolm Brogdon,brogdma01,2023,21,354.0,26.0,2022-12-07,,,PHO,"W, 125-98",,,7.0,9.0,0.778,2.0,4.0,0.5,5.0,5.0,1.0,0.889,0.0,0.0,,0.0,3.0,3.0,5.0,0.0,0.0,1.0,2.0,16.0,15.1,9.0
Malcolm Brogdon,brogdma01,2023,22,355.0,27.0,2022-12-10,,,GSW,"L, 107-123",,,6.0,10.0,0.6,2.0,4.0,0.5,4.0,6.0,0.667,0.7,2.0,2.0,1.0,0.0,5.0,5.0,4.0,0.0,0.0,1.0,1.0,16.0,14.3,-13.0
