player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Alec Burks,burksal01,2023,1,626.0,13.0,2022-11-11,,,NYK,"L, 112-121",,,5.0,12.0,0.417,1.0,5.0,0.2,4.0,7.0,0.571,0.458,6.0,8.0,0.75,0.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,17.0,9.9,0.0
Alec Burks,burksal01,2023,2,627.0,15.0,2022-11-14,,,TOR,"L, 111-115",,,5.0,7.0,0.714,2.0,3.0,0.667,3.0,4.0,0.75,0.857,3.0,5.0,0.6,0.0,2.0,2.0,2.0,1.0,0.0,1.0,3.0,15.0,12.1,-10.0
Alec Burks,burksal01,2023,3,628.0,16.0,2022-11-17,,,LAC,"L, 91-96",,,1.0,6.0,0.167,0.0,2.0,0.0,1.0,4.0,0.25,0.167,4.0,4.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,6.0,3.8,10.0
Alec Burks,burksal01,2023,4,629.0,17.0,2022-11-18,,,LAL,"L, 121-128",,,6.0,10.0,0.6,5.0,8.0,0.625,1.0,2.0,0.5,0.85,6.0,8.0,0.75,1.0,2.0,3.0,3.0,1.0,0.0,1.0,4.0,23.0,19.4,8.0
Alec Burks,burksal01,2023,5,630.0,18.0,2022-11-20,,,SAC,"L, 129-137",,,4.0,13.0,0.308,1.0,5.0,0.2,3.0,8.0,0.375,0.346,7.0,8.0,0.875,0.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,16.0,9.6,-11.0
Alec Burks,burksal01,2023,6,631.0,19.0,2022-11-22,,,DEN,"W, 110-108",,,7.0,13.0,0.538,2.0,5.0,0.4,5.0,8.0,0.625,0.615,5.0,6.0,0.833,0.0,0.0,0.0,2.0,3.0,0.0,3.0,2.0,21.0,14.9,8.0
Alec Burks,burksal01,2023,7,632.0,20.0,2022-11-23,,,UTA,"W, 125-116",,,4.0,10.0,0.4,4.0,6.0,0.667,0.0,4.0,0.0,0.6,6.0,6.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,4.0,18.0,14.0,13.0
Alec Burks,burksal01,2023,8,633.0,21.0,2022-11-25,,,PHO,"L, 102-108",,,4.0,12.0,0.333,2.0,4.0,0.5,2.0,8.0,0.25,0.417,7.0,8.0,0.875,0.0,2.0,2.0,1.0,0.0,0.0,3.0,3.0,17.0,6.9,6.0
Alec Burks,burksal01,2023,9,634.0,22.0,2022-11-27,,,CLE,"L, 94-102",,,7.0,13.0,0.538,1.0,4.0,0.25,6.0,9.0,0.667,0.577,2.0,3.0,0.667,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,17.0,10.1,-8.0
Alec Burks,burksal01,2023,10,635.0,23.0,2022-11-29,,,NYK,"L, 110-140",,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,2.0,2.0,5.0,1.0,0.0,2.0,2.0,0.0,0.9,-7.0
Alec Burks,burksal01,2023,11,636.0,24.0,2022-12-01,,,DAL,"W, 131-125 (OT)",,,4.0,11.0,0.364,1.0,6.0,0.167,3.0,5.0,0.6,0.409,1.0,2.0,0.5,0.0,6.0,6.0,1.0,2.0,0.0,0.0,2.0,10.0,7.2,0.0
Alec Burks,burksal01,2023,12,637.0,25.0,2022-12-04,,,MEM,"L, 112-122",,,3.0,8.0,0.375,1.0,4.0,0.25,2.0,4.0,0.5,0.438,0.0,0.0,,1.0,3.0,4.0,1.0,1.0,0.0,1.0,2.0,7.0,4.1,-4.0
Alec Burks,burksal01,2023,13,638.0,26.0,2022-12-06,,,MIA,"W, 116-96",,,6.0,13.0,0.462,4.0,10.0,0.4,2.0,3.0,0.667,0.615,2.0,3.0,0.667,0.0,9.0,9.0,2.0,0.0,0.0,1.0,2.0,18.0,13.2,14.0
Alec Burks,burksal01,2023,14,639.0,27.0,2022-12-07,,,NOP,"L, 98-104",,,4.0,10.0,0.4,3.0,6.0,0.5,1.0,4.0,0.25,0.55,3.0,4.0,0.75,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,14.0,8.7,-3.0
Alec Burks,burksal01,2023,15,640.0,28.0,2022-12-09,,,MEM,"L, 103-114",,,2.0,5.0,0.4,1.0,2.0,0.5,1.0,3.0,0.333,0.5,1.0,2.0,0.5,0.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,6.0,6.9,0.0
Alec Burks,burksal01,2023,16,641.0,29.0,2022-12-11,,,LAL,"L, 117-124",,,5.0,10.0,0.5,1.0,4.0,0.25,4.0,6.0,0.667,0.55,0.0,0.0,,0.0,4.0,4.0,3.0,1.0,0.0,0.0,3.0,11.0,9.1,2.0
Alec Burks,burksal01,2023,17,642.0,30.0,2022-12-14,,,CHO,"W, 141-134 (OT)",,,8.0,12.0,0.667,4.0,6.0,0.667,4.0,6.0,0.667,0.833,7.0,8.0,0.875,0.0,3.0,3.0,3.0,0.0,1.0,1.0,3.0,27.0,22.9,13.0
Alec Burks,burksal01,2023,18,643.0,31.0,2022-12-16,,,SAC,"L, 113-122",,,2.0,4.0,0.5,0.0,0.0,,2.0,4.0,0.5,0.5,3.0,5.0,0.6,0.0,3.0,3.0,0.0,0.0,0.0,4.0,3.0,7.0,-0.1,7.0
Alec Burks,burksal01,2023,19,644.0,32.0,2022-12-18,,,BRK,"L, 121-124",,,4.0,10.0,0.4,2.0,5.0,0.4,2.0,5.0,0.4,0.5,2.0,3.0,0.667,1.0,4.0,5.0,1.0,1.0,0.0,2.0,2.0,12.0,7.0,-13.0
Alec Burks,burksal01,2023,20,645.0,33.0,2022-12-20,,,UTA,"L, 111-126",,,3.0,5.0,0.6,1.0,3.0,0.333,2.0,2.0,1.0,0.7,3.0,4.0,0.75,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,10.0,7.2,-11.0
Alec Burks,burksal01,2023,21,646.0,34.0,2022-12-21,,,PHI,"L, 93-113",,,2.0,5.0,0.4,1.0,3.0,0.333,1.0,2.0,0.5,0.5,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,7.0,5.2,-6.0
Alec Burks,burksal01,2023,22,647.0,35.0,2022-12-23,,,ATL,"L, 105-130",,,2.0,6.0,0.333,2.0,4.0,0.5,0.0,2.0,0.0,0.5,1.0,3.0,0.333,0.0,3.0,3.0,1.0,0.0,0.0,4.0,0.0,7.0,0.4,-15.0
Alec Burks,burksal01,2023,23,648.0,36.0,2022-12-26,,,LAC,"L, 131-142 (OT)",,,3.0,11.0,0.273,3.0,7.0,0.429,0.0,4.0,0.0,0.409,5.0,6.0,0.833,1.0,4.0,5.0,5.0,2.0,0.0,2.0,2.0,14.0,11.7,9.0
Alec Burks,burksal01,2023,24,649.0,37.0,2022-12-28,,,ORL,"W, 121-101",,,10.0,11.0,0.909,6.0,7.0,0.857,4.0,4.0,1.0,1.182,6.0,6.0,1.0,0.0,2.0,2.0,4.0,2.0,1.0,0.0,2.0,32.0,33.6,12.0
