player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Alex Caruso,carusal01,2023,1,226.0,1.0,2022-10-19,,,MIA,"W, 116-108",*,,2.0,10.0,0.2,1.0,6.0,0.167,1.0,4.0,0.25,0.25,1.0,2.0,0.5,2.0,3.0,5.0,4.0,2.0,0.0,4.0,4.0,6.0,0.9,9.0
Alex Caruso,carusal01,2023,2,227.0,2.0,2022-10-21,,,WAS,"L, 100-102",*,,1.0,4.0,0.25,0.0,2.0,0.0,1.0,2.0,0.5,0.25,1.0,2.0,0.5,0.0,3.0,3.0,1.0,3.0,1.0,4.0,1.0,3.0,1.1,-8.0
Alex Caruso,carusal01,2023,3,228.0,3.0,2022-10-22,,,CLE,"L, 96-128",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.6,-15.0
Alex Caruso,carusal01,2023,4,229.0,4.0,2022-10-24,,,BOS,"W, 120-102",,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,2.0,2.0,1.0,0.0,3.0,3.0,4.0,0.0,2.0,2.0,2.0,7.0,8.7,29.0
Alex Caruso,carusal01,2023,5,230.0,5.0,2022-10-26,,,IND,"W, 124-109",,,3.0,4.0,0.75,2.0,3.0,0.667,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,2.0,2.0,3.0,3.0,2.0,1.0,3.0,8.0,11.3,18.0
Alex Caruso,carusal01,2023,6,231.0,6.0,2022-10-28,,,SAS,"L, 124-129",*,,1.0,5.0,0.2,1.0,3.0,0.333,0.0,2.0,0.0,0.3,0.0,0.0,,3.0,0.0,3.0,4.0,1.0,0.0,1.0,1.0,3.0,4.4,-11.0
Alex Caruso,carusal01,2023,7,232.0,7.0,2022-10-29,,,PHI,"L, 109-114",*,,2.0,5.0,0.4,1.0,2.0,0.5,1.0,3.0,0.333,0.5,4.0,4.0,1.0,0.0,3.0,3.0,6.0,3.0,1.0,1.0,1.0,9.0,13.7,7.0
Alex Caruso,carusal01,2023,8,233.0,8.0,2022-11-01,,,BRK,"W, 108-99",,,1.0,4.0,0.25,1.0,2.0,0.5,0.0,2.0,0.0,0.375,1.0,2.0,0.5,0.0,4.0,4.0,4.0,0.0,0.0,0.0,1.0,4.0,4.8,11.0
Alex Caruso,carusal01,2023,9,234.0,9.0,2022-11-02,,,CHO,"W, 106-88",,,2.0,3.0,0.667,1.0,2.0,0.5,1.0,1.0,1.0,0.833,1.0,2.0,0.5,0.0,0.0,0.0,3.0,1.0,1.0,1.0,3.0,6.0,5.9,12.0
Alex Caruso,carusal01,2023,10,235.0,10.0,2022-11-04,,,BOS,"L, 119-123",,,2.0,3.0,0.667,1.0,2.0,0.5,1.0,1.0,1.0,0.833,0.0,0.0,,0.0,1.0,1.0,3.0,0.0,1.0,3.0,3.0,5.0,2.6,-14.0
