player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Brandon Clarke,clarkbr01,2023,1,182.0,1.0,2022-10-19,,,NYK,"W, 115-112 (OT)",,,4.0,6.0,0.667,0.0,2.0,0.0,4.0,4.0,1.0,0.667,0.0,0.0,,2.0,4.0,6.0,0.0,0.0,0.0,1.0,4.0,8.0,5.4,-12.0
Brandon Clarke,clarkbr01,2023,2,183.0,2.0,2022-10-21,,,HOU,"W, 129-122",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,2.0,4.0,0.5,1.0,3.0,4.0,2.0,0.0,1.0,2.0,2.0,4.0,3.1,-16.0
Brandon Clarke,clarkbr01,2023,3,184.0,3.0,2022-10-22,,,DAL,"L, 96-137",,,4.0,7.0,0.571,0.0,0.0,,4.0,7.0,0.571,0.571,0.0,0.0,,0.0,3.0,3.0,1.0,0.0,1.0,1.0,2.0,8.0,5.2,-2.0
Brandon Clarke,clarkbr01,2023,4,185.0,4.0,2022-10-24,,,BRK,"W, 134-124",,,4.0,5.0,0.8,0.0,0.0,,4.0,5.0,0.8,0.8,5.0,6.0,0.833,0.0,2.0,2.0,2.0,0.0,0.0,1.0,4.0,13.0,10.1,-10.0
Brandon Clarke,clarkbr01,2023,5,186.0,5.0,2022-10-27,,,SAC,"W, 125-110",,,6.0,8.0,0.75,0.0,1.0,0.0,6.0,7.0,0.857,0.75,4.0,5.0,0.8,0.0,3.0,3.0,3.0,2.0,1.0,1.0,0.0,16.0,17.1,11.0
Brandon Clarke,clarkbr01,2023,6,187.0,6.0,2022-10-29,,,UTA,"L, 123-124",,,4.0,6.0,0.667,0.0,0.0,,4.0,6.0,0.667,0.667,0.0,0.0,,2.0,1.0,3.0,1.0,1.0,1.0,2.0,4.0,8.0,5.9,-6.0
Brandon Clarke,clarkbr01,2023,7,188.0,7.0,2022-10-31,,,UTA,"L, 105-121",,,4.0,7.0,0.571,0.0,0.0,,4.0,7.0,0.571,0.571,0.0,2.0,0.0,2.0,3.0,5.0,1.0,0.0,0.0,0.0,1.0,8.0,6.5,-9.0
Brandon Clarke,clarkbr01,2023,8,189.0,8.0,2022-11-02,,,POR,"W, 111-106",,,3.0,6.0,0.5,0.0,0.0,,3.0,6.0,0.5,0.5,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,1.0,1.0,2.0,6.0,2.8,9.0
Brandon Clarke,clarkbr01,2023,9,190.0,9.0,2022-11-04,,,CHO,"W, 130-99",,,4.0,7.0,0.571,0.0,0.0,,4.0,7.0,0.571,0.571,5.0,5.0,1.0,1.0,1.0,2.0,2.0,0.0,3.0,1.0,3.0,13.0,12.0,9.0
Brandon Clarke,clarkbr01,2023,10,191.0,10.0,2022-11-06,,,WAS,"W, 103-97",,,7.0,8.0,0.875,0.0,0.0,,7.0,8.0,0.875,0.875,2.0,2.0,1.0,0.0,5.0,5.0,1.0,0.0,2.0,1.0,2.0,16.0,15.0,5.0
Brandon Clarke,clarkbr01,2023,11,192.0,11.0,2022-11-07,,,BOS,"L, 106-109",*,,5.0,8.0,0.625,0.0,2.0,0.0,5.0,6.0,0.833,0.625,0.0,0.0,,1.0,7.0,8.0,1.0,0.0,0.0,2.0,3.0,10.0,6.7,-6.0
Brandon Clarke,clarkbr01,2023,12,193.0,12.0,2022-11-09,,,SAS,"W, 124-122 (OT)",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,4.0,5.0,0.8,1.0,3.0,4.0,2.0,0.0,0.0,3.0,4.0,6.0,3.0,-4.0
Brandon Clarke,clarkbr01,2023,13,194.0,13.0,2022-11-11,,,MIN,"W, 114-103",,,6.0,6.0,1.0,0.0,0.0,,6.0,6.0,1.0,1.0,3.0,4.0,0.75,0.0,1.0,1.0,3.0,1.0,1.0,0.0,3.0,15.0,15.7,7.0
Brandon Clarke,clarkbr01,2023,14,195.0,14.0,2022-11-13,,,WAS,"L, 92-102",,,1.0,7.0,0.143,0.0,0.0,,1.0,7.0,0.143,0.143,2.0,4.0,0.5,3.0,2.0,5.0,0.0,0.0,1.0,1.0,2.0,4.0,0.3,-8.0
Brandon Clarke,clarkbr01,2023,15,196.0,15.0,2022-11-15,,,NOP,"L, 102-113",,,6.0,12.0,0.5,1.0,1.0,1.0,5.0,11.0,0.455,0.542,2.0,2.0,1.0,4.0,9.0,13.0,3.0,0.0,3.0,2.0,1.0,15.0,16.3,-12.0
Brandon Clarke,clarkbr01,2023,16,197.0,16.0,2022-11-18,,,OKC,"W, 121-110",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,0.0,5.0,5.0,0.0,1.0,1.0,0.0,1.0,2.0,3.8,-4.0
Brandon Clarke,clarkbr01,2023,17,198.0,17.0,2022-11-20,,,BRK,"L, 115-127",,,1.0,4.0,0.25,0.0,0.0,,1.0,4.0,0.25,0.25,0.0,0.0,,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,0.6,-20.0
Brandon Clarke,clarkbr01,2023,18,199.0,18.0,2022-11-22,,,SAC,"L, 109-113",,,3.0,5.0,0.6,0.0,0.0,,3.0,5.0,0.6,0.6,0.0,0.0,,1.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,6.0,6.4,-5.0
Brandon Clarke,clarkbr01,2023,19,200.0,19.0,2022-11-25,,,NOP,"W, 132-111",,,5.0,7.0,0.714,0.0,0.0,,5.0,7.0,0.714,0.714,2.0,2.0,1.0,1.0,9.0,10.0,1.0,0.0,1.0,1.0,3.0,12.0,11.7,9.0
Brandon Clarke,clarkbr01,2023,20,201.0,20.0,2022-11-27,,,NYK,"W, 127-123",,,3.0,7.0,0.429,0.0,0.0,,3.0,7.0,0.429,0.429,3.0,3.0,1.0,2.0,2.0,4.0,0.0,1.0,1.0,1.0,2.0,9.0,7.2,3.0
Brandon Clarke,clarkbr01,2023,21,202.0,21.0,2022-11-30,,,MIN,"L, 101-109",,,2.0,5.0,0.4,0.0,0.0,,2.0,5.0,0.4,0.4,0.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,4.0,4.0,-0.7,-4.0
Brandon Clarke,clarkbr01,2023,22,203.0,22.0,2022-12-02,,,PHI,"W, 117-109",,,5.0,8.0,0.625,0.0,0.0,,5.0,8.0,0.625,0.625,0.0,0.0,,2.0,2.0,4.0,0.0,1.0,1.0,0.0,1.0,10.0,9.7,9.0
Brandon Clarke,clarkbr01,2023,23,204.0,23.0,2022-12-04,,,DET,"W, 122-112",*,,6.0,9.0,0.667,0.0,0.0,,6.0,9.0,0.667,0.667,2.0,4.0,0.5,4.0,10.0,14.0,2.0,0.0,0.0,2.0,3.0,14.0,13.3,5.0
Brandon Clarke,clarkbr01,2023,24,205.0,24.0,2022-12-05,,,MIA,"W, 101-93",,,5.0,7.0,0.714,0.0,0.0,,5.0,7.0,0.714,0.714,1.0,1.0,1.0,0.0,4.0,4.0,0.0,1.0,0.0,3.0,2.0,11.0,6.5,10.0
Brandon Clarke,clarkbr01,2023,25,206.0,25.0,2022-12-07,,,OKC,"W, 123-102",,,8.0,10.0,0.8,0.0,0.0,,8.0,10.0,0.8,0.8,1.0,1.0,1.0,0.0,8.0,8.0,1.0,0.0,1.0,1.0,3.0,17.0,14.8,11.0
Brandon Clarke,clarkbr01,2023,26,207.0,26.0,2022-12-09,,,DET,"W, 114-103",,,7.0,8.0,0.875,0.0,0.0,,7.0,8.0,0.875,0.875,3.0,7.0,0.429,2.0,5.0,7.0,2.0,1.0,0.0,1.0,4.0,17.0,15.3,-4.0
Brandon Clarke,clarkbr01,2023,27,208.0,27.0,2022-12-12,,,ATL,"W, 128-103",*,,5.0,5.0,1.0,0.0,0.0,,5.0,5.0,1.0,1.0,1.0,2.0,0.5,1.0,5.0,6.0,2.0,1.0,1.0,2.0,4.0,11.0,10.8,25.0
Brandon Clarke,clarkbr01,2023,28,209.0,28.0,2022-12-15,,,MIL,"W, 142-101",,,6.0,6.0,1.0,0.0,0.0,,6.0,6.0,1.0,1.0,0.0,0.0,,1.0,5.0,6.0,0.0,0.0,0.0,0.0,2.0,12.0,11.6,25.0
Brandon Clarke,clarkbr01,2023,29,210.0,29.0,2022-12-17,,,OKC,"L, 109-115",,,3.0,4.0,0.75,0.0,0.0,,3.0,4.0,0.75,0.75,4.0,4.0,1.0,0.0,8.0,8.0,1.0,0.0,1.0,1.0,2.0,10.0,10.4,-13.0
Brandon Clarke,clarkbr01,2023,30,211.0,30.0,2022-12-20,,,DEN,"L, 91-105",,,4.0,7.0,0.571,0.0,0.0,,4.0,7.0,0.571,0.571,2.0,3.0,0.667,2.0,3.0,5.0,0.0,0.0,1.0,0.0,3.0,10.0,8.1,-10.0
Brandon Clarke,clarkbr01,2023,31,212.0,31.0,2022-12-23,,,PHO,"W, 125-100",,,7.0,10.0,0.7,0.0,0.0,,7.0,10.0,0.7,0.7,10.0,10.0,1.0,5.0,5.0,10.0,0.0,2.0,0.0,1.0,1.0,24.0,25.4,12.0
Brandon Clarke,clarkbr01,2023,32,213.0,32.0,2022-12-25,,,GSW,"L, 109-123",,,4.0,5.0,0.8,0.0,0.0,,4.0,5.0,0.8,0.8,1.0,2.0,0.5,1.0,6.0,7.0,1.0,1.0,0.0,0.0,1.0,9.0,10.5,-16.0
Brandon Clarke,clarkbr01,2023,33,214.0,33.0,2022-12-27,,,PHO,"L, 108-125",,,3.0,6.0,0.5,0.0,0.0,,3.0,6.0,0.5,0.5,2.0,2.0,1.0,4.0,4.0,8.0,3.0,2.0,0.0,2.0,3.0,8.0,9.9,-11.0
Brandon Clarke,clarkbr01,2023,34,215.0,34.0,2022-12-29,,,TOR,"W, 119-106",,,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,0.0,0.0,,1.0,5.0,6.0,0.0,0.0,0.0,2.0,2.0,4.0,2.8,-4.0
Brandon Clarke,clarkbr01,2023,35,216.0,35.0,2022-12-31,,,NOP,"W, 116-101",,,4.0,7.0,0.571,0.0,0.0,,4.0,7.0,0.571,0.571,4.0,4.0,1.0,3.0,2.0,5.0,0.0,1.0,1.0,0.0,5.0,12.0,11.1,16.0
Brandon Clarke,clarkbr01,2023,36,217.0,42.0,2023-01-14,,,IND,"W, 130-112",,,4.0,4.0,1.0,0.0,0.0,,4.0,4.0,1.0,1.0,3.0,4.0,0.75,0.0,2.0,2.0,2.0,3.0,0.0,1.0,2.0,11.0,12.6,18.0
Brandon Clarke,clarkbr01,2023,37,218.0,43.0,2023-01-16,,,PHO,"W, 136-106",,,6.0,8.0,0.75,0.0,0.0,,6.0,8.0,0.75,0.75,1.0,3.0,0.333,2.0,4.0,6.0,1.0,0.0,0.0,0.0,2.0,13.0,11.5,14.0
Brandon Clarke,clarkbr01,2023,38,219.0,44.0,2023-01-18,,,CLE,"W, 115-114",,,3.0,7.0,0.429,0.0,0.0,,3.0,7.0,0.429,0.429,1.0,1.0,1.0,4.0,3.0,7.0,1.0,3.0,1.0,0.0,3.0,7.0,10.2,9.0
Brandon Clarke,clarkbr01,2023,39,220.0,45.0,2023-01-20,,,LAL,"L, 121-122",,,7.0,7.0,1.0,0.0,0.0,,7.0,7.0,1.0,1.0,6.0,10.0,0.6,5.0,5.0,10.0,0.0,1.0,2.0,1.0,4.0,20.0,21.1,3.0
Brandon Clarke,clarkbr01,2023,40,221.0,46.0,2023-01-22,,,PHO,"L, 110-112",,,2.0,4.0,0.5,0.0,0.0,,2.0,4.0,0.5,0.5,0.0,2.0,0.0,2.0,4.0,6.0,2.0,0.0,1.0,1.0,0.0,4.0,4.9,-3.0
Brandon Clarke,clarkbr01,2023,41,222.0,47.0,2023-01-23,,,SAC,"L, 100-133",,,3.0,5.0,0.6,0.0,0.0,,3.0,5.0,0.6,0.6,0.0,0.0,,1.0,1.0,2.0,0.0,1.0,0.0,3.0,4.0,6.0,1.1,-8.0
Brandon Clarke,clarkbr01,2023,42,223.0,48.0,2023-01-25,,,GSW,"L, 120-122",*,,8.0,10.0,0.8,0.0,0.0,,8.0,10.0,0.8,0.8,3.0,4.0,0.75,1.0,7.0,8.0,2.0,1.0,0.0,1.0,4.0,19.0,17.4,-5.0
Brandon Clarke,clarkbr01,2023,43,224.0,49.0,2023-01-27,,,MIN,"L, 100-111",*,,5.0,9.0,0.556,0.0,0.0,,5.0,9.0,0.556,0.556,5.0,5.0,1.0,3.0,4.0,7.0,3.0,3.0,0.0,2.0,2.0,15.0,16.3,-3.0
Brandon Clarke,clarkbr01,2023,44,225.0,50.0,2023-01-29,,,IND,"W, 112-100",*,,5.0,5.0,1.0,0.0,0.0,,5.0,5.0,1.0,1.0,3.0,5.0,0.6,0.0,2.0,2.0,2.0,1.0,2.0,1.0,5.0,13.0,12.1,2.0
Brandon Clarke,clarkbr01,2023,45,226.0,51.0,2023-02-01,,,POR,"L, 112-122",,,3.0,6.0,0.5,0.0,0.0,,3.0,6.0,0.5,0.5,2.0,2.0,1.0,5.0,2.0,7.0,2.0,0.0,0.0,0.0,3.0,8.0,9.3,-19.0
Brandon Clarke,clarkbr01,2023,46,227.0,52.0,2023-02-02,,,CLE,"L, 113-128",,,5.0,7.0,0.714,0.0,0.0,,5.0,7.0,0.714,0.714,0.0,0.0,,2.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,10.0,8.1,-28.0
Brandon Clarke,clarkbr01,2023,47,228.0,53.0,2023-02-05,,,TOR,"L, 103-106",,,2.0,5.0,0.4,0.0,0.0,,2.0,5.0,0.4,0.4,2.0,2.0,1.0,0.0,5.0,5.0,3.0,0.0,0.0,0.0,2.0,6.0,6.1,-3.0
Brandon Clarke,clarkbr01,2023,48,229.0,54.0,2023-02-07,,,CHI,"W, 104-89",,,5.0,9.0,0.556,0.0,0.0,,5.0,9.0,0.556,0.556,3.0,3.0,1.0,2.0,11.0,13.0,0.0,0.0,0.0,1.0,0.0,13.0,12.4,16.0
Brandon Clarke,clarkbr01,2023,49,230.0,55.0,2023-02-10,,,MIN,"W, 128-107",,,6.0,7.0,0.857,0.0,0.0,,6.0,7.0,0.857,0.857,2.0,3.0,0.667,2.0,2.0,4.0,4.0,1.0,0.0,2.0,2.0,14.0,14.1,9.0
Brandon Clarke,clarkbr01,2023,50,231.0,56.0,2023-02-12,,,BOS,"L, 109-119",,,7.0,8.0,0.875,0.0,0.0,,7.0,8.0,0.875,0.875,0.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,14.0,10.2,-12.0
Brandon Clarke,clarkbr01,2023,51,232.0,57.0,2023-02-15,,,UTA,"W, 117-111",*,,4.0,8.0,0.5,0.0,0.0,,4.0,8.0,0.5,0.5,0.0,0.0,,5.0,5.0,10.0,3.0,3.0,3.0,0.0,3.0,8.0,15.0,-5.0
Brandon Clarke,clarkbr01,2023,52,233.0,58.0,2023-02-23,,,PHI,"L, 105-110",*,,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,0.333,0.333,0.0,0.0,,1.0,2.0,3.0,3.0,0.0,1.0,0.0,4.0,2.0,2.8,-3.0
Brandon Clarke,clarkbr01,2023,53,234.0,59.0,2023-02-25,,,DEN,"W, 112-94",,,4.0,6.0,0.667,0.0,0.0,,4.0,6.0,0.667,0.667,0.0,0.0,,3.0,6.0,9.0,1.0,0.0,0.0,2.0,0.0,8.0,8.0,3.0
Brandon Clarke,clarkbr01,2023,54,235.0,60.0,2023-02-28,,,LAL,"W, 121-109",,,3.0,4.0,0.75,0.0,0.0,,3.0,4.0,0.75,0.75,0.0,0.0,,1.0,4.0,5.0,2.0,0.0,0.0,0.0,1.0,6.0,7.3,2.0
Brandon Clarke,clarkbr01,2023,55,236.0,61.0,2023-03-01,,,HOU,"W, 113-99",,,2.0,5.0,0.4,0.0,0.0,,2.0,5.0,0.4,0.4,2.0,2.0,1.0,3.0,4.0,7.0,2.0,1.0,0.0,0.0,4.0,6.0,7.4,9.0
Brandon Clarke,clarkbr01,2023,56,237.0,62.0,2023-03-03,,,DEN,"L, 97-113",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,2.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.0
