player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Amir Coffey,coffeam01,2023,1,132.0,2.0,2022-10-22,,,SAC,"W, 111-109",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.6,0.0
Amir Coffey,coffeam01,2023,2,133.0,3.0,2022-10-23,,,PHO,"L, 95-112",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-2.0
Amir Coffey,coffeam01,2023,3,134.0,4.0,2022-10-25,,,OKC,"L, 94-108",,,1.0,5.0,0.2,0.0,1.0,0.0,1.0,4.0,0.25,0.2,6.0,6.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,2.0,8.0,6.8,13.0
Amir Coffey,coffeam01,2023,4,135.0,5.0,2022-10-27,,,OKC,"L, 110-118",,,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.5,9.0
Amir Coffey,coffeam01,2023,5,136.0,6.0,2022-10-30,,,NOP,"L, 91-112",,,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,4.0,4.1,-2.0
Amir Coffey,coffeam01,2023,6,137.0,7.0,2022-10-31,,,HOU,"W, 95-93",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,3.0,4.0,0.75,2.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,2.8,-8.0
Amir Coffey,coffeam01,2023,7,138.0,8.0,2022-11-02,,,HOU,"W, 109-101",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-11.0
Amir Coffey,coffeam01,2023,8,139.0,9.0,2022-11-04,,,SAS,"W, 113-106",,,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.75,3.0,4.0,0.75,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,6.0,6.2,-4.0
Amir Coffey,coffeam01,2023,9,140.0,10.0,2022-11-06,,,UTA,"L, 102-110",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Amir Coffey,coffeam01,2023,10,141.0,12.0,2022-11-09,,,LAL,"W, 114-101",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Amir Coffey,coffeam01,2023,11,142.0,13.0,2022-11-12,,,BRK,"L, 95-110",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
Amir Coffey,coffeam01,2023,12,143.0,14.0,2022-11-14,,,HOU,"W, 122-106",,,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,-0.7,8.0
Amir Coffey,coffeam01,2023,13,144.0,15.0,2022-11-15,,,DAL,"L, 101-103",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,2.0,-0.3,0.0
Amir Coffey,coffeam01,2023,14,145.0,17.0,2022-11-19,,,SAS,"W, 119-97",,,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,0.333,0.333,1.0,2.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.2,-5.0
Amir Coffey,coffeam01,2023,15,146.0,18.0,2022-11-21,,,UTA,"W, 121-114",,,3.0,7.0,0.429,0.0,1.0,0.0,3.0,6.0,0.5,0.429,2.0,2.0,1.0,3.0,2.0,5.0,0.0,1.0,0.0,0.0,2.0,8.0,7.2,14.0
Amir Coffey,coffeam01,2023,16,147.0,19.0,2022-11-23,,,GSW,"L, 107-124",*,,5.0,7.0,0.714,0.0,1.0,0.0,5.0,6.0,0.833,0.714,3.0,4.0,0.75,1.0,2.0,3.0,7.0,0.0,0.0,2.0,2.0,13.0,13.1,-5.0
Amir Coffey,coffeam01,2023,17,148.0,20.0,2022-11-25,,,DEN,"L, 104-114",*,,3.0,6.0,0.5,2.0,4.0,0.5,1.0,2.0,0.5,0.667,1.0,2.0,0.5,1.0,1.0,2.0,3.0,0.0,0.0,1.0,2.0,9.0,6.9,-7.0
Amir Coffey,coffeam01,2023,18,149.0,21.0,2022-11-27,,,IND,"W, 114-100",*,,3.0,8.0,0.375,0.0,2.0,0.0,3.0,6.0,0.5,0.375,2.0,2.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,1.0,8.0,6.7,7.0
Amir Coffey,coffeam01,2023,19,150.0,22.0,2022-11-29,,,POR,"W, 118-112",*,,2.0,7.0,0.286,0.0,2.0,0.0,2.0,5.0,0.4,0.286,3.0,4.0,0.75,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,7.0,2.8,-13.0
Amir Coffey,coffeam01,2023,20,151.0,23.0,2022-11-30,,,UTA,"L, 112-125",*,,1.0,4.0,0.25,1.0,3.0,0.333,0.0,1.0,0.0,0.375,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,5.0,2.5,-16.0
Amir Coffey,coffeam01,2023,21,152.0,24.0,2022-12-03,,,SAC,"L, 96-123",*,,1.0,5.0,0.2,0.0,1.0,0.0,1.0,4.0,0.25,0.2,1.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,4.0,3.0,-0.4,-20.0
Amir Coffey,coffeam01,2023,22,153.0,26.0,2022-12-07,,,ORL,"L, 111-116 (OT)",,,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,1.0,2.0,0.5,0.0,2.0,2.0,3.0,0.0,0.0,0.0,2.0,3.0,2.8,-25.0
Amir Coffey,coffeam01,2023,23,154.0,29.0,2022-12-12,,,BOS,"W, 113-93",,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.4,-1.0
Amir Coffey,coffeam01,2023,24,155.0,30.0,2022-12-14,,,MIN,"W, 99-88",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-5.0
Amir Coffey,coffeam01,2023,25,156.0,31.0,2022-12-15,,,PHO,"L, 95-111",*,,4.0,9.0,0.444,3.0,4.0,0.75,1.0,5.0,0.2,0.611,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,11.0,5.1,-11.0
