player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Terence Davis,daviste02,2023,1,164.0,1.0,2022-10-19,,,POR,"L, 108-115",,,4.0,9.0,0.444,2.0,5.0,0.4,2.0,4.0,0.5,0.556,4.0,4.0,1.0,1.0,4.0,5.0,1.0,2.0,1.0,0.0,3.0,14.0,13.4,-8.0
Terence Davis,daviste02,2023,2,165.0,2.0,2022-10-22,,,LAC,"L, 109-111",,,3.0,5.0,0.6,2.0,4.0,0.5,1.0,1.0,1.0,0.8,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,8.0,6.0,1.0
Terence Davis,daviste02,2023,3,166.0,3.0,2022-10-23,,,GSW,"L, 125-130",,,3.0,6.0,0.5,0.0,2.0,0.0,3.0,4.0,0.75,0.5,1.0,2.0,0.5,1.0,1.0,2.0,0.0,1.0,0.0,0.0,6.0,7.0,3.2,-3.0
Terence Davis,daviste02,2023,4,167.0,4.0,2022-10-27,,,MEM,"L, 110-125",,,1.0,5.0,0.2,1.0,4.0,0.25,0.0,1.0,0.0,0.3,0.0,0.0,,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,3.0,0.8,-14.0
Terence Davis,daviste02,2023,5,168.0,5.0,2022-10-29,,,MIA,"W, 119-113",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-4.0
Terence Davis,daviste02,2023,6,169.0,6.0,2022-10-31,,,CHO,"W, 115-108",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,3.0,2.6,-1.0
Terence Davis,daviste02,2023,7,170.0,7.0,2022-11-02,,,MIA,"L, 107-110",,,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,4.0,4.0,1.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,2.0,4.0,3.4,-2.0
Terence Davis,daviste02,2023,8,171.0,8.0,2022-11-05,,,ORL,"W, 126-123 (OT)",,,2.0,5.0,0.4,1.0,3.0,0.333,1.0,2.0,0.5,0.5,0.0,0.0,,0.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,5.0,6.0,6.0
Terence Davis,daviste02,2023,9,172.0,9.0,2022-11-07,,,GSW,"L, 113-116",,,3.0,8.0,0.375,3.0,7.0,0.429,0.0,1.0,0.0,0.563,0.0,0.0,,1.0,4.0,5.0,1.0,1.0,0.0,1.0,2.0,9.0,6.4,-1.0
Terence Davis,daviste02,2023,10,173.0,11.0,2022-11-11,,,LAL,"W, 120-114",,,4.0,6.0,0.667,2.0,4.0,0.5,2.0,2.0,1.0,0.833,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,12.0,10.7,-2.0
Terence Davis,daviste02,2023,11,174.0,12.0,2022-11-13,,,GSW,"W, 122-115",,,2.0,4.0,0.5,1.0,3.0,0.333,1.0,1.0,1.0,0.625,0.0,0.0,,1.0,5.0,6.0,2.0,0.0,0.0,1.0,1.0,5.0,5.2,14.0
Terence Davis,daviste02,2023,12,175.0,13.0,2022-11-15,,,BRK,"W, 153-121",,,12.0,16.0,0.75,7.0,10.0,0.7,5.0,6.0,0.833,0.969,0.0,0.0,,0.0,9.0,9.0,4.0,3.0,1.0,0.0,3.0,31.0,32.6,35.0
Terence Davis,daviste02,2023,13,176.0,14.0,2022-11-17,,,SAS,"W, 130-112",*,,2.0,7.0,0.286,1.0,3.0,0.333,1.0,4.0,0.25,0.357,0.0,0.0,,1.0,2.0,3.0,3.0,1.0,0.0,3.0,2.0,5.0,1.5,3.0
