player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Ousmane Dieng,diengou01,2023,1,1.0,1.0,2022-10-19,,,MIN,"L, 108-115",,,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8,-14.0
Ousmane Dieng,diengou01,2023,2,2.0,2.0,2022-10-22,,,DEN,"L, 117-122",,,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,1.0
Ousmane Dieng,diengou01,2023,3,3.0,3.0,2022-10-23,,,MIN,"L, 106-116",,,2.0,6.0,0.333,1.0,3.0,0.333,1.0,3.0,0.333,0.417,0.0,0.0,,1.0,5.0,6.0,3.0,1.0,2.0,1.0,2.0,5.0,6.5,15.0
Ousmane Dieng,diengou01,2023,4,4.0,4.0,2022-10-25,,,LAC,"W, 108-94",,,1.0,4.0,0.25,0.0,3.0,0.0,1.0,1.0,1.0,0.25,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.6,-9.0
Ousmane Dieng,diengou01,2023,5,5.0,5.0,2022-10-27,,,LAC,"W, 118-110",,,1.0,3.0,0.333,0.0,2.0,0.0,1.0,1.0,1.0,0.333,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.6,-10.0
Ousmane Dieng,diengou01,2023,6,6.0,7.0,2022-11-01,,,ORL,"W, 116-108",,,3.0,4.0,0.75,2.0,3.0,0.667,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,4.0,4.0,2.0,0.0,0.0,1.0,1.0,8.0,7.6,12.0
Ousmane Dieng,diengou01,2023,7,7.0,8.0,2022-11-03,,,DEN,"L, 110-122",,,1.0,3.0,0.333,0.0,2.0,0.0,1.0,1.0,1.0,0.333,1.0,2.0,0.5,1.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,3.0,1.5,0.0
Ousmane Dieng,diengou01,2023,8,8.0,9.0,2022-11-05,,,MIL,"L, 94-108",,,3.0,4.0,0.75,2.0,3.0,0.667,1.0,1.0,1.0,1.0,0.0,0.0,,1.0,3.0,4.0,5.0,0.0,0.0,0.0,0.0,8.0,11.5,11.0
Ousmane Dieng,diengou01,2023,9,9.0,10.0,2022-11-07,,,DET,"L, 103-112",,,1.0,7.0,0.143,0.0,4.0,0.0,1.0,3.0,0.333,0.143,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,-0.8,8.0
Ousmane Dieng,diengou01,2023,10,10.0,20.0,2022-11-26,,,HOU,"L, 105-118",,,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,-1.1,-6.0
