player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Jalen Duren,durenja01,2023,1,1.0,1.0,2022-10-19,,,ORL,"W, 113-109",,,7.0,13.0,0.538,0.0,0.0,,7.0,13.0,0.538,0.538,0.0,4.0,0.0,5.0,5.0,10.0,1.0,0.0,3.0,3.0,0.0,14.0,10.9,7.0
Jalen Duren,durenja01,2023,2,2.0,2.0,2022-10-21,,,NYK,"L, 106-130",,,4.0,8.0,0.5,0.0,1.0,0.0,4.0,7.0,0.571,0.5,0.0,1.0,0.0,3.0,7.0,10.0,0.0,1.0,0.0,1.0,4.0,8.0,6.2,-12.0
Jalen Duren,durenja01,2023,3,3.0,3.0,2022-10-22,,,IND,"L, 115-124",,,3.0,3.0,1.0,0.0,0.0,,3.0,3.0,1.0,1.0,0.0,0.0,,2.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,6.0,8.2,-8.0
Jalen Duren,durenja01,2023,4,4.0,4.0,2022-10-25,,,WAS,"L, 99-120",,,3.0,6.0,0.5,0.0,0.0,,3.0,6.0,0.5,0.5,0.0,1.0,0.0,4.0,4.0,8.0,0.0,0.0,0.0,0.0,2.0,6.0,5.8,-9.0
Jalen Duren,durenja01,2023,5,5.0,5.0,2022-10-26,,,ATL,"L, 113-118",,,3.0,4.0,0.75,0.0,0.0,,3.0,4.0,0.75,0.75,1.0,2.0,0.5,3.0,6.0,9.0,0.0,0.0,1.0,1.0,2.0,7.0,7.8,-2.0
Jalen Duren,durenja01,2023,6,6.0,6.0,2022-10-28,,,ATL,"L, 112-136",,,2.0,4.0,0.5,0.0,0.0,,2.0,4.0,0.5,0.5,4.0,6.0,0.667,2.0,1.0,3.0,0.0,0.0,2.0,3.0,4.0,8.0,3.7,-19.0
Jalen Duren,durenja01,2023,7,7.0,7.0,2022-10-30,,,GSW,"W, 128-114",,,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,0.333,0.333,1.0,2.0,0.5,3.0,1.0,4.0,0.0,0.0,1.0,1.0,2.0,3.0,2.2,2.0
Jalen Duren,durenja01,2023,8,8.0,11.0,2022-11-07,,,OKC,"W, 112-103",,,2.0,5.0,0.4,0.0,0.0,,2.0,5.0,0.4,0.4,3.0,6.0,0.5,2.0,2.0,4.0,0.0,0.0,3.0,1.0,3.0,7.0,5.0,-11.0
Jalen Duren,durenja01,2023,9,9.0,12.0,2022-11-09,,,BOS,"L, 112-128",,,5.0,8.0,0.625,0.0,0.0,,5.0,8.0,0.625,0.625,0.0,0.0,,5.0,5.0,10.0,2.0,1.0,1.0,0.0,1.0,10.0,14.1,-10.0
Jalen Duren,durenja01,2023,10,10.0,13.0,2022-11-11,,,NYK,"L, 112-121",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,4.0,0.25,2.0,6.0,8.0,0.0,0.0,1.0,1.0,1.0,1.0,1.6,-3.0
