player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Keon Ellis,elliske01,2023,1,1.0,14.0,2022-11-17,,,SAS,"W, 130-112",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,0.0
Keon Ellis,elliske01,2023,2,2.0,23.0,2022-12-07,,,MIL,"L, 113-126",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,2.0
Keon Ellis,elliske01,2023,3,3.0,26.0,2022-12-13,,,PHI,"L, 103-123",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.1,6.0
Keon Ellis,elliske01,2023,4,4.0,40.0,2023-01-11,,,HOU,"W, 135-115",,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.7,3.0
Keon Ellis,elliske01,2023,5,5.0,41.0,2023-01-13,,,HOU,"W, 139-114",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keon Ellis,elliske01,2023,6,6.0,52.0,2023-02-05,,,NOP,"L, 104-136",,,3.0,5.0,0.6,2.0,3.0,0.667,1.0,2.0,0.5,0.8,2.0,3.0,0.667,3.0,1.0,4.0,2.0,2.0,1.0,0.0,2.0,10.0,13.0,0.0
Keon Ellis,elliske01,2023,7,7.0,53.0,2023-02-06,,,HOU,"W, 140-120",,,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,5.7,2.0
Keon Ellis,elliske01,2023,8,8.0,55.0,2023-02-10,,,DAL,"L, 114-122",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,-11.0
Keon Ellis,elliske01,2023,9,9.0,57.0,2023-02-14,,,PHO,"L, 109-120",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-2.1,0.0
Keon Ellis,elliske01,2023,10,10.0,64.0,2023-03-06,,,NOP,"W, 123-108",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Keon Ellis,elliske01,2023,11,11.0,70.0,2023-03-18,,,WAS,"W, 132-118",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,-8.0
Keon Ellis,elliske01,2023,12,12.0,71.0,2023-03-20,,,UTA,"L, 120-128",,,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.75,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,-3.0
Keon Ellis,elliske01,2023,13,13.0,72.0,2023-03-21,,,BOS,"L, 109-132",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,-0.1,-2.0
Keon Ellis,elliske01,2023,14,14.0,79.0,2023-04-04,,,NOP,"W, 121-103",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,-3.0
Keon Ellis,elliske01,2023,15,15.0,81.0,2023-04-07,,,GSW,"L, 97-119",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0,2.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.6,2.0
Keon Ellis,elliske01,2023,16,16.0,82.0,2023-04-09,,,DEN,"L, 95-109",,,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.8,-6.0
