player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Dorian Finney-Smith,finnedo01,2023,1,395.0,1.0,2022-10-19,,,PHO,"L, 105-107",*,,2.0,4.0,0.5,1.0,2.0,0.5,1.0,2.0,0.5,0.625,0.0,0.0,,0.0,3.0,3.0,0.0,2.0,0.0,0.0,4.0,5.0,4.3,-10.0
Dorian Finney-Smith,finnedo01,2023,2,396.0,2.0,2022-10-22,,,MEM,"W, 137-96",*,,3.0,6.0,0.5,1.0,4.0,0.25,2.0,2.0,1.0,0.583,0.0,1.0,0.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0,7.0,6.9,28.0
Dorian Finney-Smith,finnedo01,2023,3,397.0,3.0,2022-10-25,,,NOP,"L, 111-113",*,,2.0,5.0,0.4,0.0,2.0,0.0,2.0,3.0,0.667,0.4,0.0,0.0,,2.0,2.0,4.0,2.0,0.0,1.0,1.0,2.0,4.0,3.6,-4.0
Dorian Finney-Smith,finnedo01,2023,4,398.0,4.0,2022-10-27,,,BRK,"W, 129-125 (OT)",*,,2.0,7.0,0.286,1.0,6.0,0.167,1.0,1.0,1.0,0.357,1.0,2.0,0.5,1.0,2.0,3.0,1.0,0.0,0.0,1.0,4.0,6.0,0.9,0.0
Dorian Finney-Smith,finnedo01,2023,5,399.0,5.0,2022-10-29,,,OKC,"L, 111-117 (OT)",*,,5.0,15.0,0.333,3.0,9.0,0.333,2.0,6.0,0.333,0.433,0.0,0.0,,4.0,1.0,5.0,1.0,0.0,2.0,1.0,4.0,13.0,7.1,-7.0
Dorian Finney-Smith,finnedo01,2023,6,400.0,6.0,2022-10-30,,,ORL,"W, 114-105",*,,5.0,7.0,0.714,3.0,5.0,0.6,2.0,2.0,1.0,0.929,0.0,0.0,,1.0,7.0,8.0,0.0,2.0,0.0,0.0,3.0,13.0,13.7,-1.0
Dorian Finney-Smith,finnedo01,2023,7,401.0,7.0,2022-11-02,,,UTA,"W, 103-100",*,,2.0,6.0,0.333,0.0,3.0,0.0,2.0,3.0,0.667,0.333,0.0,0.0,,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,4.0,2.9,0.0
Dorian Finney-Smith,finnedo01,2023,8,402.0,8.0,2022-11-04,,,TOR,"W, 111-110",*,,4.0,7.0,0.571,2.0,5.0,0.4,2.0,2.0,1.0,0.714,1.0,2.0,0.5,2.0,2.0,4.0,0.0,1.0,0.0,3.0,1.0,11.0,6.9,-2.0
Dorian Finney-Smith,finnedo01,2023,9,403.0,9.0,2022-11-07,,,BRK,"W, 96-94",*,,5.0,9.0,0.556,2.0,5.0,0.4,3.0,4.0,0.75,0.667,6.0,6.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,4.0,1.0,18.0,12.3,-7.0
Dorian Finney-Smith,finnedo01,2023,10,404.0,10.0,2022-11-09,,,ORL,"L, 87-94",*,,3.0,6.0,0.5,2.0,5.0,0.4,1.0,1.0,1.0,0.667,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,8.0,6.7,-4.0
Dorian Finney-Smith,finnedo01,2023,11,405.0,11.0,2022-11-10,,,WAS,"L, 105-113",*,,2.0,6.0,0.333,1.0,3.0,0.333,1.0,3.0,0.333,0.417,0.0,0.0,,0.0,5.0,5.0,1.0,1.0,0.0,2.0,3.0,5.0,1.6,4.0
Dorian Finney-Smith,finnedo01,2023,12,406.0,12.0,2022-11-12,,,POR,"W, 117-112",*,,2.0,7.0,0.286,2.0,6.0,0.333,0.0,1.0,0.0,0.429,0.0,0.0,,0.0,5.0,5.0,1.0,0.0,0.0,1.0,2.0,6.0,2.3,-4.0
Dorian Finney-Smith,finnedo01,2023,13,407.0,13.0,2022-11-15,,,LAC,"W, 103-101",*,,7.0,15.0,0.467,7.0,13.0,0.538,0.0,2.0,0.0,0.7,0.0,0.0,,1.0,2.0,3.0,0.0,3.0,0.0,0.0,2.0,21.0,16.8,4.0
Dorian Finney-Smith,finnedo01,2023,14,408.0,14.0,2022-11-16,,,HOU,"L, 92-101",*,,3.0,11.0,0.273,1.0,8.0,0.125,2.0,3.0,0.667,0.318,0.0,0.0,,2.0,6.0,8.0,0.0,0.0,1.0,0.0,2.0,7.0,3.6,-4.0
Dorian Finney-Smith,finnedo01,2023,15,409.0,15.0,2022-11-18,,,DEN,"W, 127-99",*,,2.0,6.0,0.333,1.0,4.0,0.25,1.0,2.0,0.5,0.417,1.0,2.0,0.5,2.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0,6.0,6.6,16.0
Dorian Finney-Smith,finnedo01,2023,16,410.0,16.0,2022-11-20,,,DEN,"L, 97-98",*,,1.0,5.0,0.2,1.0,4.0,0.25,0.0,1.0,0.0,0.3,0.0,0.0,,0.0,3.0,3.0,1.0,1.0,1.0,0.0,1.0,3.0,2.8,-3.0
Dorian Finney-Smith,finnedo01,2023,17,411.0,17.0,2022-11-23,,,BOS,"L, 112-125",*,,4.0,9.0,0.444,2.0,5.0,0.4,2.0,4.0,0.5,0.556,0.0,0.0,,0.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,10.0,6.1,-15.0
Dorian Finney-Smith,finnedo01,2023,18,412.0,18.0,2022-11-26,,,TOR,"L, 100-105",*,,5.0,12.0,0.417,3.0,9.0,0.333,2.0,3.0,0.667,0.542,3.0,3.0,1.0,1.0,3.0,4.0,2.0,2.0,1.0,2.0,0.0,16.0,13.3,8.0
Dorian Finney-Smith,finnedo01,2023,19,413.0,19.0,2022-11-27,,,MIL,"L, 115-124",*,,5.0,9.0,0.556,2.0,6.0,0.333,3.0,3.0,1.0,0.667,1.0,1.0,1.0,4.0,0.0,4.0,3.0,3.0,0.0,0.0,2.0,13.0,15.8,-15.0
Dorian Finney-Smith,finnedo01,2023,20,414.0,20.0,2022-11-29,,,GSW,"W, 116-113",*,,2.0,6.0,0.333,1.0,4.0,0.25,1.0,2.0,0.5,0.417,1.0,2.0,0.5,3.0,6.0,9.0,2.0,0.0,0.0,0.0,1.0,6.0,7.1,12.0
Dorian Finney-Smith,finnedo01,2023,21,415.0,21.0,2022-12-01,,,DET,"L, 125-131 (OT)",*,,2.0,5.0,0.4,2.0,4.0,0.5,0.0,1.0,0.0,0.6,0.0,0.0,,0.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,6.0,4.5,-9.0
Dorian Finney-Smith,finnedo01,2023,22,416.0,22.0,2022-12-03,,,NYK,"W, 121-100",*,,1.0,8.0,0.125,1.0,7.0,0.143,0.0,1.0,0.0,0.188,0.0,0.0,,2.0,3.0,5.0,1.0,0.0,0.0,1.0,1.0,3.0,-0.6,31.0
Dorian Finney-Smith,finnedo01,2023,23,417.0,23.0,2022-12-05,,,PHO,"W, 130-111",*,,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,,0.5,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,1.5,7.0
Dorian Finney-Smith,finnedo01,2023,24,418.0,24.0,2022-12-06,,,DEN,"W, 116-115",*,,7.0,13.0,0.538,5.0,10.0,0.5,2.0,3.0,0.667,0.731,0.0,0.0,,0.0,1.0,1.0,3.0,3.0,0.0,2.0,6.0,19.0,13.7,-4.0
Dorian Finney-Smith,finnedo01,2023,25,419.0,25.0,2022-12-09,,,MIL,"L, 105-106",*,,2.0,6.0,0.333,1.0,5.0,0.2,1.0,1.0,1.0,0.417,0.0,2.0,0.0,4.0,4.0,8.0,1.0,3.0,2.0,0.0,1.0,5.0,9.5,0.0
Dorian Finney-Smith,finnedo01,2023,26,420.0,26.0,2022-12-10,,,CHI,"L, 115-144",*,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,-2.7,-13.0
Dorian Finney-Smith,finnedo01,2023,27,421.0,27.0,2022-12-12,,,OKC,"W, 121-114",*,,3.0,9.0,0.333,3.0,8.0,0.375,0.0,1.0,0.0,0.5,0.0,0.0,,5.0,0.0,5.0,3.0,1.0,0.0,0.0,0.0,9.0,10.5,10.0
Dorian Finney-Smith,finnedo01,2023,28,422.0,28.0,2022-12-14,,,CLE,"L, 90-105",*,,2.0,8.0,0.25,2.0,7.0,0.286,0.0,1.0,0.0,0.375,1.0,2.0,0.5,1.0,3.0,4.0,0.0,0.0,1.0,0.0,1.0,7.0,3.7,-17.0
Dorian Finney-Smith,finnedo01,2023,29,423.0,29.0,2022-12-16,,,POR,"W, 130-110",*,,2.0,6.0,0.333,2.0,6.0,0.333,0.0,0.0,,0.5,0.0,0.0,,0.0,3.0,3.0,2.0,0.0,1.0,2.0,2.0,6.0,2.8,15.0
Dorian Finney-Smith,finnedo01,2023,30,424.0,30.0,2022-12-17,,,CLE,"L, 99-100 (OT)",*,,4.0,8.0,0.5,3.0,5.0,0.6,1.0,3.0,0.333,0.688,0.0,0.0,,1.0,3.0,4.0,2.0,0.0,1.0,1.0,6.0,11.0,7.3,0.0
Dorian Finney-Smith,finnedo01,2023,31,425.0,31.0,2022-12-19,,,MIN,"L, 106-116",*,,3.0,6.0,0.5,2.0,3.0,0.667,1.0,3.0,0.333,0.667,1.0,2.0,0.5,4.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,9.0,9.7,-18.0
Dorian Finney-Smith,finnedo01,2023,32,426.0,46.0,2023-01-18,,,ATL,"L, 122-130",*,,3.0,9.0,0.333,1.0,6.0,0.167,2.0,3.0,0.667,0.389,2.0,2.0,1.0,6.0,3.0,9.0,3.0,0.0,0.0,1.0,1.0,9.0,9.7,-1.0
Dorian Finney-Smith,finnedo01,2023,33,427.0,47.0,2023-01-20,,,MIA,"W, 115-90",*,,3.0,5.0,0.6,2.0,3.0,0.667,1.0,2.0,0.5,0.8,2.0,2.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,5.0,10.0,9.1,23.0
Dorian Finney-Smith,finnedo01,2023,34,428.0,48.0,2023-01-22,,,LAC,"L, 98-112",*,,3.0,8.0,0.375,2.0,6.0,0.333,1.0,2.0,0.5,0.5,0.0,0.0,,1.0,3.0,4.0,0.0,1.0,1.0,1.0,1.0,8.0,5.5,-21.0
Dorian Finney-Smith,finnedo01,2023,35,429.0,49.0,2023-01-24,,,WAS,"L, 126-127",*,,4.0,7.0,0.571,2.0,4.0,0.5,2.0,3.0,0.667,0.714,2.0,2.0,1.0,1.0,4.0,5.0,2.0,1.0,0.0,0.0,4.0,12.0,11.4,-11.0
Dorian Finney-Smith,finnedo01,2023,36,430.0,50.0,2023-01-26,,,PHO,"W, 99-95",*,,7.0,16.0,0.438,3.0,10.0,0.3,4.0,6.0,0.667,0.531,1.0,1.0,1.0,3.0,9.0,12.0,3.0,1.0,0.0,1.0,2.0,18.0,15.7,16.0
Dorian Finney-Smith,finnedo01,2023,37,431.0,51.0,2023-01-28,,,UTA,"L, 100-108",*,,4.0,9.0,0.444,3.0,7.0,0.429,1.0,2.0,0.5,0.611,0.0,0.0,,3.0,6.0,9.0,4.0,2.0,1.0,2.0,1.0,11.0,13.3,1.0
Dorian Finney-Smith,finnedo01,2023,38,432.0,52.0,2023-01-30,,,DET,"W, 111-105",*,,2.0,5.0,0.4,0.0,1.0,0.0,2.0,4.0,0.5,0.4,2.0,2.0,1.0,2.0,5.0,7.0,2.0,0.0,0.0,0.0,2.0,6.0,6.8,7.0
Dorian Finney-Smith,finnedo01,2023,39,433.0,53.0,2023-02-02,,,NOP,"W, 111-106",*,,5.0,8.0,0.625,3.0,5.0,0.6,2.0,3.0,0.667,0.813,0.0,0.0,,3.0,4.0,7.0,4.0,1.0,1.0,0.0,5.0,13.0,15.2,-5.0
