player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Isaiah Jackson,jacksis01,2023,1,37.0,1.0,2022-10-19,,,WAS,"L, 107-114",,,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,0.333,0.333,1.0,2.0,0.5,1.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,3.0,1.9,-13.0
Isaiah Jackson,jacksis01,2023,2,38.0,2.0,2022-10-21,,,SAS,"L, 134-137",,,6.0,9.0,0.667,0.0,1.0,0.0,6.0,8.0,0.75,0.667,4.0,4.0,1.0,2.0,4.0,6.0,2.0,1.0,1.0,2.0,3.0,16.0,14.6,6.0
Isaiah Jackson,jacksis01,2023,3,39.0,3.0,2022-10-22,,,DET,"W, 124-115",*,,2.0,6.0,0.333,0.0,0.0,,2.0,6.0,0.333,0.333,4.0,5.0,0.8,2.0,3.0,5.0,1.0,0.0,5.0,0.0,3.0,8.0,9.5,3.0
Isaiah Jackson,jacksis01,2023,4,40.0,4.0,2022-10-24,,,PHI,"L, 106-120",*,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,3.0,6.0,0.5,0.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,5.0,2.1,0.0
Isaiah Jackson,jacksis01,2023,5,41.0,5.0,2022-10-26,,,CHI,"L, 109-124",,,4.0,4.0,1.0,0.0,0.0,,4.0,4.0,1.0,1.0,0.0,2.0,0.0,0.0,7.0,7.0,1.0,0.0,1.0,0.0,3.0,8.0,8.3,-4.0
Isaiah Jackson,jacksis01,2023,6,42.0,6.0,2022-10-28,,,WAS,"W, 127-117",,,0.0,3.0,0.0,0.0,0.0,,0.0,3.0,0.0,0.0,0.0,0.0,,1.0,3.0,4.0,2.0,0.0,2.0,3.0,4.0,0.0,-2.3,-4.0
Isaiah Jackson,jacksis01,2023,7,43.0,7.0,2022-10-29,,,BRK,"W, 125-116",*,,8.0,13.0,0.615,0.0,0.0,,8.0,13.0,0.615,0.615,2.0,2.0,1.0,4.0,6.0,10.0,4.0,2.0,1.0,0.0,4.0,18.0,20.6,25.0
Isaiah Jackson,jacksis01,2023,8,44.0,8.0,2022-10-31,,,BRK,"L, 109-116",,,4.0,6.0,0.667,0.0,0.0,,4.0,6.0,0.667,0.667,0.0,1.0,0.0,3.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,8.0,9.4,3.0
Isaiah Jackson,jacksis01,2023,9,45.0,9.0,2022-11-04,,,MIA,"W, 101-99",,,2.0,5.0,0.4,0.0,0.0,,2.0,5.0,0.4,0.4,2.0,2.0,1.0,1.0,3.0,4.0,0.0,0.0,1.0,2.0,4.0,6.0,2.0,5.0
Isaiah Jackson,jacksis01,2023,10,46.0,10.0,2022-11-07,,,NOP,"W, 129-122",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,2.0,3.0,0.667,0.0,5.0,5.0,2.0,0.0,1.0,3.0,2.0,4.0,2.4,-4.0
