player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Corey Kispert,kispeco01,2023,1,78.0,9.0,2022-11-04,,,BRK,"L, 86-128",,,0.0,6.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,-2.5,-9.0
Corey Kispert,kispeco01,2023,2,79.0,10.0,2022-11-06,,,MEM,"L, 97-103",*,,3.0,6.0,0.5,0.0,3.0,0.0,3.0,3.0,1.0,0.5,0.0,1.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,6.0,5.6,-15.0
Corey Kispert,kispeco01,2023,3,80.0,11.0,2022-11-07,,,CHO,"W, 108-100",*,,3.0,4.0,0.75,1.0,2.0,0.5,2.0,2.0,1.0,0.875,1.0,1.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,4.0,8.0,5.4,-7.0
Corey Kispert,kispeco01,2023,4,81.0,12.0,2022-11-10,,,DAL,"W, 113-105",*,,2.0,4.0,0.5,1.0,2.0,0.5,1.0,2.0,0.5,0.625,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,7.0,7.3,5.0
Corey Kispert,kispeco01,2023,5,82.0,13.0,2022-11-12,,,UTA,"W, 121-112",*,,6.0,6.0,1.0,4.0,4.0,1.0,2.0,2.0,1.0,1.333,2.0,2.0,1.0,0.0,4.0,4.0,2.0,1.0,0.0,0.0,2.0,18.0,19.0,14.0
Corey Kispert,kispeco01,2023,6,83.0,14.0,2022-11-13,,,MEM,"W, 102-92",*,,5.0,8.0,0.625,2.0,2.0,1.0,3.0,6.0,0.5,0.75,0.0,0.0,,0.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,12.0,10.7,13.0
Corey Kispert,kispeco01,2023,7,84.0,15.0,2022-11-16,,,OKC,"L, 120-121",,,1.0,3.0,0.333,0.0,2.0,0.0,1.0,1.0,1.0,0.333,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,-0.7,-20.0
Corey Kispert,kispeco01,2023,8,85.0,16.0,2022-11-18,,,MIA,"W, 107-106 (OT)",,,6.0,9.0,0.667,5.0,8.0,0.625,1.0,1.0,1.0,0.944,0.0,0.0,,2.0,2.0,4.0,3.0,2.0,0.0,0.0,2.0,17.0,18.4,8.0
Corey Kispert,kispeco01,2023,9,86.0,17.0,2022-11-20,,,CHO,"W, 106-102",*,,4.0,7.0,0.571,2.0,3.0,0.667,2.0,4.0,0.5,0.714,4.0,4.0,1.0,2.0,4.0,6.0,3.0,0.0,1.0,0.0,0.0,14.0,16.1,19.0
Corey Kispert,kispeco01,2023,10,87.0,18.0,2022-11-23,,,MIA,"L, 105-113",*,,3.0,8.0,0.375,2.0,6.0,0.333,1.0,2.0,0.5,0.5,0.0,0.0,,1.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,8.0,4.6,-5.0
Corey Kispert,kispeco01,2023,11,88.0,19.0,2022-11-25,,,MIA,"L, 107-110",*,,2.0,9.0,0.222,1.0,7.0,0.143,1.0,2.0,0.5,0.278,0.0,1.0,0.0,2.0,0.0,2.0,4.0,1.0,0.0,1.0,2.0,5.0,2.5,-9.0
Corey Kispert,kispeco01,2023,12,89.0,20.0,2022-11-27,,,BOS,"L, 121-130",*,,3.0,8.0,0.375,1.0,3.0,0.333,2.0,5.0,0.4,0.438,1.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,3.1,-18.0
Corey Kispert,kispeco01,2023,13,90.0,21.0,2022-11-28,,,MIN,"W, 142-127",,,4.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.25,1.0,2.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,11.0,10.0,19.0
