player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Kyle Kuzma,kuzmaky01,2023,1,343.0,1.0,2022-10-19,,,IND,"W, 114-107",*,,8.0,19.0,0.421,3.0,10.0,0.3,5.0,9.0,0.556,0.5,3.0,5.0,0.6,1.0,12.0,13.0,2.0,0.0,2.0,2.0,4.0,22.0,14.6,7.0
Kyle Kuzma,kuzmaky01,2023,2,344.0,2.0,2022-10-21,,,CHI,"W, 102-100",*,,8.0,16.0,0.5,4.0,8.0,0.5,4.0,8.0,0.5,0.625,6.0,7.0,0.857,1.0,5.0,6.0,2.0,0.0,0.0,1.0,1.0,26.0,19.8,6.0
Kyle Kuzma,kuzmaky01,2023,3,345.0,3.0,2022-10-23,,,CLE,"L, 107-117 (OT)",*,,4.0,8.0,0.5,1.0,2.0,0.5,3.0,6.0,0.5,0.563,2.0,4.0,0.5,0.0,2.0,2.0,3.0,0.0,2.0,0.0,4.0,11.0,8.7,-5.0
Kyle Kuzma,kuzmaky01,2023,4,346.0,4.0,2022-10-25,,,DET,"W, 120-99",*,,9.0,17.0,0.529,0.0,5.0,0.0,9.0,12.0,0.75,0.529,7.0,8.0,0.875,0.0,6.0,6.0,1.0,0.0,1.0,3.0,4.0,25.0,14.9,23.0
Kyle Kuzma,kuzmaky01,2023,5,347.0,5.0,2022-10-28,,,IND,"L, 117-127",*,,7.0,19.0,0.368,3.0,7.0,0.429,4.0,12.0,0.333,0.447,1.0,1.0,1.0,0.0,9.0,9.0,3.0,1.0,0.0,3.0,4.0,18.0,8.7,2.0
Kyle Kuzma,kuzmaky01,2023,6,348.0,6.0,2022-10-30,,,BOS,"L, 94-112",*,,3.0,13.0,0.231,1.0,5.0,0.2,2.0,8.0,0.25,0.269,2.0,2.0,1.0,1.0,7.0,8.0,1.0,1.0,0.0,0.0,3.0,9.0,4.4,-20.0
Kyle Kuzma,kuzmaky01,2023,7,349.0,7.0,2022-10-31,,,PHI,"L, 111-118",*,,3.0,5.0,0.6,1.0,1.0,1.0,2.0,4.0,0.5,0.7,2.0,2.0,1.0,1.0,6.0,7.0,2.0,0.0,1.0,1.0,3.0,9.0,9.1,6.0
Kyle Kuzma,kuzmaky01,2023,8,350.0,8.0,2022-11-02,,,PHI,"W, 121-111",*,,8.0,12.0,0.667,2.0,5.0,0.4,6.0,7.0,0.857,0.75,0.0,0.0,,2.0,6.0,8.0,4.0,0.0,0.0,4.0,4.0,18.0,13.2,2.0
Kyle Kuzma,kuzmaky01,2023,9,351.0,9.0,2022-11-04,,,BRK,"L, 86-128",*,,5.0,12.0,0.417,3.0,8.0,0.375,2.0,4.0,0.5,0.542,6.0,8.0,0.75,0.0,5.0,5.0,2.0,0.0,0.0,1.0,2.0,19.0,12.9,-22.0
Kyle Kuzma,kuzmaky01,2023,10,352.0,10.0,2022-11-06,,,MEM,"L, 97-103",*,,5.0,14.0,0.357,2.0,9.0,0.222,3.0,5.0,0.6,0.429,0.0,0.0,,2.0,9.0,11.0,2.0,0.0,1.0,3.0,3.0,12.0,6.2,-5.0
Kyle Kuzma,kuzmaky01,2023,11,353.0,11.0,2022-11-07,,,CHO,"W, 108-100",*,,9.0,16.0,0.563,1.0,3.0,0.333,8.0,13.0,0.615,0.594,1.0,5.0,0.2,0.0,6.0,6.0,1.0,0.0,1.0,2.0,0.0,20.0,12.0,10.0
Kyle Kuzma,kuzmaky01,2023,12,354.0,12.0,2022-11-10,,,DAL,"W, 113-105",*,,14.0,26.0,0.538,5.0,11.0,0.455,9.0,15.0,0.6,0.635,3.0,3.0,1.0,2.0,9.0,11.0,6.0,1.0,0.0,4.0,2.0,36.0,27.9,-2.0
Kyle Kuzma,kuzmaky01,2023,13,355.0,13.0,2022-11-12,,,UTA,"W, 121-112",*,,8.0,19.0,0.421,1.0,7.0,0.143,7.0,12.0,0.583,0.447,6.0,7.0,0.857,1.0,7.0,8.0,6.0,0.0,0.0,4.0,2.0,23.0,14.7,12.0
Kyle Kuzma,kuzmaky01,2023,14,356.0,14.0,2022-11-13,,,MEM,"W, 102-92",*,,4.0,13.0,0.308,1.0,7.0,0.143,3.0,6.0,0.5,0.346,0.0,1.0,0.0,1.0,10.0,11.0,3.0,0.0,0.0,4.0,1.0,9.0,2.5,10.0
Kyle Kuzma,kuzmaky01,2023,15,357.0,15.0,2022-11-16,,,OKC,"L, 120-121",*,,7.0,15.0,0.467,3.0,8.0,0.375,4.0,7.0,0.571,0.567,1.0,1.0,1.0,2.0,8.0,10.0,9.0,1.0,0.0,7.0,3.0,18.0,13.2,13.0
Kyle Kuzma,kuzmaky01,2023,16,358.0,16.0,2022-11-18,,,MIA,"W, 107-106 (OT)",*,,9.0,24.0,0.375,2.0,12.0,0.167,7.0,12.0,0.583,0.417,1.0,3.0,0.333,0.0,8.0,8.0,5.0,1.0,0.0,4.0,2.0,21.0,9.1,1.0
Kyle Kuzma,kuzmaky01,2023,17,359.0,17.0,2022-11-20,,,CHO,"W, 106-102",*,,10.0,19.0,0.526,4.0,9.0,0.444,6.0,10.0,0.6,0.632,4.0,5.0,0.8,1.0,9.0,10.0,5.0,0.0,0.0,4.0,2.0,28.0,20.4,7.0
Kyle Kuzma,kuzmaky01,2023,18,360.0,18.0,2022-11-23,,,MIA,"L, 105-113",*,,13.0,27.0,0.481,2.0,13.0,0.154,11.0,14.0,0.786,0.519,5.0,7.0,0.714,0.0,7.0,7.0,1.0,1.0,0.0,0.0,1.0,33.0,21.9,-9.0
Kyle Kuzma,kuzmaky01,2023,19,361.0,19.0,2022-11-25,,,MIA,"L, 107-110",*,,11.0,22.0,0.5,3.0,10.0,0.3,8.0,12.0,0.667,0.568,3.0,3.0,1.0,3.0,4.0,7.0,5.0,1.0,0.0,3.0,2.0,28.0,21.0,-5.0
Kyle Kuzma,kuzmaky01,2023,20,362.0,21.0,2022-11-28,,,MIN,"W, 142-127",*,,9.0,16.0,0.563,4.0,7.0,0.571,5.0,9.0,0.556,0.688,1.0,2.0,0.5,1.0,7.0,8.0,9.0,0.0,0.0,0.0,4.0,23.0,22.5,28.0
Kyle Kuzma,kuzmaky01,2023,21,363.0,22.0,2022-11-30,,,BRK,"L, 107-113",*,,10.0,25.0,0.4,2.0,8.0,0.25,8.0,17.0,0.471,0.44,3.0,4.0,0.75,1.0,3.0,4.0,3.0,0.0,1.0,1.0,4.0,25.0,12.9,0.0
Kyle Kuzma,kuzmaky01,2023,22,364.0,23.0,2022-12-02,,,CHO,"L, 116-117",*,,6.0,14.0,0.429,2.0,5.0,0.4,4.0,9.0,0.444,0.5,0.0,0.0,,0.0,4.0,4.0,3.0,0.0,1.0,1.0,2.0,14.0,8.8,-5.0
Kyle Kuzma,kuzmaky01,2023,23,365.0,24.0,2022-12-04,,,LAL,"L, 119-130",*,,10.0,21.0,0.476,1.0,7.0,0.143,9.0,14.0,0.643,0.5,5.0,6.0,0.833,3.0,4.0,7.0,4.0,2.0,1.0,6.0,6.0,26.0,15.3,-10.0
Kyle Kuzma,kuzmaky01,2023,24,366.0,25.0,2022-12-07,,,CHI,"L, 111-115",*,,8.0,18.0,0.444,2.0,5.0,0.4,6.0,13.0,0.462,0.5,3.0,4.0,0.75,0.0,5.0,5.0,1.0,2.0,0.0,3.0,1.0,21.0,12.0,-12.0
Kyle Kuzma,kuzmaky01,2023,25,367.0,26.0,2022-12-09,,,IND,"L, 111-121",*,,9.0,20.0,0.45,4.0,9.0,0.444,5.0,11.0,0.455,0.55,5.0,6.0,0.833,2.0,5.0,7.0,7.0,0.0,0.0,3.0,2.0,27.0,20.2,-13.0
Kyle Kuzma,kuzmaky01,2023,26,368.0,27.0,2022-12-10,,,LAC,"L, 107-114",*,,14.0,27.0,0.519,7.0,11.0,0.636,7.0,16.0,0.438,0.648,0.0,0.0,,2.0,10.0,12.0,3.0,1.0,0.0,6.0,2.0,35.0,22.4,-5.0
Kyle Kuzma,kuzmaky01,2023,27,369.0,28.0,2022-12-12,,,BRK,"L, 100-112",*,,8.0,21.0,0.381,4.0,10.0,0.4,4.0,11.0,0.364,0.476,0.0,4.0,0.0,2.0,5.0,7.0,3.0,0.0,1.0,4.0,2.0,20.0,7.8,-3.0
Kyle Kuzma,kuzmaky01,2023,28,370.0,29.0,2022-12-14,,,DEN,"L, 128-141",*,,9.0,16.0,0.563,4.0,8.0,0.5,5.0,8.0,0.625,0.688,2.0,6.0,0.333,0.0,2.0,2.0,4.0,0.0,0.0,3.0,4.0,24.0,13.6,-24.0
Kyle Kuzma,kuzmaky01,2023,29,371.0,30.0,2022-12-17,,,LAC,"L, 93-102",*,,8.0,18.0,0.444,1.0,6.0,0.167,7.0,12.0,0.583,0.472,0.0,0.0,,0.0,6.0,6.0,2.0,1.0,1.0,3.0,4.0,17.0,7.9,-9.0
Kyle Kuzma,kuzmaky01,2023,30,372.0,31.0,2022-12-18,,,LAL,"L, 117-119",*,,9.0,18.0,0.5,3.0,9.0,0.333,6.0,9.0,0.667,0.583,1.0,2.0,0.5,2.0,14.0,16.0,2.0,1.0,1.0,3.0,3.0,22.0,17.1,-4.0
Kyle Kuzma,kuzmaky01,2023,31,373.0,32.0,2022-12-20,,,PHO,"W, 113-110",*,,10.0,19.0,0.526,5.0,10.0,0.5,5.0,9.0,0.556,0.658,4.0,6.0,0.667,0.0,6.0,6.0,6.0,2.0,0.0,2.0,0.0,29.0,24.9,7.0
Kyle Kuzma,kuzmaky01,2023,32,374.0,33.0,2022-12-22,,,UTA,"L, 112-120",*,,8.0,18.0,0.444,2.0,5.0,0.4,6.0,13.0,0.462,0.5,3.0,4.0,0.75,1.0,4.0,5.0,2.0,1.0,0.0,2.0,1.0,21.0,13.1,-21.0
Kyle Kuzma,kuzmaky01,2023,33,375.0,34.0,2022-12-23,,,SAC,"W, 125-111",*,,14.0,23.0,0.609,2.0,8.0,0.25,12.0,15.0,0.8,0.652,2.0,3.0,0.667,1.0,8.0,9.0,5.0,2.0,0.0,1.0,1.0,32.0,28.3,11.0
Kyle Kuzma,kuzmaky01,2023,34,376.0,35.0,2022-12-27,,,PHI,"W, 116-111",*,,4.0,13.0,0.308,2.0,9.0,0.222,2.0,4.0,0.5,0.385,4.0,5.0,0.8,0.0,8.0,8.0,1.0,0.0,0.0,4.0,1.0,14.0,4.8,11.0
Kyle Kuzma,kuzmaky01,2023,35,377.0,36.0,2022-12-28,,,PHO,"W, 127-102",*,,8.0,17.0,0.471,2.0,4.0,0.5,6.0,13.0,0.462,0.529,4.0,4.0,1.0,0.0,5.0,5.0,7.0,1.0,0.0,1.0,2.0,22.0,18.9,34.0
Kyle Kuzma,kuzmaky01,2023,36,378.0,37.0,2022-12-30,,,ORL,"W, 119-100",*,,9.0,16.0,0.563,4.0,8.0,0.5,5.0,8.0,0.625,0.688,1.0,2.0,0.5,0.0,5.0,5.0,6.0,0.0,1.0,8.0,1.0,23.0,13.0,14.0
Kyle Kuzma,kuzmaky01,2023,37,379.0,38.0,2023-01-01,,,MIL,"W, 118-95",*,,5.0,16.0,0.313,0.0,2.0,0.0,5.0,14.0,0.357,0.313,0.0,1.0,0.0,1.0,12.0,13.0,11.0,0.0,0.0,5.0,3.0,10.0,6.2,17.0
Kyle Kuzma,kuzmaky01,2023,38,380.0,39.0,2023-01-03,,,MIL,"L, 113-123",*,,10.0,28.0,0.357,0.0,6.0,0.0,10.0,22.0,0.455,0.357,0.0,0.0,,1.0,3.0,4.0,2.0,0.0,2.0,2.0,1.0,20.0,6.4,-16.0
