player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Isaiah Livers,liveris01,2023,1,20.0,3.0,2022-10-22,,,IND,"L, 115-124",,,3.0,6.0,0.5,2.0,3.0,0.667,1.0,3.0,0.333,0.667,0.0,0.0,,0.0,2.0,2.0,0.0,2.0,0.0,3.0,3.0,8.0,3.4,-12.0
Isaiah Livers,liveris01,2023,2,21.0,4.0,2022-10-25,,,WAS,"L, 99-120",,,1.0,6.0,0.167,0.0,5.0,0.0,1.0,1.0,1.0,0.167,3.0,3.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,3.0,5.0,1.0,-4.0
Isaiah Livers,liveris01,2023,3,22.0,5.0,2022-10-26,,,ATL,"L, 113-118",,,4.0,7.0,0.571,4.0,6.0,0.667,0.0,1.0,0.0,0.857,0.0,0.0,,1.0,1.0,2.0,3.0,1.0,1.0,0.0,4.0,12.0,11.9,-1.0
Isaiah Livers,liveris01,2023,4,23.0,6.0,2022-10-28,,,ATL,"L, 112-136",,,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.5,-5.0
Isaiah Livers,liveris01,2023,5,24.0,7.0,2022-10-30,,,GSW,"W, 128-114",,,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,,0.75,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,6.0,4.1,11.0
Isaiah Livers,liveris01,2023,6,25.0,8.0,2022-10-31,,,MIL,"L, 108-110",,,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.75,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.9,12.0
Isaiah Livers,liveris01,2023,7,26.0,9.0,2022-11-02,,,MIL,"L, 91-116",,,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,,0.375,0.0,0.0,,0.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0,3.0,0.8,-8.0
Isaiah Livers,liveris01,2023,8,27.0,10.0,2022-11-04,,,CLE,"L, 88-112",,,3.0,7.0,0.429,3.0,5.0,0.6,0.0,2.0,0.0,0.643,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,11.0,7.9,-20.0
Isaiah Livers,liveris01,2023,9,28.0,11.0,2022-11-07,,,OKC,"W, 112-103",,,2.0,6.0,0.333,1.0,3.0,0.333,1.0,3.0,0.333,0.417,0.0,0.0,,0.0,5.0,5.0,0.0,1.0,0.0,0.0,1.0,5.0,3.7,-14.0
Isaiah Livers,liveris01,2023,10,29.0,12.0,2022-11-09,,,BOS,"L, 112-128",,,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,,0.5,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,-7.0
Isaiah Livers,liveris01,2023,11,30.0,13.0,2022-11-11,,,NYK,"L, 112-121",,,3.0,6.0,0.5,3.0,6.0,0.5,0.0,0.0,,0.75,2.0,2.0,1.0,2.0,2.0,4.0,1.0,0.0,2.0,0.0,2.0,11.0,11.3,-5.0
Isaiah Livers,liveris01,2023,12,31.0,14.0,2022-11-12,,,BOS,"L, 108-117",,,1.0,5.0,0.2,0.0,3.0,0.0,1.0,2.0,0.5,0.2,1.0,2.0,0.5,2.0,3.0,5.0,0.0,0.0,1.0,1.0,3.0,3.0,0.3,-7.0
Isaiah Livers,liveris01,2023,13,32.0,15.0,2022-11-14,,,TOR,"L, 111-115",,,1.0,5.0,0.2,1.0,5.0,0.2,0.0,0.0,,0.3,4.0,5.0,0.8,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,7.0,6.2,2.0
Isaiah Livers,liveris01,2023,14,33.0,16.0,2022-11-17,,,LAC,"L, 91-96",,,2.0,5.0,0.4,0.0,3.0,0.0,2.0,2.0,1.0,0.4,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,3.2,-14.0
Isaiah Livers,liveris01,2023,15,34.0,17.0,2022-11-18,,,LAL,"L, 121-128",,,1.0,4.0,0.25,1.0,3.0,0.333,0.0,1.0,0.0,0.375,0.0,0.0,,1.0,1.0,2.0,1.0,2.0,0.0,2.0,4.0,3.0,0.7,-4.0
Isaiah Livers,liveris01,2023,16,35.0,18.0,2022-11-20,,,SAC,"L, 129-137",*,,2.0,4.0,0.5,1.0,3.0,0.333,1.0,1.0,1.0,0.625,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,5.0,2.9,3.0
