player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Kyle Lowry,lowryky01,2023,1,1024.0,1.0,2022-10-19,,,CHI,"L, 108-116",*,,1.0,7.0,0.143,0.0,5.0,0.0,1.0,2.0,0.5,0.143,0.0,0.0,,0.0,5.0,5.0,4.0,1.0,0.0,3.0,4.0,2.0,-1.8,-13.0
Kyle Lowry,lowryky01,2023,2,1025.0,2.0,2022-10-21,,,BOS,"L, 104-111",*,,4.0,13.0,0.308,3.0,7.0,0.429,1.0,6.0,0.167,0.423,6.0,8.0,0.75,1.0,3.0,4.0,6.0,3.0,1.0,0.0,3.0,17.0,17.0,2.0
Kyle Lowry,lowryky01,2023,3,1026.0,3.0,2022-10-22,,,TOR,"W, 112-109",*,,5.0,11.0,0.455,3.0,7.0,0.429,2.0,4.0,0.5,0.591,4.0,4.0,1.0,0.0,2.0,2.0,6.0,1.0,0.0,3.0,4.0,17.0,12.5,-7.0
Kyle Lowry,lowryky01,2023,4,1027.0,4.0,2022-10-24,,,TOR,"L, 90-98",*,,1.0,8.0,0.125,1.0,6.0,0.167,0.0,2.0,0.0,0.188,4.0,4.0,1.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,2.0,7.0,3.3,0.0
Kyle Lowry,lowryky01,2023,5,1028.0,5.0,2022-10-26,,,POR,"W, 119-98",*,,5.0,8.0,0.625,5.0,7.0,0.714,0.0,1.0,0.0,0.938,2.0,3.0,0.667,0.0,2.0,2.0,6.0,1.0,1.0,3.0,2.0,17.0,15.7,8.0
Kyle Lowry,lowryky01,2023,6,1029.0,6.0,2022-10-27,,,GSW,"L, 110-123",*,,4.0,10.0,0.4,2.0,8.0,0.25,2.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,4.0,5.0,8.0,3.0,0.0,2.0,4.0,12.0,13.5,-9.0
Kyle Lowry,lowryky01,2023,7,1030.0,7.0,2022-10-29,,,SAC,"L, 113-119",*,,3.0,8.0,0.375,1.0,4.0,0.25,2.0,4.0,0.5,0.438,8.0,8.0,1.0,1.0,4.0,5.0,5.0,2.0,1.0,2.0,4.0,15.0,15.1,-1.0
Kyle Lowry,lowryky01,2023,8,1031.0,8.0,2022-11-01,,,GSW,"W, 116-109",*,,5.0,10.0,0.5,3.0,8.0,0.375,2.0,2.0,1.0,0.65,0.0,0.0,,1.0,4.0,5.0,9.0,0.0,0.0,2.0,1.0,13.0,13.8,-3.0
Kyle Lowry,lowryky01,2023,9,1032.0,9.0,2022-11-02,,,SAC,"W, 110-107",*,,8.0,14.0,0.571,2.0,7.0,0.286,6.0,7.0,0.857,0.643,4.0,5.0,0.8,1.0,4.0,5.0,7.0,2.0,0.0,3.0,2.0,22.0,20.0,-7.0
Kyle Lowry,lowryky01,2023,10,1033.0,10.0,2022-11-04,,,IND,"L, 99-101",*,,1.0,9.0,0.111,1.0,6.0,0.167,0.0,3.0,0.0,0.167,7.0,7.0,1.0,2.0,4.0,6.0,3.0,2.0,1.0,1.0,3.0,10.0,9.3,-2.0
Kyle Lowry,lowryky01,2023,11,1034.0,11.0,2022-11-07,,,POR,"L, 107-110",*,,5.0,8.0,0.625,4.0,6.0,0.667,1.0,2.0,0.5,0.875,1.0,1.0,1.0,0.0,7.0,7.0,8.0,0.0,0.0,3.0,4.0,15.0,14.5,-4.0
Kyle Lowry,lowryky01,2023,12,1035.0,12.0,2022-11-10,,,CHO,"W, 117-112 (OT)",*,,3.0,6.0,0.5,2.0,5.0,0.4,1.0,1.0,1.0,0.667,2.0,2.0,1.0,0.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,10.0,9.3,0.0
