player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Khris Middleton,middlkh01,2023,1,652.0,21.0,2022-12-02,,,LAL,"L, 129-133",*,,6.0,11.0,0.545,3.0,4.0,0.75,3.0,7.0,0.429,0.682,2.0,2.0,1.0,0.0,2.0,2.0,7.0,0.0,0.0,0.0,3.0,17.0,16.0,3.0
Khris Middleton,middlkh01,2023,2,653.0,23.0,2022-12-05,,,ORL,"W, 109-102",*,,1.0,11.0,0.091,0.0,7.0,0.0,1.0,4.0,0.25,0.091,3.0,4.0,0.75,0.0,1.0,1.0,5.0,1.0,0.0,2.0,3.0,5.0,-1.1,-14.0
Khris Middleton,middlkh01,2023,3,654.0,24.0,2022-12-07,,,SAC,"W, 126-113",*,,5.0,11.0,0.455,2.0,5.0,0.4,3.0,6.0,0.5,0.545,2.0,2.0,1.0,1.0,5.0,6.0,6.0,1.0,0.0,1.0,3.0,14.0,13.5,4.0
Khris Middleton,middlkh01,2023,4,655.0,25.0,2022-12-09,,,DAL,"W, 106-105",*,,6.0,17.0,0.353,2.0,8.0,0.25,4.0,9.0,0.444,0.412,5.0,6.0,0.833,0.0,3.0,3.0,5.0,1.0,1.0,1.0,2.0,19.0,13.4,6.0
Khris Middleton,middlkh01,2023,5,656.0,26.0,2022-12-11,,,HOU,"L, 92-97",*,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,3.0
Khris Middleton,middlkh01,2023,6,657.0,27.0,2022-12-13,,,GSW,"W, 128-111",*,,6.0,13.0,0.462,3.0,7.0,0.429,3.0,6.0,0.5,0.577,5.0,5.0,1.0,0.0,4.0,4.0,3.0,0.0,0.0,3.0,2.0,20.0,12.8,14.0
Khris Middleton,middlkh01,2023,7,658.0,28.0,2022-12-15,,,MEM,"L, 101-142",*,,1.0,12.0,0.083,1.0,8.0,0.125,0.0,4.0,0.0,0.125,0.0,0.0,,0.0,2.0,2.0,5.0,1.0,0.0,4.0,5.0,3.0,-5.9,-28.0
Khris Middleton,middlkh01,2023,8,659.0,47.0,2023-01-23,,,DET,"W, 150-130",,,3.0,7.0,0.429,2.0,4.0,0.5,1.0,3.0,0.333,0.571,0.0,0.0,,2.0,0.0,2.0,4.0,0.0,0.0,6.0,3.0,8.0,1.3,-1.0
Khris Middleton,middlkh01,2023,9,660.0,48.0,2023-01-25,,,DEN,"W, 107-99",,,3.0,8.0,0.375,2.0,4.0,0.5,1.0,4.0,0.25,0.5,2.0,2.0,1.0,0.0,2.0,2.0,3.0,1.0,0.0,1.0,2.0,10.0,7.5,8.0
Khris Middleton,middlkh01,2023,10,661.0,49.0,2023-01-27,,,IND,"W, 141-131",,,7.0,13.0,0.538,0.0,4.0,0.0,7.0,9.0,0.778,0.538,3.0,3.0,1.0,0.0,4.0,4.0,4.0,2.0,0.0,2.0,0.0,17.0,14.7,21.0
