player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Dejounte Murray,murrade01,2023,1,321.0,1.0,2022-10-19,,,HOU,"W, 117-107",*,,8.0,19.0,0.421,1.0,5.0,0.2,7.0,14.0,0.5,0.447,3.0,3.0,1.0,0.0,5.0,5.0,11.0,5.0,1.0,0.0,0.0,20.0,24.8,8.0
Dejounte Murray,murrade01,2023,2,322.0,2.0,2022-10-21,,,ORL,"W, 108-98",*,,8.0,16.0,0.5,2.0,5.0,0.4,6.0,11.0,0.545,0.563,2.0,2.0,1.0,1.0,8.0,9.0,9.0,4.0,0.0,7.0,2.0,20.0,17.6,17.0
Dejounte Murray,murrade01,2023,3,323.0,3.0,2022-10-23,,,CHO,"L, 109-126",*,,7.0,15.0,0.467,2.0,4.0,0.5,5.0,11.0,0.455,0.533,3.0,3.0,1.0,1.0,7.0,8.0,5.0,1.0,1.0,4.0,2.0,19.0,14.5,-11.0
Dejounte Murray,murrade01,2023,4,324.0,4.0,2022-10-26,,,DET,"W, 118-113",*,,5.0,18.0,0.278,2.0,6.0,0.333,3.0,12.0,0.25,0.333,2.0,4.0,0.5,2.0,6.0,8.0,8.0,2.0,2.0,2.0,2.0,14.0,12.0,4.0
Dejounte Murray,murrade01,2023,5,325.0,5.0,2022-10-28,,,DET,"W, 136-112",*,,12.0,21.0,0.571,2.0,6.0,0.333,10.0,15.0,0.667,0.619,0.0,0.0,,0.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,26.0,20.8,21.0
Dejounte Murray,murrade01,2023,6,326.0,6.0,2022-10-29,,,MIL,"L, 115-123",*,,9.0,19.0,0.474,3.0,5.0,0.6,6.0,14.0,0.429,0.553,0.0,0.0,,0.0,5.0,5.0,6.0,2.0,0.0,1.0,3.0,21.0,16.8,1.0
Dejounte Murray,murrade01,2023,7,327.0,7.0,2022-10-31,,,TOR,"L, 109-139",*,,7.0,15.0,0.467,2.0,4.0,0.5,5.0,11.0,0.455,0.533,4.0,4.0,1.0,0.0,4.0,4.0,9.0,0.0,0.0,4.0,3.0,20.0,14.6,-12.0
Dejounte Murray,murrade01,2023,8,328.0,8.0,2022-11-02,,,NYK,"W, 112-99",*,,14.0,27.0,0.519,5.0,12.0,0.417,9.0,15.0,0.6,0.611,3.0,3.0,1.0,0.0,4.0,4.0,9.0,5.0,1.0,3.0,1.0,36.0,32.5,26.0
Dejounte Murray,murrade01,2023,9,329.0,9.0,2022-11-05,,,NOP,"W, 124-121 (OT)",*,,9.0,23.0,0.391,1.0,8.0,0.125,8.0,15.0,0.533,0.413,3.0,4.0,0.75,2.0,8.0,10.0,11.0,3.0,0.0,2.0,3.0,22.0,20.4,21.0
Dejounte Murray,murrade01,2023,10,330.0,10.0,2022-11-07,,,MIL,"W, 117-98",*,,11.0,24.0,0.458,3.0,9.0,0.333,8.0,15.0,0.533,0.521,0.0,0.0,,2.0,6.0,8.0,11.0,3.0,0.0,3.0,1.0,25.0,23.1,4.0
Dejounte Murray,murrade01,2023,11,331.0,11.0,2022-11-09,,,UTA,"L, 119-125",*,,11.0,20.0,0.55,1.0,5.0,0.2,10.0,15.0,0.667,0.575,3.0,4.0,0.75,1.0,5.0,6.0,5.0,0.0,1.0,3.0,4.0,26.0,17.8,-7.0
Dejounte Murray,murrade01,2023,12,332.0,12.0,2022-11-10,,,PHI,"W, 104-95",*,,5.0,13.0,0.385,0.0,4.0,0.0,5.0,9.0,0.556,0.385,0.0,0.0,,0.0,3.0,3.0,8.0,2.0,0.0,2.0,1.0,10.0,9.0,-14.0
Dejounte Murray,murrade01,2023,13,333.0,13.0,2022-11-12,,,PHI,"L, 109-121",*,,9.0,23.0,0.391,1.0,4.0,0.25,8.0,19.0,0.421,0.413,4.0,4.0,1.0,3.0,5.0,8.0,7.0,2.0,0.0,0.0,1.0,23.0,20.6,-21.0
Dejounte Murray,murrade01,2023,14,334.0,14.0,2022-11-14,,,MIL,"W, 121-106",*,,6.0,14.0,0.429,1.0,4.0,0.25,5.0,10.0,0.5,0.464,6.0,7.0,0.857,0.0,8.0,8.0,5.0,0.0,0.0,1.0,2.0,19.0,15.3,6.0
Dejounte Murray,murrade01,2023,15,335.0,15.0,2022-11-16,,,BOS,"L, 101-126",*,,9.0,17.0,0.529,1.0,3.0,0.333,8.0,14.0,0.571,0.559,0.0,0.0,,0.0,3.0,3.0,5.0,1.0,0.0,3.0,3.0,19.0,11.9,-24.0
Dejounte Murray,murrade01,2023,16,336.0,16.0,2022-11-19,,,TOR,"W, 124-122 (OT)",*,,7.0,18.0,0.389,1.0,6.0,0.167,6.0,12.0,0.5,0.417,2.0,2.0,1.0,0.0,7.0,7.0,4.0,2.0,0.0,2.0,0.0,17.0,12.1,13.0
Dejounte Murray,murrade01,2023,17,337.0,17.0,2022-11-21,,,CLE,"L, 102-114",*,,4.0,17.0,0.235,1.0,4.0,0.25,3.0,13.0,0.231,0.265,2.0,2.0,1.0,1.0,3.0,4.0,6.0,1.0,0.0,4.0,1.0,11.0,3.1,-6.0
Dejounte Murray,murrade01,2023,18,338.0,18.0,2022-11-23,,,SAC,"W, 115-106",*,,5.0,16.0,0.313,1.0,4.0,0.25,4.0,12.0,0.333,0.344,4.0,4.0,1.0,1.0,6.0,7.0,4.0,3.0,0.0,2.0,2.0,15.0,11.3,7.0
Dejounte Murray,murrade01,2023,19,339.0,19.0,2022-11-25,,,HOU,"L, 122-128",*,,14.0,24.0,0.583,8.0,13.0,0.615,6.0,11.0,0.545,0.75,3.0,3.0,1.0,0.0,3.0,3.0,3.0,2.0,0.0,3.0,2.0,39.0,29.0,-6.0
Dejounte Murray,murrade01,2023,20,340.0,20.0,2022-11-27,,,MIA,"L, 98-106",*,,5.0,16.0,0.313,2.0,8.0,0.25,3.0,8.0,0.375,0.375,1.0,2.0,0.5,0.0,5.0,5.0,2.0,1.0,0.0,2.0,0.0,13.0,5.3,-13.0
Dejounte Murray,murrade01,2023,21,341.0,21.0,2022-11-28,,,PHI,"L, 101-104",*,,6.0,13.0,0.462,3.0,6.0,0.5,3.0,7.0,0.429,0.577,2.0,2.0,1.0,1.0,4.0,5.0,6.0,1.0,1.0,7.0,3.0,17.0,9.9,-2.0
Dejounte Murray,murrade01,2023,22,342.0,22.0,2022-11-30,,,ORL,"W, 125-108",*,,11.0,23.0,0.478,3.0,8.0,0.375,8.0,15.0,0.533,0.543,2.0,3.0,0.667,0.0,3.0,3.0,6.0,2.0,1.0,5.0,1.0,27.0,17.3,8.0
Dejounte Murray,murrade01,2023,23,343.0,23.0,2022-12-02,,,DEN,"W, 117-109",*,,13.0,22.0,0.591,4.0,7.0,0.571,9.0,15.0,0.6,0.682,4.0,6.0,0.667,1.0,2.0,3.0,8.0,0.0,1.0,1.0,1.0,34.0,29.2,3.0
