player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Jaylen Nowell,nowelja01,2023,1,120.0,1.0,2022-10-19,,,OKC,"W, 115-108",,,5.0,11.0,0.455,2.0,5.0,0.4,3.0,6.0,0.5,0.545,1.0,1.0,1.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,1.0,13.0,9.2,-1.0
Jaylen Nowell,nowelja01,2023,2,121.0,2.0,2022-10-21,,,UTA,"L, 126-132 (OT)",,,8.0,14.0,0.571,2.0,5.0,0.4,6.0,9.0,0.667,0.643,0.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,4.0,18.0,13.5,7.0
Jaylen Nowell,nowelja01,2023,3,122.0,3.0,2022-10-23,,,OKC,"W, 116-106",,,5.0,16.0,0.313,1.0,6.0,0.167,4.0,10.0,0.4,0.344,3.0,4.0,0.75,1.0,5.0,6.0,1.0,2.0,0.0,1.0,0.0,14.0,8.3,4.0
Jaylen Nowell,nowelja01,2023,4,123.0,4.0,2022-10-24,,,SAS,"L, 106-115",,,6.0,16.0,0.375,1.0,7.0,0.143,5.0,9.0,0.556,0.406,0.0,0.0,,3.0,6.0,9.0,2.0,1.0,0.0,0.0,2.0,13.0,9.7,8.0
Jaylen Nowell,nowelja01,2023,5,124.0,5.0,2022-10-26,,,SAS,"W, 134-122",,,9.0,13.0,0.692,3.0,5.0,0.6,6.0,8.0,0.75,0.808,2.0,2.0,1.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,23.0,20.1,12.0
Jaylen Nowell,nowelja01,2023,6,125.0,6.0,2022-10-28,,,LAL,"W, 111-102",,,3.0,12.0,0.25,0.0,3.0,0.0,3.0,9.0,0.333,0.25,0.0,0.0,,3.0,2.0,5.0,5.0,1.0,1.0,0.0,2.0,6.0,5.9,-3.0
Jaylen Nowell,nowelja01,2023,7,126.0,7.0,2022-10-30,,,SAS,"L, 98-107",,,1.0,8.0,0.125,0.0,3.0,0.0,1.0,5.0,0.2,0.125,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,-3.6,-8.0
Jaylen Nowell,nowelja01,2023,8,127.0,8.0,2022-11-01,,,PHO,"L, 107-116",,,4.0,13.0,0.308,0.0,1.0,0.0,4.0,12.0,0.333,0.308,2.0,3.0,0.667,0.0,2.0,2.0,4.0,0.0,0.0,1.0,1.0,10.0,4.1,14.0
Jaylen Nowell,nowelja01,2023,9,128.0,9.0,2022-11-04,,,MIL,"L, 102-115",,,4.0,10.0,0.4,2.0,5.0,0.4,2.0,5.0,0.4,0.5,3.0,4.0,0.75,0.0,3.0,3.0,3.0,0.0,0.0,1.0,3.0,13.0,8.0,13.0
Jaylen Nowell,nowelja01,2023,10,129.0,10.0,2022-11-05,,,HOU,"W, 129-117",,,3.0,5.0,0.6,1.0,2.0,0.5,2.0,3.0,0.667,0.7,0.0,0.0,,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,7.0,5.8,-8.0
