player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Dwight Powell,poweldw01,2023,1,512.0,2.0,2022-10-22,,,MEM,"W, 137-96",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,-0.5,8.0
Dwight Powell,poweldw01,2023,2,513.0,5.0,2022-10-29,,,OKC,"L, 111-117 (OT)",*,,5.0,7.0,0.714,0.0,1.0,0.0,5.0,6.0,0.833,0.714,3.0,3.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,13.0,10.3,7.0
Dwight Powell,poweldw01,2023,3,514.0,6.0,2022-10-30,,,ORL,"W, 114-105",,,2.0,3.0,0.667,0.0,0.0,,2.0,3.0,0.667,0.667,1.0,1.0,1.0,2.0,2.0,4.0,0.0,0.0,1.0,0.0,2.0,5.0,5.6,10.0
Dwight Powell,poweldw01,2023,4,515.0,7.0,2022-11-02,,,UTA,"W, 103-100",,,4.0,5.0,0.8,0.0,0.0,,4.0,5.0,0.8,0.8,1.0,2.0,0.5,2.0,3.0,5.0,0.0,1.0,1.0,0.0,1.0,9.0,10.3,25.0
Dwight Powell,poweldw01,2023,5,516.0,8.0,2022-11-04,,,TOR,"W, 111-110",*,,3.0,6.0,0.5,0.0,0.0,,3.0,6.0,0.5,0.5,3.0,4.0,0.75,1.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,9.0,6.8,8.0
Dwight Powell,poweldw01,2023,6,517.0,9.0,2022-11-07,,,BRK,"W, 96-94",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,4.0,4.0,8.0,0.0,1.0,1.0,2.0,2.0,2.0,3.9,7.0
Dwight Powell,poweldw01,2023,7,518.0,10.0,2022-11-09,,,ORL,"L, 87-94",*,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,0.0,4.0,4.0,0.0,3.0,0.0,1.0,4.0,2.0,2.6,-10.0
Dwight Powell,poweldw01,2023,8,519.0,11.0,2022-11-10,,,WAS,"L, 105-113",*,,6.0,9.0,0.667,0.0,0.0,,6.0,9.0,0.667,0.667,2.0,2.0,1.0,4.0,3.0,7.0,0.0,1.0,0.0,1.0,2.0,14.0,13.0,5.0
Dwight Powell,poweldw01,2023,9,520.0,12.0,2022-11-12,,,POR,"W, 117-112",*,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,2.0,0.2,-15.0
Dwight Powell,poweldw01,2023,10,521.0,13.0,2022-11-15,,,LAC,"W, 103-101",*,,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,0.333,0.333,1.0,2.0,0.5,2.0,0.0,2.0,5.0,1.0,0.0,1.0,3.0,3.0,4.6,13.0
