player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Shaedon Sharpe,sharpsh01,2023,1,1.0,1.0,2022-10-19,,,SAC,"W, 115-108",,,4.0,6.0,0.667,3.0,3.0,1.0,1.0,3.0,0.333,0.917,1.0,2.0,0.5,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,12.0,9.5,8.0
Shaedon Sharpe,sharpsh01,2023,2,2.0,2.0,2022-10-21,,,PHO,"W, 113-111 (OT)",,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,-3.4,7.0
Shaedon Sharpe,sharpsh01,2023,3,3.0,3.0,2022-10-23,,,LAL,"W, 106-104",,,2.0,6.0,0.333,0.0,1.0,0.0,2.0,5.0,0.4,0.333,0.0,0.0,,3.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,3.6,8.0
Shaedon Sharpe,sharpsh01,2023,4,4.0,4.0,2022-10-24,,,DEN,"W, 135-110",,,4.0,6.0,0.667,1.0,2.0,0.5,3.0,4.0,0.75,0.75,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,11.0,7.3,7.0
Shaedon Sharpe,sharpsh01,2023,5,5.0,5.0,2022-10-26,,,MIA,"L, 98-119",,,5.0,12.0,0.417,2.0,5.0,0.4,3.0,7.0,0.429,0.5,3.0,5.0,0.6,3.0,5.0,8.0,0.0,1.0,0.0,2.0,2.0,15.0,9.6,-9.0
Shaedon Sharpe,sharpsh01,2023,6,6.0,6.0,2022-10-28,,,HOU,"W, 125-111",*,,7.0,12.0,0.583,0.0,2.0,0.0,7.0,10.0,0.7,0.583,0.0,0.0,,1.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,14.0,8.9,-1.0
Shaedon Sharpe,sharpsh01,2023,7,7.0,7.0,2022-11-02,,,MEM,"L, 106-111",*,,1.0,6.0,0.167,0.0,1.0,0.0,1.0,5.0,0.2,0.167,0.0,0.0,,0.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,2.0,1.1,-6.0
Shaedon Sharpe,sharpsh01,2023,8,8.0,8.0,2022-11-04,,,PHO,"W, 108-106",*,,4.0,8.0,0.5,2.0,3.0,0.667,2.0,5.0,0.4,0.625,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,10.0,5.8,-10.0
Shaedon Sharpe,sharpsh01,2023,9,9.0,9.0,2022-11-05,,,PHO,"L, 82-102",*,,6.0,12.0,0.5,1.0,2.0,0.5,5.0,10.0,0.5,0.542,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,1.0,2.0,2.0,13.0,6.1,-4.0
Shaedon Sharpe,sharpsh01,2023,10,10.0,10.0,2022-11-07,,,MIA,"W, 110-107",,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,4.1,-4.0
