player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Pascal Siakam,siakapa01,2023,1,401.0,1.0,2022-10-19,,,CLE,"W, 108-105",*,,9.0,20.0,0.45,1.0,3.0,0.333,8.0,17.0,0.471,0.475,4.0,8.0,0.5,3.0,8.0,11.0,1.0,3.0,0.0,4.0,6.0,23.0,12.8,-1.0
Pascal Siakam,siakapa01,2023,2,402.0,2.0,2022-10-21,,,BRK,"L, 105-109",*,,15.0,21.0,0.714,2.0,6.0,0.333,13.0,15.0,0.867,0.762,5.0,9.0,0.556,2.0,10.0,12.0,11.0,0.0,0.0,3.0,4.0,37.0,34.2,2.0
Pascal Siakam,siakapa01,2023,3,403.0,3.0,2022-10-22,,,MIA,"L, 109-112",*,,8.0,19.0,0.421,0.0,2.0,0.0,8.0,17.0,0.471,0.421,7.0,8.0,0.875,1.0,7.0,8.0,9.0,1.0,1.0,1.0,4.0,23.0,20.7,-5.0
Pascal Siakam,siakapa01,2023,4,404.0,4.0,2022-10-24,,,MIA,"W, 98-90",*,,7.0,22.0,0.318,2.0,6.0,0.333,5.0,16.0,0.313,0.364,7.0,8.0,0.875,0.0,9.0,9.0,6.0,2.0,2.0,5.0,1.0,23.0,14.9,10.0
Pascal Siakam,siakapa01,2023,5,405.0,5.0,2022-10-26,,,PHI,"W, 119-109",*,,7.0,16.0,0.438,4.0,8.0,0.5,3.0,8.0,0.375,0.563,2.0,4.0,0.5,0.0,5.0,5.0,13.0,0.0,0.0,1.0,1.0,20.0,20.0,7.0
Pascal Siakam,siakapa01,2023,6,406.0,6.0,2022-10-28,,,PHI,"L, 90-112",*,,9.0,15.0,0.6,1.0,3.0,0.333,8.0,12.0,0.667,0.633,7.0,9.0,0.778,2.0,8.0,10.0,6.0,0.0,0.0,5.0,3.0,26.0,20.1,-7.0
Pascal Siakam,siakapa01,2023,7,407.0,7.0,2022-10-31,,,ATL,"W, 139-109",*,,8.0,21.0,0.381,2.0,3.0,0.667,6.0,18.0,0.333,0.429,13.0,16.0,0.813,3.0,9.0,12.0,6.0,0.0,2.0,0.0,3.0,31.0,27.5,30.0
Pascal Siakam,siakapa01,2023,8,408.0,8.0,2022-11-02,,,SAS,"W, 143-100",*,,10.0,19.0,0.526,1.0,5.0,0.2,9.0,14.0,0.643,0.553,1.0,1.0,1.0,1.0,9.0,10.0,11.0,1.0,0.0,3.0,3.0,22.0,20.6,26.0
Pascal Siakam,siakapa01,2023,9,409.0,9.0,2022-11-04,,,DAL,"L, 110-111",*,,7.0,14.0,0.5,0.0,2.0,0.0,7.0,12.0,0.583,0.5,4.0,6.0,0.667,4.0,3.0,7.0,6.0,1.0,0.0,2.0,3.0,18.0,15.9,-7.0
Pascal Siakam,siakapa01,2023,10,410.0,20.0,2022-11-28,,,CLE,"W, 100-88",*,,7.0,14.0,0.5,1.0,3.0,0.333,6.0,11.0,0.545,0.536,3.0,4.0,0.75,1.0,10.0,11.0,5.0,0.0,0.0,2.0,4.0,18.0,14.2,5.0
Pascal Siakam,siakapa01,2023,11,411.0,21.0,2022-11-30,,,NOP,"L, 108-126",*,,9.0,16.0,0.563,1.0,2.0,0.5,8.0,14.0,0.571,0.594,4.0,5.0,0.8,2.0,4.0,6.0,4.0,2.0,2.0,5.0,3.0,23.0,17.6,-12.0
Pascal Siakam,siakapa01,2023,12,412.0,22.0,2022-12-02,,,BRK,"L, 105-114",*,,7.0,15.0,0.467,1.0,2.0,0.5,6.0,13.0,0.462,0.5,9.0,11.0,0.818,1.0,6.0,7.0,4.0,1.0,0.0,0.0,5.0,24.0,19.8,-5.0
Pascal Siakam,siakapa01,2023,13,413.0,23.0,2022-12-03,,,ORL,"W, 121-108",*,,9.0,15.0,0.6,1.0,4.0,0.25,8.0,11.0,0.727,0.633,7.0,7.0,1.0,2.0,6.0,8.0,10.0,3.0,0.0,1.0,1.0,26.0,30.9,25.0
