player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Jayson Tatum,tatumja01,2023,1,366.0,1.0,2022-10-18,,,PHI,"W, 126-117",*,,13.0,20.0,0.65,2.0,7.0,0.286,11.0,13.0,0.846,0.7,7.0,9.0,0.778,0.0,12.0,12.0,4.0,1.0,1.0,3.0,1.0,35.0,30.1,10.0
Jayson Tatum,tatumja01,2023,2,367.0,2.0,2022-10-21,,,MIA,"W, 111-104",*,,10.0,22.0,0.455,2.0,7.0,0.286,8.0,15.0,0.533,0.5,7.0,7.0,1.0,2.0,3.0,5.0,4.0,1.0,2.0,2.0,1.0,29.0,22.7,-1.0
Jayson Tatum,tatumja01,2023,3,368.0,3.0,2022-10-22,,,ORL,"W, 126-120",*,,14.0,21.0,0.667,4.0,10.0,0.4,10.0,11.0,0.909,0.762,8.0,9.0,0.889,0.0,8.0,8.0,1.0,1.0,2.0,1.0,2.0,40.0,34.2,6.0
Jayson Tatum,tatumja01,2023,4,369.0,4.0,2022-10-24,,,CHI,"L, 102-120",*,,8.0,18.0,0.444,4.0,8.0,0.5,4.0,10.0,0.4,0.556,6.0,6.0,1.0,0.0,8.0,8.0,5.0,0.0,0.0,1.0,2.0,26.0,20.7,-8.0
Jayson Tatum,tatumja01,2023,5,370.0,5.0,2022-10-28,,,CLE,"L, 123-132 (OT)",*,,11.0,19.0,0.579,3.0,7.0,0.429,8.0,12.0,0.667,0.658,7.0,8.0,0.875,1.0,6.0,7.0,4.0,1.0,1.0,4.0,4.0,32.0,24.1,-10.0
Jayson Tatum,tatumja01,2023,6,371.0,6.0,2022-10-30,,,WAS,"W, 112-94",*,,8.0,15.0,0.533,5.0,10.0,0.5,3.0,5.0,0.6,0.7,2.0,2.0,1.0,0.0,4.0,4.0,3.0,1.0,0.0,4.0,0.0,23.0,16.0,10.0
Jayson Tatum,tatumja01,2023,7,372.0,7.0,2022-11-02,,,CLE,"L, 113-114 (OT)",*,,8.0,21.0,0.381,2.0,9.0,0.222,6.0,12.0,0.5,0.429,8.0,8.0,1.0,3.0,9.0,12.0,6.0,1.0,4.0,6.0,0.0,26.0,21.3,-16.0
Jayson Tatum,tatumja01,2023,8,373.0,8.0,2022-11-04,,,CHI,"W, 123-119",*,,8.0,23.0,0.348,3.0,10.0,0.3,5.0,13.0,0.385,0.413,17.0,20.0,0.85,2.0,10.0,12.0,6.0,1.0,1.0,1.0,4.0,36.0,29.6,11.0
Jayson Tatum,tatumja01,2023,9,374.0,9.0,2022-11-05,,,NYK,"W, 133-118",*,,8.0,17.0,0.471,6.0,13.0,0.462,2.0,4.0,0.5,0.647,4.0,4.0,1.0,0.0,4.0,4.0,5.0,1.0,2.0,3.0,3.0,26.0,20.2,12.0
Jayson Tatum,tatumja01,2023,10,375.0,10.0,2022-11-07,,,MEM,"W, 109-106",*,,12.0,25.0,0.48,3.0,11.0,0.273,9.0,14.0,0.643,0.54,12.0,16.0,0.75,0.0,3.0,3.0,2.0,0.0,2.0,2.0,2.0,39.0,25.6,15.0
