player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Garrett Temple,templga01,2023,1,692.0,5.0,2022-10-28,,,PHO,"L, 111-124",,,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,,1.0,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,6.0,6.3,-17.0
Garrett Temple,templga01,2023,2,693.0,6.0,2022-10-30,,,LAC,"W, 112-91",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1,-3.0
Garrett Temple,templga01,2023,3,694.0,17.0,2022-11-21,,,GSW,"W, 128-83",,,1.0,4.0,0.25,0.0,2.0,0.0,1.0,2.0,0.5,0.25,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.3,4.0
Garrett Temple,templga01,2023,4,695.0,18.0,2022-11-23,,,SAS,"W, 129-110",,,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.75,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,2.6,-4.0
Garrett Temple,templga01,2023,5,696.0,19.0,2022-11-25,,,MEM,"L, 111-132",,,2.0,4.0,0.5,1.0,2.0,0.5,1.0,2.0,0.5,0.625,1.0,2.0,0.5,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,6.0,5.5,8.0
Garrett Temple,templga01,2023,6,697.0,20.0,2022-11-28,,,OKC,"W, 105-101",,,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,2.0,2.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,4.0,1.8,-5.0
Garrett Temple,templga01,2023,7,698.0,21.0,2022-11-30,,,TOR,"W, 126-108",,,2.0,3.0,0.667,1.0,1.0,1.0,1.0,2.0,0.5,0.833,0.0,0.0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5.0,4.4,-3.0
Garrett Temple,templga01,2023,8,699.0,22.0,2022-12-02,,,SAS,"W, 117-99",,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,-4.0
Garrett Temple,templga01,2023,9,700.0,23.0,2022-12-04,,,DEN,"W, 121-106",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
Garrett Temple,templga01,2023,10,701.0,27.0,2022-12-13,,,UTA,"L, 100-121",,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,4.4,2.0
