player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Dalen Terry,terryda01,2023,1,1.0,3.0,2022-10-22,,,CLE,"L, 96-128",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.7,-6.0
Dalen Terry,terryda01,2023,2,2.0,4.0,2022-10-24,,,BOS,"W, 120-102",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,1.0
Dalen Terry,terryda01,2023,3,3.0,5.0,2022-10-26,,,IND,"W, 124-109",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,-0.7,1.0
Dalen Terry,terryda01,2023,4,4.0,7.0,2022-10-29,,,PHI,"L, 109-114",,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.7,-1.0
Dalen Terry,terryda01,2023,5,5.0,9.0,2022-11-02,,,CHO,"W, 106-88",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0
Dalen Terry,terryda01,2023,6,6.0,11.0,2022-11-06,,,TOR,"L, 104-113",,,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,5.1,1.0
Dalen Terry,terryda01,2023,7,7.0,12.0,2022-11-07,,,TOR,"W, 111-97",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dalen Terry,terryda01,2023,8,8.0,14.0,2022-11-13,,,DEN,"L, 103-126",,,1.0,3.0,0.333,1.0,1.0,1.0,0.0,2.0,0.0,0.5,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,5.0,3.3,3.0
Dalen Terry,terryda01,2023,9,9.0,15.0,2022-11-16,,,NOP,"L, 110-124",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0,2.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.3,3.0
Dalen Terry,terryda01,2023,10,10.0,21.0,2022-11-30,,,PHO,"L, 113-132",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-2.0
Dalen Terry,terryda01,2023,11,11.0,25.0,2022-12-10,,,DAL,"W, 144-115",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,2.7,7.0
Dalen Terry,terryda01,2023,12,12.0,31.0,2022-12-21,,,ATL,"W, 110-108",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.1,-5.0
Dalen Terry,terryda01,2023,13,13.0,33.0,2022-12-26,,,HOU,"L, 118-133",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-2.0
Dalen Terry,terryda01,2023,14,14.0,34.0,2022-12-28,,,MIL,"W, 119-113 (OT)",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,4.0
Dalen Terry,terryda01,2023,15,15.0,43.0,2023-01-13,,,OKC,"L, 110-124",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Dalen Terry,terryda01,2023,16,16.0,44.0,2023-01-15,,,GSW,"W, 132-118",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.7,-1.0
Dalen Terry,terryda01,2023,17,17.0,45.0,2023-01-19,,,DET,"W, 126-108",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.7,-2.0
Dalen Terry,terryda01,2023,18,18.0,48.0,2023-01-26,,,CHO,"L, 96-111",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,0.0
Dalen Terry,terryda01,2023,19,19.0,52.0,2023-02-04,,,POR,"W, 129-121",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.1,-12.0
Dalen Terry,terryda01,2023,20,20.0,53.0,2023-02-06,,,SAS,"W, 128-104",,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.9,-3.0
Dalen Terry,terryda01,2023,21,21.0,57.0,2023-02-13,,,ORL,"L, 91-100",,,2.0,5.0,0.4,0.0,1.0,0.0,2.0,4.0,0.5,0.4,0.0,0.0,,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,3.6,0.0
Dalen Terry,terryda01,2023,22,22.0,58.0,2023-02-15,,,IND,"L, 113-117",,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,1.0,2.0,3.0,0.0,-2.2,2.0
Dalen Terry,terryda01,2023,23,23.0,59.0,2023-02-16,,,MIL,"L, 100-112",,,6.0,12.0,0.5,1.0,4.0,0.25,5.0,8.0,0.625,0.542,0.0,0.0,,5.0,2.0,7.0,6.0,1.0,0.0,0.0,1.0,13.0,15.9,1.0
Dalen Terry,terryda01,2023,24,24.0,60.0,2023-02-24,,,BRK,"W, 131-87",,,3.0,3.0,1.0,3.0,3.0,1.0,0.0,0.0,,1.5,2.0,4.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,11.0,9.2,-4.0
Dalen Terry,terryda01,2023,25,25.0,61.0,2023-02-26,,,WAS,"W, 102-82",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6,1.0
Dalen Terry,terryda01,2023,26,26.0,64.0,2023-03-03,,,PHO,"L, 104-125",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dalen Terry,terryda01,2023,27,27.0,66.0,2023-03-08,,,DEN,"W, 117-96",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Dalen Terry,terryda01,2023,28,28.0,68.0,2023-03-15,,,SAC,"L, 114-117",,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,-5.0
Dalen Terry,terryda01,2023,29,29.0,72.0,2023-03-22,,,PHI,"L, 91-116",,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,-0.9,-3.0
Dalen Terry,terryda01,2023,30,30.0,73.0,2023-03-24,,,POR,"W, 124-96",,,3.0,4.0,0.75,0.0,0.0,,3.0,4.0,0.75,0.75,0.0,1.0,0.0,1.0,3.0,4.0,3.0,0.0,0.0,0.0,3.0,6.0,6.5,15.0
Dalen Terry,terryda01,2023,31,31.0,75.0,2023-03-27,,,LAC,"L, 112-124",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,2.3,9.0
Dalen Terry,terryda01,2023,32,32.0,76.0,2023-03-29,,,LAL,"L, 110-121",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.6,4.0
Dalen Terry,terryda01,2023,33,33.0,77.0,2023-03-31,,,CHO,"W, 121-91",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,1.0,2.0,0.5,0.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,3.0,3.2,-1.0
Dalen Terry,terryda01,2023,34,34.0,78.0,2023-04-02,,,MEM,"W, 128-107",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,0.0
Dalen Terry,terryda01,2023,35,35.0,79.0,2023-04-04,,,ATL,"L, 105-123",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.7,0.0
Dalen Terry,terryda01,2023,36,36.0,80.0,2023-04-05,,,MIL,"L, 92-105",,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.7,3.0
Dalen Terry,terryda01,2023,37,37.0,81.0,2023-04-07,,,DAL,"W, 115-112",,,3.0,10.0,0.3,0.0,4.0,0.0,3.0,6.0,0.5,0.3,2.0,2.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,3.0,8.0,2.3,-18.0
Dalen Terry,terryda01,2023,38,38.0,82.0,2023-04-09,,,DET,"W, 103-81",,,3.0,6.0,0.5,0.0,2.0,0.0,3.0,4.0,0.75,0.5,4.0,4.0,1.0,0.0,3.0,3.0,1.0,3.0,1.0,0.0,2.0,10.0,11.5,20.0
