player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Precious Achiuwa,achiupr01,2024,1,190.0,1.0,2023-10-25,,,MIN,"W, 97-94",,,4.0,9.0,0.444,0.0,1.0,0.0,4.0,8.0,0.5,0.444,0.0,0.0,,3.0,5.0,8.0,0.0,0.0,0.0,2.0,1.0,8.0,4.5,-5.0
Precious Achiuwa,achiupr01,2024,2,191.0,2.0,2023-10-27,,,CHI,"L, 103-104 (OT)",,,2.0,5.0,0.4,1.0,3.0,0.333,1.0,2.0,0.5,0.5,3.0,3.0,1.0,2.0,7.0,9.0,1.0,0.0,0.0,3.0,6.0,8.0,4.1,-22.0
Precious Achiuwa,achiupr01,2024,3,192.0,3.0,2023-10-28,,,PHI,"L, 107-114",,,3.0,10.0,0.3,0.0,1.0,0.0,3.0,9.0,0.333,0.3,0.0,0.0,,3.0,4.0,7.0,3.0,0.0,1.0,1.0,1.0,6.0,4.9,5.0
Precious Achiuwa,achiupr01,2024,4,193.0,9.0,2023-11-11,,,BOS,"L, 94-117",,,1.0,5.0,0.2,0.0,2.0,0.0,1.0,3.0,0.333,0.2,0.0,0.0,,0.0,5.0,5.0,5.0,0.0,0.0,0.0,1.0,2.0,3.5,-12.0
Precious Achiuwa,achiupr01,2024,5,194.0,10.0,2023-11-13,,,WAS,"W, 111-107",,,5.0,8.0,0.625,0.0,1.0,0.0,5.0,7.0,0.714,0.625,0.0,0.0,,1.0,3.0,4.0,1.0,1.0,0.0,2.0,1.0,10.0,7.3,8.0
Precious Achiuwa,achiupr01,2024,6,195.0,11.0,2023-11-15,,,MIL,"L, 112-128",,,4.0,7.0,0.571,1.0,2.0,0.5,3.0,5.0,0.6,0.643,2.0,2.0,1.0,3.0,1.0,4.0,0.0,0.0,2.0,1.0,3.0,11.0,9.3,-3.0
Precious Achiuwa,achiupr01,2024,7,196.0,12.0,2023-11-17,,,BOS,"L, 105-108",,,2.0,4.0,0.5,0.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,2.0,0.5,0.0,9.0,9.0,1.0,2.0,0.0,1.0,1.0,5.0,6.6,-2.0
Precious Achiuwa,achiupr01,2024,8,197.0,13.0,2023-11-19,,,DET,"W, 142-113",,,5.0,10.0,0.5,2.0,4.0,0.5,3.0,6.0,0.5,0.6,0.0,2.0,0.0,3.0,3.0,6.0,5.0,0.0,0.0,0.0,1.0,12.0,12.3,17.0
Precious Achiuwa,achiupr01,2024,9,198.0,14.0,2023-11-21,,,ORL,"L, 107-126",,,2.0,4.0,0.5,0.0,1.0,0.0,2.0,3.0,0.667,0.5,1.0,2.0,0.5,2.0,4.0,6.0,4.0,1.0,0.0,3.0,3.0,5.0,4.8,-9.0
Precious Achiuwa,achiupr01,2024,10,199.0,16.0,2023-11-24,,,CHI,"W, 121-108",,,3.0,4.0,0.75,0.0,0.0,,3.0,4.0,0.75,0.75,2.0,2.0,1.0,3.0,4.0,7.0,4.0,0.0,3.0,2.0,0.0,8.0,12.6,-2.0
