player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Grayson Allen,allengr01,2024,1,265.0,1.0,2023-10-24,,,GSW,"W, 108-104",*,,0.0,6.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,3.0,1.0,4.0,2.0,0.0,0.0,1.0,2.0,0.0,-2.2,-4.0
Grayson Allen,allengr01,2024,2,266.0,2.0,2023-10-26,,,LAL,"L, 95-100",*,,2.0,6.0,0.333,2.0,4.0,0.5,0.0,2.0,0.0,0.5,0.0,0.0,,1.0,5.0,6.0,4.0,0.0,0.0,0.0,3.0,6.0,6.4,-2.0
Grayson Allen,allengr01,2024,3,267.0,3.0,2023-10-28,,,UTA,"W, 126-104",*,,6.0,10.0,0.6,3.0,7.0,0.429,3.0,3.0,1.0,0.75,2.0,2.0,1.0,0.0,4.0,4.0,3.0,2.0,0.0,3.0,2.0,17.0,13.9,22.0
Grayson Allen,allengr01,2024,4,268.0,4.0,2023-10-31,,,SAS,"L, 114-115",*,,5.0,9.0,0.556,5.0,7.0,0.714,0.0,2.0,0.0,0.833,4.0,4.0,1.0,1.0,6.0,7.0,3.0,0.0,1.0,2.0,2.0,19.0,17.2,-12.0
Grayson Allen,allengr01,2024,5,269.0,5.0,2023-11-02,,,SAS,"L, 121-132",*,,6.0,10.0,0.6,4.0,5.0,0.8,2.0,5.0,0.4,0.8,0.0,0.0,,1.0,1.0,2.0,4.0,0.0,0.0,2.0,1.0,16.0,12.8,-10.0
Grayson Allen,allengr01,2024,6,270.0,6.0,2023-11-04,,,PHI,"L, 100-112",*,,3.0,7.0,0.429,2.0,5.0,0.4,1.0,2.0,0.5,0.571,0.0,0.0,,1.0,2.0,3.0,2.0,0.0,0.0,1.0,3.0,8.0,4.8,0.0
Grayson Allen,allengr01,2024,7,271.0,7.0,2023-11-05,,,DET,"W, 120-106",*,,6.0,12.0,0.5,1.0,3.0,0.333,5.0,9.0,0.556,0.542,1.0,1.0,1.0,1.0,3.0,4.0,2.0,0.0,0.0,4.0,1.0,14.0,6.6,6.0
Grayson Allen,allengr01,2024,8,272.0,8.0,2023-11-08,,,CHI,"W, 116-115 (OT)",*,,9.0,16.0,0.563,8.0,13.0,0.615,1.0,3.0,0.333,0.813,0.0,0.0,,0.0,8.0,8.0,4.0,1.0,2.0,1.0,3.0,26.0,23.8,8.0
Grayson Allen,allengr01,2024,9,273.0,9.0,2023-11-10,,,LAL,"L, 119-122",*,,4.0,8.0,0.5,1.0,4.0,0.25,3.0,4.0,0.75,0.563,0.0,0.0,,2.0,7.0,9.0,4.0,1.0,0.0,2.0,6.0,9.0,7.9,-5.0
Grayson Allen,allengr01,2024,10,274.0,10.0,2023-11-12,,,OKC,"L, 99-111",*,,2.0,8.0,0.25,1.0,3.0,0.333,1.0,5.0,0.2,0.313,2.0,2.0,1.0,2.0,4.0,6.0,1.0,1.0,1.0,2.0,2.0,7.0,4.4,-19.0
Grayson Allen,allengr01,2024,11,275.0,11.0,2023-11-15,,,MIN,"W, 133-115",*,,5.0,9.0,0.556,3.0,5.0,0.6,2.0,4.0,0.5,0.722,1.0,1.0,1.0,0.0,3.0,3.0,2.0,0.0,1.0,2.0,1.0,14.0,10.3,22.0
Grayson Allen,allengr01,2024,12,276.0,12.0,2023-11-17,,,UTA,"W, 131-128",*,,3.0,8.0,0.375,2.0,4.0,0.5,1.0,4.0,0.25,0.5,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,10.0,6.2,-8.0
Grayson Allen,allengr01,2024,13,277.0,13.0,2023-11-19,,,UTA,"W, 140-137 (2OT)",*,,5.0,8.0,0.625,3.0,6.0,0.5,2.0,2.0,1.0,0.813,1.0,2.0,0.5,0.0,4.0,4.0,3.0,1.0,1.0,2.0,4.0,14.0,11.4,12.0
Grayson Allen,allengr01,2024,14,278.0,14.0,2023-11-21,,,POR,"W, 120-107",*,,4.0,5.0,0.8,0.0,1.0,0.0,4.0,4.0,1.0,0.8,0.0,0.0,,0.0,6.0,6.0,5.0,2.0,0.0,1.0,1.0,8.0,12.0,6.0
Grayson Allen,allengr01,2024,15,279.0,15.0,2023-11-22,,,GSW,"W, 123-115",*,,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,,0.375,6.0,8.0,0.75,1.0,2.0,3.0,3.0,1.0,0.0,2.0,5.0,9.0,6.2,13.0
Grayson Allen,allengr01,2024,16,280.0,16.0,2023-11-24,,,MEM,"W, 110-89",*,,5.0,9.0,0.556,2.0,4.0,0.5,3.0,5.0,0.6,0.667,2.0,3.0,0.667,0.0,2.0,2.0,3.0,0.0,1.0,1.0,2.0,14.0,10.9,1.0
Grayson Allen,allengr01,2024,17,281.0,19.0,2023-12-01,,,DEN,"L, 111-119",*,,5.0,9.0,0.556,1.0,4.0,0.25,4.0,5.0,0.8,0.611,2.0,2.0,1.0,0.0,10.0,10.0,3.0,1.0,0.0,0.0,2.0,13.0,14.0,-4.0
Grayson Allen,allengr01,2024,18,282.0,20.0,2023-12-02,,,MEM,"W, 116-109",*,,1.0,4.0,0.25,1.0,2.0,0.5,0.0,2.0,0.0,0.375,6.0,6.0,1.0,1.0,1.0,2.0,4.0,1.0,0.0,2.0,1.0,9.0,9.0,8.0
Grayson Allen,allengr01,2024,19,283.0,21.0,2023-12-05,,,LAL,"L, 103-106",*,,6.0,14.0,0.429,4.0,8.0,0.5,2.0,6.0,0.333,0.571,5.0,5.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,21.0,17.5,-7.0
Grayson Allen,allengr01,2024,20,284.0,25.0,2023-12-15,,,NYK,"L, 122-139",*,,5.0,5.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,1.2,1.0,1.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,2.0,4.0,13.0,12.7,-13.0
Grayson Allen,allengr01,2024,21,285.0,26.0,2023-12-17,,,WAS,"W, 112-108",*,,2.0,8.0,0.25,1.0,6.0,0.167,1.0,2.0,0.5,0.313,6.0,6.0,1.0,1.0,3.0,4.0,3.0,2.0,2.0,1.0,2.0,11.0,11.5,-4.0
Grayson Allen,allengr01,2024,22,286.0,27.0,2023-12-19,,,POR,"L, 104-109",*,,5.0,10.0,0.5,1.0,5.0,0.2,4.0,5.0,0.8,0.55,0.0,1.0,0.0,2.0,7.0,9.0,0.0,2.0,0.0,0.0,3.0,11.0,9.9,-8.0
Grayson Allen,allengr01,2024,23,287.0,28.0,2023-12-22,,,SAC,"L, 105-120",*,,4.0,10.0,0.4,3.0,6.0,0.5,1.0,4.0,0.25,0.55,0.0,0.0,,2.0,2.0,4.0,2.0,3.0,1.0,1.0,1.0,11.0,11.3,-20.0
Grayson Allen,allengr01,2024,24,288.0,29.0,2023-12-25,,,DAL,"L, 114-128",*,,12.0,22.0,0.545,8.0,17.0,0.471,4.0,5.0,0.8,0.727,0.0,0.0,,1.0,3.0,4.0,4.0,1.0,0.0,2.0,4.0,32.0,23.2,-5.0
Grayson Allen,allengr01,2024,25,289.0,30.0,2023-12-27,,,HOU,"W, 129-113",*,,5.0,7.0,0.714,2.0,4.0,0.5,3.0,3.0,1.0,0.857,4.0,4.0,1.0,1.0,3.0,4.0,3.0,0.0,1.0,3.0,1.0,16.0,14.1,15.0
Grayson Allen,allengr01,2024,26,290.0,31.0,2023-12-29,,,CHO,"W, 133-119",*,,6.0,8.0,0.75,2.0,4.0,0.5,4.0,4.0,1.0,0.875,2.0,2.0,1.0,1.0,3.0,4.0,3.0,0.0,1.0,1.0,2.0,16.0,15.4,15.0
Grayson Allen,allengr01,2024,27,291.0,32.0,2023-12-31,,,ORL,"W, 112-107",*,,4.0,8.0,0.5,2.0,4.0,0.5,2.0,4.0,0.5,0.625,0.0,0.0,,0.0,2.0,2.0,4.0,2.0,1.0,1.0,0.0,10.0,11.1,14.0
Grayson Allen,allengr01,2024,28,292.0,33.0,2024-01-01,,,POR,"W, 109-88",*,,4.0,7.0,0.571,2.0,5.0,0.4,2.0,2.0,1.0,0.714,2.0,2.0,1.0,0.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,12.0,13.4,16.0
Grayson Allen,allengr01,2024,29,293.0,34.0,2024-01-03,,,LAC,"L, 122-131",*,,4.0,9.0,0.444,2.0,4.0,0.5,2.0,5.0,0.4,0.556,0.0,1.0,0.0,1.0,3.0,4.0,3.0,2.0,0.0,1.0,2.0,10.0,8.8,-19.0
Grayson Allen,allengr01,2024,30,294.0,35.0,2024-01-05,,,MIA,"W, 113-97",*,,11.0,19.0,0.579,9.0,14.0,0.643,2.0,5.0,0.4,0.816,0.0,0.0,,1.0,3.0,4.0,4.0,0.0,2.0,2.0,4.0,31.0,24.3,13.0
Grayson Allen,allengr01,2024,31,295.0,36.0,2024-01-07,,,MEM,"L, 115-121",*,,6.0,15.0,0.4,4.0,8.0,0.5,2.0,7.0,0.286,0.533,0.0,0.0,,0.0,2.0,2.0,3.0,0.0,2.0,3.0,2.0,16.0,8.2,0.0
