player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Emoni Bates,batesem01,2024,1,1.0,3.0,2023-10-28,,,IND,"L, 113-125",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-15.0
Emoni Bates,batesem01,2024,2,2.0,4.0,2023-10-31,,,NYK,"L, 91-109",,,3.0,8.0,0.375,2.0,5.0,0.4,1.0,3.0,0.333,0.5,1.0,2.0,0.5,1.0,5.0,6.0,1.0,0.0,1.0,1.0,1.0,9.0,6.4,-9.0
Emoni Bates,batesem01,2024,3,3.0,9.0,2023-11-11,,,GSW,"W, 118-110",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0
Emoni Bates,batesem01,2024,4,4.0,11.0,2023-11-15,,,POR,"W, 109-95",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
Emoni Bates,batesem01,2024,5,5.0,12.0,2023-11-17,,,DET,"W, 108-100",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
Emoni Bates,batesem01,2024,6,6.0,13.0,2023-11-19,,,DEN,"W, 121-109",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-12.0
Emoni Bates,batesem01,2024,7,7.0,15.0,2023-11-22,,,MIA,"L, 96-129",,,1.0,5.0,0.2,1.0,5.0,0.2,0.0,0.0,,0.3,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,1.5,-12.0
Emoni Bates,batesem01,2024,8,8.0,29.0,2023-12-21,,,NOP,"L, 104-123",,,1.0,5.0,0.2,1.0,3.0,0.333,0.0,2.0,0.0,0.3,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.2,-9.0
Emoni Bates,batesem01,2024,9,9.0,30.0,2023-12-23,,,CHI,"W, 109-95",,,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.75,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.7,-3.0
Emoni Bates,batesem01,2024,10,10.0,31.0,2023-12-27,,,DAL,"W, 113-110",,,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,-0.5,11.0
Emoni Bates,batesem01,2024,11,11.0,64.0,2024-03-10,,,BRK,"L, 101-120",,,3.0,7.0,0.429,1.0,4.0,0.25,2.0,3.0,0.667,0.5,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,1.8,-3.0
Emoni Bates,batesem01,2024,12,12.0,71.0,2024-03-24,,,MIA,"L, 84-121",,,3.0,5.0,0.6,3.0,4.0,0.75,0.0,1.0,0.0,0.9,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,7.4,0.0
Emoni Bates,batesem01,2024,13,13.0,72.0,2024-03-25,,,CHO,"W, 115-92",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Emoni Bates,batesem01,2024,14,14.0,80.0,2024-04-10,,,MEM,"W, 110-98",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
Emoni Bates,batesem01,2024,15,15.0,82.0,2024-04-14,,,CHO,"L, 110-120",,,3.0,12.0,0.25,1.0,5.0,0.2,2.0,7.0,0.286,0.292,0.0,0.0,,0.0,3.0,3.0,3.0,0.0,0.0,6.0,0.0,7.0,-3.2,-22.0
